"Status","Year","Age","Region_ITL1","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","North West (England)","Debt","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North West (England)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North West (England)","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North West (England)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North West (England)","Legal","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North West (England)","No function","70","70","20560","20140"
"In post","2021","16-19","North West (England)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North West (England)","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North West (England)","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North West (England)","Unknown","50","40","[c]","[c]"
"In post","2021","16-19","Northern Ireland","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Northern Ireland","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland","Debt","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland","Legal","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland","No function","30","30","[c]","[c]"
"In post","2021","16-19","Scotland","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland","Unknown","80","80","21270","21150"
"In post","2021","16-19","South East (England)","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South East (England)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South East (England)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South East (England)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South East (England)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South East (England)","Legal","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South East (England)","No function","40","40","[c]","[c]"
"In post","2021","16-19","South East (England)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South East (England)","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South East (England)","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South East (England)","Unknown","40","40","[c]","[c]"
"In post","2021","16-19","South West (England)","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South West (England)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South West (England)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South West (England)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South West (England)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South West (England)","Legal","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South West (England)","No function","40","40","[c]","[c]"
"In post","2021","16-19","South West (England)","Project Delivery","90","90","17810","17780"
"In post","2021","16-19","South West (England)","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South West (England)","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","40","40","[c]","[c]"
"In post","2021","16-19","Wales","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Wales","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Wales","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Wales","Debt","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Wales","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Wales","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Wales","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Wales","Legal","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Wales","No function","80","70","19870","20140"
"In post","2021","16-19","Wales","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Wales","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Midlands (England)","Debt","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Midlands (England)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Midlands (England)","Legal","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Midlands (England)","No function","30","30","[c]","[c]"
"In post","2021","16-19","West Midlands (England)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Midlands (England)","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Yorkshire and The Humber","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Yorkshire and The Humber","Debt","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Yorkshire and The Humber","Legal","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Yorkshire and The Humber","No function","50","50","[c]","[c]"
"In post","2021","16-19","Yorkshire and The Humber","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Yorkshire and The Humber","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Yorkshire and The Humber","Unknown","40","40","[c]","[c]"
"In post","2021","20-29","East Midlands (England)","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","20-29","East Midlands (England)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","20-29","East Midlands (England)","Communications","160","160","26790","25560"
"In post","2021","20-29","East Midlands (England)","Counter Fraud","70","70","29140","25560"
"In post","2021","20-29","East Midlands (England)","Debt","70","60","20690","20140"
"In post","2021","20-29","East Midlands (England)","Digital, Data & Technology","40","40","[c]","[c]"
"In post","2021","20-29","East Midlands (England)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","20-29","East Midlands (England)","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","20-29","East Midlands (England)","Human Resources","70","70","30140","29700"
"In post","2021","20-29","East Midlands (England)","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","20-29","East Midlands (England)","Legal","70","70","26570","24000"
"In post","2021","20-29","East Midlands (England)","No function","1810","1780","24890","24000"
"In post","2021","20-29","East Midlands (England)","Project Delivery","40","40","[c]","[c]"
"In post","2021","20-29","East Midlands (England)","Property","60","60","22850","18760"
"In post","2021","20-29","East Midlands (England)","Security","[c]","[c]","[c]","[c]"
"In post","2021","20-29","East Midlands (England)","Unknown","540","530","25090","27570"
"In post","2021","20-29","East of England","Analysis","50","50","26380","24920"
"In post","2021","20-29","East of England","Commercial","40","40","[c]","[c]"
"In post","2021","20-29","East of England","Communications","[c]","[c]","[c]","[c]"
"In post","2021","20-29","East of England","Counter Fraud","50","40","[c]","[c]"
"In post","2021","20-29","East of England","Digital, Data & Technology","50","50","28030","26670"
"In post","2021","20-29","East of England","Finance","60","50","30450","30200"
"In post","2021","20-29","East of England","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","20-29","East of England","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","20-29","East of England","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","20-29","East of England","Legal","70","70","28210","26550"
"In post","2021","20-29","East of England","No function","1430","1410","26160","25850"
"In post","2021","20-29","East of England","Project Delivery","70","60","32260","30750"
"In post","2021","20-29","East of England","Property","40","40","[c]","[c]"
"In post","2021","20-29","East of England","Security","60","60","25010","24610"
"In post","2021","20-29","East of England","Unknown","920","900","26350","27400"
"In post","2021","20-29","London","Analysis","1480","1470","38730","35640"
"In post","2021","20-29","London","Commercial","270","270","41050","38540"
"In post","2021","20-29","London","Communications","680","680","35980","34670"
"In post","2021","20-29","London","Counter Fraud","310","300","33490","29570"
"In post","2021","20-29","London","Debt","50","50","26580","24120"
"In post","2021","20-29","London","Digital, Data & Technology","610","610","39090","36160"
"In post","2021","20-29","London","Finance","470","460","38850","35030"
"In post","2021","20-29","London","Human Resources","580","570","35530","32290"
"In post","2021","20-29","London","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","20-29","London","Legal","750","740","33890","29570"
"In post","2021","20-29","London","No function","12060","11990","35730","33210"
"In post","2021","20-29","London","Project Delivery","890","890","38850","37000"
"In post","2021","20-29","London","Property","140","130","33560","30850"
"In post","2021","20-29","London","Security","230","230","34490","32880"
"In post","2021","20-29","London","Unknown","4490","4460","34210","31060"
"In post","2021","20-29","North East (England)","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","20-29","North East (England)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","20-29","North East (England)","Communications","380","370","26760","25560"
"In post","2021","20-29","North East (England)","Counter Fraud","60","60","28950","25560"
"In post","2021","20-29","North East (England)","Debt","170","170","20430","20140"
"In post","2021","20-29","North East (England)","Digital, Data & Technology","120","120","31520","31810"
"In post","2021","20-29","North East (England)","Finance","30","30","[c]","[c]"
"In post","2021","20-29","North East (England)","Grants Management","50","50","[c]","[c]"
"In post","2021","20-29","North East (England)","Human Resources","100","100","25040","23850"
"In post","2021","20-29","North East (England)","Legal","40","40","[c]","[c]"
"In post","2021","20-29","North East (England)","No function","1500","1460","23860","22350"
"In post","2021","20-29","North East (England)","Project Delivery","90","80","31050","31810"
"In post","2021","20-29","North East (England)","Property","110","110","24520","21100"
"In post","2021","20-29","North East (England)","Security","[c]","[c]","[c]","[c]"
"In post","2021","20-29","North East (England)","Unknown","1260","1220","24660","21430"
"In post","2021","20-29","North West (England)","Analysis","130","130","33880","31810"
"In post","2021","20-29","North West (England)","Commercial","100","100","31650","29360"
"In post","2021","20-29","North West (England)","Communications","190","190","27700","25560"
"In post","2021","20-29","North West (England)","Counter Fraud","190","190","27430","25560"
"In post","2021","20-29","North West (England)","Debt","60","60","20700","20140"
"In post","2021","20-29","North West (England)","Digital, Data & Technology","130","120","33060","31810"
"In post","2021","20-29","North West (England)","Finance","60","50","31700","29730"
"In post","2021","20-29","North West (England)","Grants Management","100","100","21650","21050"
"In post","2021","20-29","North West (England)","Human Resources","180","180","27020","25560"
"In post","2021","20-29","North West (England)","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","20-29","North West (England)","Legal","150","150","28600","25480"
"In post","2021","20-29","North West (England)","No function","3430","3350","24730","22920"
"In post","2021","20-29","North West (England)","Project Delivery","200","200","31540","31810"
"In post","2021","20-29","North West (England)","Property","60","60","27970","25860"
"In post","2021","20-29","North West (England)","Security","40","40","[c]","[c]"
"In post","2021","20-29","North West (England)","Unknown","3330","3240","24880","24890"
"In post","2021","20-29","Northern Ireland","Communications","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Northern Ireland","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Northern Ireland","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Northern Ireland","Finance","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Northern Ireland","Legal","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Northern Ireland","No function","290","280","23020","20140"
"In post","2021","20-29","Northern Ireland","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Northern Ireland","Security","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Northern Ireland","Unknown","80","70","23410","21430"
"In post","2021","20-29","Overseas","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Overseas","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Overseas","Finance","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Overseas","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Overseas","No function","190","190","36800","34220"
"In post","2021","20-29","Overseas","Project Delivery","40","40","[c]","[c]"
"In post","2021","20-29","Overseas","Property","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Overseas","Security","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Overseas","Unknown","50","50","[c]","[c]"
"In post","2021","20-29","Scotland","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Scotland","Commercial","60","60","27930","26670"
"In post","2021","20-29","Scotland","Communications","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Scotland","Counter Fraud","80","80","26910","25560"
"In post","2021","20-29","Scotland","Debt","350","340","20850","20140"
"In post","2021","20-29","Scotland","Digital, Data & Technology","100","100","32290","31810"
"In post","2021","20-29","Scotland","Finance","140","130","24160","20140"
"In post","2021","20-29","Scotland","Human Resources","100","100","24780","21490"
"In post","2021","20-29","Scotland","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Scotland","Legal","290","290","28170","26550"
"In post","2021","20-29","Scotland","No function","1980","1930","24870","23450"
"In post","2021","20-29","Scotland","Project Delivery","180","180","28730","26120"
"In post","2021","20-29","Scotland","Property","120","120","26440","26530"
"In post","2021","20-29","Scotland","Security","230","230","25160","24610"
"In post","2021","20-29","Scotland","Unknown","2850","2800","27380","26160"
"In post","2021","20-29","South East (England)","Analysis","250","250","31840","29540"
"In post","2021","20-29","South East (England)","Commercial","90","90","27890","26670"
"In post","2021","20-29","South East (England)","Communications","40","40","[c]","[c]"
"In post","2021","20-29","South East (England)","Counter Fraud","40","40","[c]","[c]"
"In post","2021","20-29","South East (England)","Digital, Data & Technology","130","130","30180","29540"
"In post","2021","20-29","South East (England)","Finance","90","90","29340","28130"
"In post","2021","20-29","South East (England)","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","20-29","South East (England)","Human Resources","50","50","28190","26670"
"In post","2021","20-29","South East (England)","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","20-29","South East (England)","Legal","130","120","26740","24590"
"In post","2021","20-29","South East (England)","No function","2800","2750","27320","27850"
"In post","2021","20-29","South East (England)","Project Delivery","210","210","29900","28670"
"In post","2021","20-29","South East (England)","Property","100","90","27280","26560"
"In post","2021","20-29","South East (England)","Security","280","270","26970","26610"
"In post","2021","20-29","South East (England)","Unknown","1520","1500","25640","25630"
"In post","2021","20-29","South West (England)","Analysis","90","90","31350","28870"
"In post","2021","20-29","South West (England)","Commercial","220","210","30140","29550"
"In post","2021","20-29","South West (England)","Communications","40","40","[c]","[c]"
"In post","2021","20-29","South West (England)","Counter Fraud","60","60","32020","25560"
"In post","2021","20-29","South West (England)","Debt","[c]","[c]","[c]","[c]"
"In post","2021","20-29","South West (England)","Digital, Data & Technology","320","320","30180","29760"
"In post","2021","20-29","South West (England)","Finance","200","200","27470","25860"
"In post","2021","20-29","South West (England)","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","20-29","South West (England)","Human Resources","150","140","25580","21570"
"In post","2021","20-29","South West (England)","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","20-29","South West (England)","Legal","80","80","28530","25480"
"In post","2021","20-29","South West (England)","No function","2440","2410","26170","24920"
"In post","2021","20-29","South West (England)","Project Delivery","2250","2230","28020","27540"
"In post","2021","20-29","South West (England)","Property","160","150","26900","24960"
"In post","2021","20-29","South West (England)","Security","120","120","23630","23540"
"In post","2021","20-29","South West (England)","Unknown","900","870","26040","26670"
"In post","2021","20-29","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","No function","340","340","31470","29250"
"In post","2021","20-29","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Unknown","510","500","28720","28680"
"In post","2021","20-29","Wales","Analysis","350","350","31420","29540"
"In post","2021","20-29","Wales","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Wales","Communications","250","240","27180","25560"
"In post","2021","20-29","Wales","Counter Fraud","50","40","[c]","[c]"
"In post","2021","20-29","Wales","Debt","110","110","22850","20140"
"In post","2021","20-29","Wales","Digital, Data & Technology","290","280","30150","27600"
"In post","2021","20-29","Wales","Finance","30","30","[c]","[c]"
"In post","2021","20-29","Wales","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Wales","Human Resources","80","80","28260","26290"
"In post","2021","20-29","Wales","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Wales","Legal","50","40","[c]","[c]"
"In post","2021","20-29","Wales","No function","2600","2530","23720","21590"
"In post","2021","20-29","Wales","Project Delivery","60","60","28700","26470"
"In post","2021","20-29","Wales","Property","50","50","[c]","[c]"
"In post","2021","20-29","Wales","Security","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Wales","Unknown","1290","1260","25690","25030"
"In post","2021","20-29","West Midlands (England)","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","20-29","West Midlands (England)","Commercial","30","30","[c]","[c]"
"In post","2021","20-29","West Midlands (England)","Communications","80","80","27460","25560"
"In post","2021","20-29","West Midlands (England)","Counter Fraud","60","60","27980","25560"
"In post","2021","20-29","West Midlands (England)","Debt","140","130","20810","20140"
"In post","2021","20-29","West Midlands (England)","Digital, Data & Technology","150","150","32480","31810"
"In post","2021","20-29","West Midlands (England)","Finance","70","70","29900","26890"
"In post","2021","20-29","West Midlands (England)","Grants Management","40","40","[c]","[c]"
"In post","2021","20-29","West Midlands (England)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","20-29","West Midlands (England)","Legal","80","80","25300","23470"
"In post","2021","20-29","West Midlands (England)","No function","2460","2420","24540","22920"
"In post","2021","20-29","West Midlands (England)","Project Delivery","100","90","29740","26670"
"In post","2021","20-29","West Midlands (England)","Property","50","50","[c]","[c]"
"In post","2021","20-29","West Midlands (England)","Security","50","50","[c]","[c]"
"In post","2021","20-29","West Midlands (England)","Unknown","960","940","25650","27570"
"In post","2021","20-29","Yorkshire and The Humber","Analysis","90","90","34730","32870"
"In post","2021","20-29","Yorkshire and The Humber","Commercial","60","60","32170","29360"
"In post","2021","20-29","Yorkshire and The Humber","Communications","230","220","26840","25560"
"In post","2021","20-29","Yorkshire and The Humber","Counter Fraud","120","110","30220","25560"
"In post","2021","20-29","Yorkshire and The Humber","Debt","100","100","20510","20140"
"In post","2021","20-29","Yorkshire and The Humber","Digital, Data & Technology","120","120","31860","29360"
"In post","2021","20-29","Yorkshire and The Humber","Finance","140","140","29240","25920"
"In post","2021","20-29","Yorkshire and The Humber","Grants Management","30","30","[c]","[c]"
"In post","2021","20-29","Yorkshire and The Humber","Human Resources","50","50","31300","28970"
"In post","2021","20-29","Yorkshire and The Humber","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Yorkshire and The Humber","Legal","150","140","27210","25360"
"In post","2021","20-29","Yorkshire and The Humber","No function","2680","2630","25340","24440"
"In post","2021","20-29","Yorkshire and The Humber","Project Delivery","90","80","30440","28900"
"In post","2021","20-29","Yorkshire and The Humber","Property","70","60","26710","24500"
"In post","2021","20-29","Yorkshire and The Humber","Security","150","150","25150","24620"
"In post","2021","20-29","Yorkshire and The Humber","Unknown","1740","1700","25880","25040"
"In post","2021","30-39","East Midlands (England)","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","30-39","East Midlands (England)","Commercial","30","30","[c]","[c]"
"In post","2021","30-39","East Midlands (England)","Communications","150","150","28860","25560"
"In post","2021","30-39","East Midlands (England)","Counter Fraud","90","90","32160","31810"
"In post","2021","30-39","East Midlands (England)","Debt","60","50","21060","20140"
"In post","2021","30-39","East Midlands (England)","Digital, Data & Technology","80","70","38170","31860"
"In post","2021","30-39","East Midlands (England)","Finance","50","50","[c]","[c]"
"In post","2021","30-39","East Midlands (England)","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","30-39","East Midlands (England)","Human Resources","100","100","35660","31810"
"In post","2021","30-39","East Midlands (England)","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","30-39","East Midlands (England)","Legal","120","110","38040","37500"
"In post","2021","30-39","East Midlands (England)","No function","2370","2220","28200","26370"
"In post","2021","30-39","East Midlands (England)","Project Delivery","100","100","35510","33300"
"In post","2021","30-39","East Midlands (England)","Property","70","60","31560","26580"
"In post","2021","30-39","East Midlands (England)","Security","40","30","[c]","[c]"
"In post","2021","30-39","East Midlands (England)","Unknown","950","870","26310","27570"
"In post","2021","30-39","East of England","Analysis","120","120","33240","30220"
"In post","2021","30-39","East of England","Commercial","90","80","37950","34800"
"In post","2021","30-39","East of England","Communications","[c]","[c]","[c]","[c]"
"In post","2021","30-39","East of England","Counter Fraud","70","70","26220","25560"
"In post","2021","30-39","East of England","Debt","[c]","[c]","[c]","[c]"
"In post","2021","30-39","East of England","Digital, Data & Technology","70","70","32840","31810"
"In post","2021","30-39","East of England","Finance","70","70","35850","33300"
"In post","2021","30-39","East of England","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","30-39","East of England","Human Resources","40","40","[c]","[c]"
"In post","2021","30-39","East of England","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","30-39","East of England","Legal","110","100","37430","35800"
"In post","2021","30-39","East of England","No function","1770","1670","29570","29060"
"In post","2021","30-39","East of England","Project Delivery","130","120","37650","34640"
"In post","2021","30-39","East of England","Property","60","60","31450","33000"
"In post","2021","30-39","East of England","Security","110","110","30400","26750"
"In post","2021","30-39","East of England","Unknown","1370","1270","28840","27570"
"In post","2021","30-39","London","Analysis","910","880","54010","54650"
"In post","2021","30-39","London","Commercial","420","410","55320","54700"
"In post","2021","30-39","London","Communications","760","740","47780","45240"
"In post","2021","30-39","London","Counter Fraud","450","440","38570","36160"
"In post","2021","30-39","London","Debt","30","30","[c]","[c]"
"In post","2021","30-39","London","Digital, Data & Technology","980","970","50720","53680"
"In post","2021","30-39","London","Finance","580","570","50480","53360"
"In post","2021","30-39","London","Human Resources","600","590","46420","42300"
"In post","2021","30-39","London","Internal Audit","30","30","[c]","[c]"
"In post","2021","30-39","London","Legal","1510","1440","51770","51830"
"In post","2021","30-39","London","No function","10580","10260","45480","41330"
"In post","2021","30-39","London","Project Delivery","1370","1340","51490","53000"
"In post","2021","30-39","London","Property","190","190","43660","38920"
"In post","2021","30-39","London","Security","230","230","41800","39260"
"In post","2021","30-39","London","Unknown","5670","5450","40250","35070"
"In post","2021","30-39","North East (England)","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","30-39","North East (England)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","30-39","North East (England)","Communications","490","470","28540","25560"
"In post","2021","30-39","North East (England)","Counter Fraud","160","150","31790","31810"
"In post","2021","30-39","North East (England)","Debt","130","120","21080","20140"
"In post","2021","30-39","North East (England)","Digital, Data & Technology","170","160","37300","38630"
"In post","2021","30-39","North East (England)","Finance","90","90","37730","38110"
"In post","2021","30-39","North East (England)","Grants Management","60","50","23840","21050"
"In post","2021","30-39","North East (England)","Human Resources","200","180","27770","25560"
"In post","2021","30-39","North East (England)","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","30-39","North East (England)","Legal","110","100","36730","31810"
"In post","2021","30-39","North East (England)","No function","2440","2260","26860","24920"
"In post","2021","30-39","North East (England)","Project Delivery","220","210","37270","38630"
"In post","2021","30-39","North East (England)","Property","90","90","27900","25680"
"In post","2021","30-39","North East (England)","Security","[c]","[c]","[c]","[c]"
"In post","2021","30-39","North East (England)","Unknown","2000","1830","26900","27570"
"In post","2021","30-39","North West (England)","Analysis","100","90","41290","38630"
"In post","2021","30-39","North West (England)","Commercial","180","170","38490","35310"
"In post","2021","30-39","North West (England)","Communications","210","210","30570","29170"
"In post","2021","30-39","North West (England)","Counter Fraud","410","400","32030","31810"
"In post","2021","30-39","North West (England)","Debt","50","50","21940","20140"
"In post","2021","30-39","North West (England)","Digital, Data & Technology","230","230","38680","36500"
"In post","2021","30-39","North West (England)","Finance","130","130","39340","36640"
"In post","2021","30-39","North West (England)","Grants Management","140","120","23430","21050"
"In post","2021","30-39","North West (England)","Human Resources","310","300","31980","30040"
"In post","2021","30-39","North West (England)","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","30-39","North West (England)","Legal","260","240","39180","38000"
"In post","2021","30-39","North West (England)","No function","4680","4430","28660","25560"
"In post","2021","30-39","North West (England)","Project Delivery","360","350","37310","37230"
