"Status","Year","Responsibility_level","Sexual_orientation","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Heterosexual / straight","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Heterosexual / straight","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Heterosexual / straight","Animal and Plant Health Agency","590","550","21820","21050"
"In post","2021","AA/AO","Heterosexual / straight","Cabinet Office (excl. agencies)","320","290","21880","20920"
"In post","2021","AA/AO","Heterosexual / straight","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Heterosexual / straight","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Heterosexual / straight","Companies House","240","210","21770","22490"
"In post","2021","AA/AO","Heterosexual / straight","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Heterosexual / straight","Criminal Injuries Compensation Authority","70","60","20200","19930"
"In post","2021","AA/AO","Heterosexual / straight","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Heterosexual / straight","Crown Office and Procurator Fiscal Service","620","550","21930","22220"
"In post","2021","AA/AO","Heterosexual / straight","Crown Prosecution Service","1020","940","22320","21950"
"In post","2021","AA/AO","Heterosexual / straight","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Heterosexual / straight","Defence Electronics and Components Agency","30","30","[c]","[c]"
"In post","2021","AA/AO","Heterosexual / straight","Defence Science and Technology Laboratory","80","80","18800","17710"
"In post","2021","AA/AO","Heterosexual / straight","Department for Business, Energy and Industrial Strategy (excl. agencies)","50","50","[c]","[c]"
"In post","2021","AA/AO","Heterosexual / straight","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Heterosexual / straight","Department for Education (excl. agencies)","50","40","[c]","[c]"
"In post","2021","AA/AO","Heterosexual / straight","Department for Environment, Food and Rural Affairs (excl. agencies)","110","100","22620","21050"
"In post","2021","AA/AO","Heterosexual / straight","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Heterosexual / straight","Department for Transport (excl. agencies)","60","50","25420","25730"
"In post","2021","AA/AO","Heterosexual / straight","Department for Work and Pensions (excl. agencies)","17710","15370","21200","21010"
"In post","2021","AA/AO","Heterosexual / straight","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Heterosexual / straight","Disclosure Scotland","100","90","21780","21150"
"In post","2021","AA/AO","Heterosexual / straight","Driver and Vehicle Licensing Agency","2340","2020","20790","21590"
"In post","2021","AA/AO","Heterosexual / straight","Driver and Vehicle Standards Agency","640","600","24860","26580"
"In post","2021","AA/AO","Heterosexual / straight","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Heterosexual / straight","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Heterosexual / straight","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Heterosexual / straight","FCDO Services","100","100","23820","22850"
"In post","2021","AA/AO","Heterosexual / straight","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Heterosexual / straight","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Heterosexual / straight","Foreign, Commonwealth and Development Office (excl. agencies)","320","310","26140","25430"
"In post","2021","AA/AO","Heterosexual / straight","Forestry and Land Scotland","60","60","25170","26530"
"In post","2021","AA/AO","Heterosexual / straight","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Heterosexual / straight","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Heterosexual / straight","Government Legal Department","40","40","[c]","[c]"
"In post","2021","AA/AO","Heterosexual / straight","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Heterosexual / straight","Health and Safety Executive","190","170","21990","22160"
