"Status","Year","Region_ITL2","Profession_of_post","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","Commercial","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Commercial","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Communications","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Counter Fraud","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Digital, Data and Technology","Digital, Data & Technology","70","70","36020","34820"
"In post","2021","Bedfordshire and Hertfordshire","Digital, Data and Technology","No function","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Digital, Data and Technology","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Finance","Finance","100","100","43750","37640"
"In post","2021","Bedfordshire and Hertfordshire","Finance","No function","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Human Resources","Human Resources","50","50","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Intelligence Analysis","No function","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Internal Audit","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Knowledge and Information Management","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Knowledge and Information Management","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Legal","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Legal","Legal","120","110","52770","51450"
"In post","2021","Bedfordshire and Hertfordshire","Medicine","No function","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Medicine","Unknown","30","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Operational Delivery","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Operational Delivery","Debt","40","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Operational Delivery","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Operational Delivery","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Operational Delivery","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Operational Delivery","Legal","80","70","26630","26970"
"In post","2021","Bedfordshire and Hertfordshire","Operational Delivery","No function","1580","1490","29560","28200"
"In post","2021","Bedfordshire and Hertfordshire","Operational Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Operational Delivery","Unknown","370","330","31400","27400"
"In post","2021","Bedfordshire and Hertfordshire","Other","No function","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Other","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Other","Unknown","160","150","27230","25390"
"In post","2021","Bedfordshire and Hertfordshire","Policy","No function","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Policy","Unknown","40","40","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Project Delivery","No function","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Project Delivery","Project Delivery","140","140","42000","39980"
"In post","2021","Bedfordshire and Hertfordshire","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Property","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Property","Property","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Psychology","No function","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Psychology","Unknown","[c]","[c]","[c]","[c]"
