"Status","Year","Region_ITL3","Sex","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","Female","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Female","20-29","140","130","26920","26160"
"In post","2021","Aberdeen City and Aberdeenshire","Female","30-39","240","210","32190","30360"
"In post","2021","Aberdeen City and Aberdeenshire","Female","40-49","220","200","37760","30650"
"In post","2021","Aberdeen City and Aberdeenshire","Female","50-59","240","220","32640","27570"
"In post","2021","Aberdeen City and Aberdeenshire","Female","60-64","70","60","27000","22920"
"In post","2021","Aberdeen City and Aberdeenshire","Female","65+","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Male","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Male","20-29","90","90","27540","27150"
"In post","2021","Aberdeen City and Aberdeenshire","Male","30-39","190","190","34860","31570"
"In post","2021","Aberdeen City and Aberdeenshire","Male","40-49","220","220","43150","35330"
"In post","2021","Aberdeen City and Aberdeenshire","Male","50-59","340","330","42900","35110"
"In post","2021","Aberdeen City and Aberdeenshire","Male","60-64","70","60","44190","34380"
"In post","2021","Aberdeen City and Aberdeenshire","Male","65+","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Female","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Female","20-29","120","120","23390","21010"
"In post","2021","Angus and Dundee City","Female","30-39","250","230","26290","23340"
"In post","2021","Angus and Dundee City","Female","40-49","300","270","27070","24110"
"In post","2021","Angus and Dundee City","Female","50-59","350","320","27780","22820"
"In post","2021","Angus and Dundee City","Female","60-64","110","90","25560","21440"
"In post","2021","Angus and Dundee City","Female","65+","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Male","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Male","20-29","90","90","22730","21010"
"In post","2021","Angus and Dundee City","Male","30-39","180","180","25650","21270"
"In post","2021","Angus and Dundee City","Male","40-49","180","180","25910","21440"
"In post","2021","Angus and Dundee City","Male","50-59","190","180","27110","21440"
"In post","2021","Angus and Dundee City","Male","60-64","70","60","26560","21270"
"In post","2021","Angus and Dundee City","Male","65+","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Female","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Female","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Female","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Female","50-59","30","30","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Female","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Female","65+","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Male","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Male","30-39","[c]","[c]","[c]","[c]"
