"Status","Year","Ethnicity","Age","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","16-19","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","Disclosure Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
