"Status","Year","Age","Function_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Analysis","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","Scotland","[c]","[c]","[c]","[c]"
