"Status","Year","Profession_of_post","Disability","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Declared disabled","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Defence Equipment and Support","90","90","41070","36630"
"In post","2021","Commercial","Declared disabled","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","HM Prison and Probation Service","90","80","46550","46550"
"In post","2021","Commercial","Declared disabled","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
