"Status","Year","Organisation","Ethnicity","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Asian","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Black","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Chinese","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Mixed","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Other ethnicity","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Undeclared","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Unknown","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","White","Scottish Government","90","80","32680","29190"
"In post","2021","Advisory, Conciliation and Arbitration Service","Asian","Department for Business, Energy and Industrial Strategy","40","40","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Black","Department for Business, Energy and Industrial Strategy","40","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Chinese","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Mixed","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Other ethnicity","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Undeclared","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","Department for Business, Energy and Industrial Strategy","290","280","29090","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","White","Department for Business, Energy and Industrial Strategy","660","600","34680","34390"
"In post","2021","Animal and Plant Health Agency","Asian","Department for Environment, Food and Rural Affairs","60","50","27980","26530"
"In post","2021","Animal and Plant Health Agency","Black","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Chinese","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Mixed","Department for Environment, Food and Rural Affairs","30","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Other ethnicity","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Undeclared","Department for Environment, Food and Rural Affairs","160","150","32570","29890"
"In post","2021","Animal and Plant Health Agency","Unknown","Department for Environment, Food and Rural Affairs","240","210","29620","25520"
"In post","2021","Animal and Plant Health Agency","White","Department for Environment, Food and Rural Affairs","2160","2040","30650","27860"
"In post","2021","Attorney General's Office","Asian","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Black","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Chinese","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Mixed","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Other ethnicity","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Unknown","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","White","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Asian","Cabinet Office","470","460","45860","40600"
"In post","2021","Cabinet Office (excl. agencies)","Black","Cabinet Office","260","250","41960","35590"
"In post","2021","Cabinet Office (excl. agencies)","Chinese","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Mixed","Cabinet Office","190","190","47050","40420"
"In post","2021","Cabinet Office (excl. agencies)","Other ethnicity","Cabinet Office","70","70","46530","38700"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","Cabinet Office","230","230","47670","42740"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Cabinet Office","4030","3990","45110","33000"
"In post","2021","Cabinet Office (excl. agencies)","White","Cabinet Office","4170","4060","48490","41820"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Asian","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Black","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Chinese","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Mixed","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Other ethnicity","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Undeclared","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Unknown","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","White","Department for Environment, Food and Rural Affairs","560","530","34030","29750"
"In post","2021","Charity Commission","Asian","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Black","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Chinese","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Mixed","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Other ethnicity","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Charity Commission","90","80","36320","29380"
"In post","2021","Charity Commission","White","Charity Commission","330","310","34330","29160"
"In post","2021","Companies House","Asian","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Black","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Chinese","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Mixed","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Other ethnicity","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Undeclared","Department for Business, Energy and Industrial Strategy","80","70","30230","24500"
"In post","2021","Companies House","Unknown","Department for Business, Energy and Industrial Strategy","90","90","29430","24500"
"In post","2021","Companies House","White","Department for Business, Energy and Industrial Strategy","870","800","31140","27460"
"In post","2021","Competition and Markets Authority","Asian","Competition and Markets Authority","110","100","46180","37680"
"In post","2021","Competition and Markets Authority","Black","Competition and Markets Authority","40","40","[c]","[c]"
"In post","2021","Competition and Markets Authority","Chinese","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Mixed","Competition and Markets Authority","40","40","[c]","[c]"
"In post","2021","Competition and Markets Authority","Other ethnicity","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","Competition and Markets Authority","60","50","78040","78240"
"In post","2021","Competition and Markets Authority","White","Competition and Markets Authority","570","550","63720","59520"
"In post","2021","Criminal Injuries Compensation Authority","Asian","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Black","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Chinese","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Mixed","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Other ethnicity","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Undeclared","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Unknown","Ministry of Justice","60","60","25410","22570"
"In post","2021","Criminal Injuries Compensation Authority","White","Ministry of Justice","220","200","26700","22710"
"In post","2021","Crown Commercial Service","Asian","Other Cabinet Office Agencies","30","30","[c]","[c]"
"In post","2021","Crown Commercial Service","Black","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Chinese","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Mixed","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Other ethnicity","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Undeclared","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Unknown","Other Cabinet Office Agencies","130","120","33140","28090"
"In post","2021","Crown Commercial Service","White","Other Cabinet Office Agencies","580","560","38310","34800"
"In post","2021","Crown Office and Procurator Fiscal Service","Asian","Scottish Government","40","40","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Black","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Chinese","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Mixed","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Other ethnicity","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Undeclared","Scottish Government","50","50","44100","38150"
"In post","2021","Crown Office and Procurator Fiscal Service","Unknown","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","White","Scottish Government","1870","1740","35460","29040"
"In post","2021","Crown Prosecution Service","Asian","Attorney General's Departments","600","550","39420","34220"
"In post","2021","Crown Prosecution Service","Black","Attorney General's Departments","370","350","40320","32720"
"In post","2021","Crown Prosecution Service","Chinese","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Mixed","Attorney General's Departments","170","160","42960","44440"
"In post","2021","Crown Prosecution Service","Other ethnicity","Attorney General's Departments","50","50","44250","44040"
"In post","2021","Crown Prosecution Service","Undeclared","Attorney General's Departments","120","120","40920","38470"
"In post","2021","Crown Prosecution Service","Unknown","Attorney General's Departments","680","630","39900","32520"
"In post","2021","Crown Prosecution Service","White","Attorney General's Departments","4730","4390","41840","38180"
"In post","2021","Crown Prosecution Service Inspectorate","Asian","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Black","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Chinese","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Mixed","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Other ethnicity","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Unknown","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","White","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Asian","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Black","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Chinese","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Mixed","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Other ethnicity","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Unknown","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","White","HM Treasury","70","70","64930","57280"
"In post","2021","Defence Electronics and Components Agency","Asian","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Black","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Chinese","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Mixed","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Other ethnicity","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Undeclared","Ministry of Defence","30","30","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Unknown","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","White","Ministry of Defence","390","370","28680","28750"
"In post","2021","Defence Equipment and Support","Asian","Ministry of Defence","330","320","33820","31950"
"In post","2021","Defence Equipment and Support","Black","Ministry of Defence","220","210","32550","32250"
"In post","2021","Defence Equipment and Support","Chinese","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Mixed","Ministry of Defence","140","140","34780","31690"
"In post","2021","Defence Equipment and Support","Other ethnicity","Ministry of Defence","50","40","[c]","[c]"
"In post","2021","Defence Equipment and Support","Undeclared","Ministry of Defence","650","630","39160","38250"
"In post","2021","Defence Equipment and Support","Unknown","Ministry of Defence","610","590","32080","29810"
"In post","2021","Defence Equipment and Support","White","Ministry of Defence","8710","8400","36710","33830"
"In post","2021","Defence Science and Technology Laboratory","Asian","Ministry of Defence","60","60","41920","37530"
"In post","2021","Defence Science and Technology Laboratory","Black","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Chinese","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Mixed","Ministry of Defence","60","60","36860","34490"
"In post","2021","Defence Science and Technology Laboratory","Other ethnicity","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Undeclared","Ministry of Defence","440","430","42100","46080"
"In post","2021","Defence Science and Technology Laboratory","Unknown","Ministry of Defence","280","280","35230","32000"
"In post","2021","Defence Science and Technology Laboratory","White","Ministry of Defence","3500","3360","40710","37840"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Asian","Department for Business, Energy and Industrial Strategy","450","440","43970","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Black","Department for Business, Energy and Industrial Strategy","270","270","40950","37420"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Chinese","Department for Business, Energy and Industrial Strategy","40","40","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Mixed","Department for Business, Energy and Industrial Strategy","190","190","47240","45150"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Other ethnicity","Department for Business, Energy and Industrial Strategy","60","50","49250","53380"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Undeclared","Department for Business, Energy and Industrial Strategy","250","240","52470","53600"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Unknown","Department for Business, Energy and Industrial Strategy","600","580","45270","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","White","Department for Business, Energy and Industrial Strategy","3470","3380","50660","53380"
"In post","2021","Department for Digital, Culture, Media and Sport","Asian","Department for Digital, Culture, Media and Sport","130","120","46630","42110"
"In post","2021","Department for Digital, Culture, Media and Sport","Black","Department for Digital, Culture, Media and Sport","90","90","40910","34020"
"In post","2021","Department for Digital, Culture, Media and Sport","Chinese","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Mixed","Department for Digital, Culture, Media and Sport","90","80","45610","42020"
"In post","2021","Department for Digital, Culture, Media and Sport","Other ethnicity","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Undeclared","Department for Digital, Culture, Media and Sport","50","50","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","Department for Digital, Culture, Media and Sport","190","190","47600","45080"
"In post","2021","Department for Digital, Culture, Media and Sport","White","Department for Digital, Culture, Media and Sport","1220","1200","50460","51730"
"In post","2021","Department for Education (excl. agencies)","Asian","Department for Education","460","450","40190","36500"
"In post","2021","Department for Education (excl. agencies)","Black","Department for Education","230","220","40140","36780"
"In post","2021","Department for Education (excl. agencies)","Chinese","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education (excl. agencies)","Mixed","Department for Education","150","150","42210","40230"
"In post","2021","Department for Education (excl. agencies)","Other ethnicity","Department for Education","50","50","[c]","[c]"
"In post","2021","Department for Education (excl. agencies)","Undeclared","Department for Education","200","190","44490","40940"
"In post","2021","Department for Education (excl. agencies)","Unknown","Department for Education","690","660","43110","39020"
"In post","2021","Department for Education (excl. agencies)","White","Department for Education","3900","3750","45400","41990"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Asian","Department for Environment, Food and Rural Affairs","250","240","39120","35260"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Black","Department for Environment, Food and Rural Affairs","180","180","36240","33010"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Chinese","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Mixed","Department for Environment, Food and Rural Affairs","130","130","41200","36970"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Other ethnicity","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Undeclared","Department for Environment, Food and Rural Affairs","180","170","42010","39420"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","Department for Environment, Food and Rural Affairs","860","820","43330","38750"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","White","Department for Environment, Food and Rural Affairs","3770","3630","42850","38750"
