"Status","Year","Age","Function_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Analysis","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","HM Revenue and Customs","50","50","20240","20140"
"In post","2021","16-19","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Grants Management","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Department for Transport","50","40","[c]","[c]"
"In post","2021","16-19","No function","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","HM Revenue and Customs","150","140","20220","20140"
"In post","2021","16-19","No function","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Ministry of Justice","140","140","21640","20600"
"In post","2021","16-19","No function","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
