"Status","Year","Responsibility_level","Sexual_orientation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Heterosexual / straight","Attorney General's Departments","1080","1000","22390","21950"
"In post","2021","AA/AO","Heterosexual / straight","Cabinet Office","320","290","21880","20920"
"In post","2021","AA/AO","Heterosexual / straight","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Heterosexual / straight","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Heterosexual / straight","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","680","620","21680","21140"
"In post","2021","AA/AO","Heterosexual / straight","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Heterosexual / straight","Department for Education","70","60","21650","21000"
"In post","2021","AA/AO","Heterosexual / straight","Department for Environment, Food and Rural Affairs","1070","970","21670","21050"
"In post","2021","AA/AO","Heterosexual / straight","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Heterosexual / straight","Department for Transport","3250","2870","21860","21590"
"In post","2021","AA/AO","Heterosexual / straight","Department for Work and Pensions","17900","15530","21210","21010"
"In post","2021","AA/AO","Heterosexual / straight","Department of Health and Social Care","710","630","21260","20900"
"In post","2021","AA/AO","Heterosexual / straight","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Heterosexual / straight","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Heterosexual / straight","Foreign, Commonwealth and Development Office","430","420","25540","24750"
"In post","2021","AA/AO","Heterosexual / straight","HM Land Registry","850","790","22450","22350"
"In post","2021","AA/AO","Heterosexual / straight","HM Revenue and Customs","9570","8270","20790","20140"
"In post","2021","AA/AO","Heterosexual / straight","HM Treasury","50","50","22430","22500"
"In post","2021","AA/AO","Heterosexual / straight","Home Office","6760","5960","21980","21430"
"In post","2021","AA/AO","Heterosexual / straight","Ministry of Defence","11990","11510","22480","20920"
"In post","2021","AA/AO","Heterosexual / straight","Ministry of Housing, Communities and Local Government","130","120","22780","22560"
"In post","2021","AA/AO","Heterosexual / straight","Ministry of Justice","26640","24700","24160","22850"
"In post","2021","AA/AO","Heterosexual / straight","National Crime Agency","240","230","23540","22980"
"In post","2021","AA/AO","Heterosexual / straight","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Heterosexual / straight","Office for Standards in Education","170","160","21280","21160"
"In post","2021","AA/AO","Heterosexual / straight","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Heterosexual / straight","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Heterosexual / straight","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Heterosexual / straight","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Heterosexual / straight","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Heterosexual / straight","Scottish Government","2340","2170","22980","22230"
"In post","2021","AA/AO","Heterosexual / straight","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Heterosexual / straight","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Heterosexual / straight","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Heterosexual / straight","United Kingdom Statistics Authority","910","620","19590","19520"
"In post","2021","AA/AO","Heterosexual / straight","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Heterosexual / straight","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Heterosexual / straight","Welsh Government","790","720","23410","23830"
"In post","2021","AA/AO","LGBO","Attorney General's Departments","60","60","22080","21950"
"In post","2021","AA/AO","LGBO","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","LGBO","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","LGBO","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","LGBO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","LGBO","Department for Business, Energy and Industrial Strategy","50","50","[c]","[c]"
"In post","2021","AA/AO","LGBO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","LGBO","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","LGBO","Department for Environment, Food and Rural Affairs","80","70","21680","21050"
"In post","2021","AA/AO","LGBO","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","LGBO","Department for Transport","160","150","21580","21590"
"In post","2021","AA/AO","LGBO","Department for Work and Pensions","1080","1020","21290","21010"
