"Status","Year","Profession_of_post","Region_ITL1","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Communications","North West (England)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","North West (England)","Declared non-disabled","140","130","37560","36430"
"In post","2021","Communications","North West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","North West (England)","Unknown","30","30","[c]","[c]"
"In post","2021","Communications","Northern Ireland","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Northern Ireland","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Northern Ireland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scotland","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scotland","Declared non-disabled","50","50","[c]","[c]"
"In post","2021","Communications","Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","South East (England)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","South East (England)","Declared non-disabled","180","170","33810","33300"
"In post","2021","Communications","South East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","South East (England)","Unknown","70","60","31790","29200"
"In post","2021","Communications","South West (England)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","South West (England)","Declared non-disabled","240","220","35190","33320"
"In post","2021","Communications","South West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","South West (England)","Unknown","40","40","[c]","[c]"
"In post","2021","Communications","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Wales","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Wales","Declared non-disabled","270","250","36820","33350"
"In post","2021","Communications","Wales","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Wales","Unknown","50","50","37920","36030"
"In post","2021","Communications","West Midlands (England)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","West Midlands (England)","Declared non-disabled","110","110","38540","36230"
"In post","2021","Communications","West Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Yorkshire and The Humber","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Yorkshire and The Humber","Declared non-disabled","80","80","40180","37900"
"In post","2021","Communications","Yorkshire and The Humber","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Yorkshire and The Humber","Unknown","40","40","[c]","[c]"
"In post","2021","Corporate Finance","East of England","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","East of England","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","London","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","London","Declared non-disabled","50","50","54550","54110"
"In post","2021","Corporate Finance","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","North West (England)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","North West (England)","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Scotland","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Scotland","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","South East (England)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","South East (England)","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","South West (England)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","South West (England)","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Wales","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Wales","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","West Midlands (England)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","West Midlands (England)","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","East Midlands (England)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","East Midlands (England)","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","East Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","East of England","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","East of England","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","East of England","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","London","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","London","Declared non-disabled","260","250","43600","40000"
"In post","2021","Counter Fraud","London","Undeclared","30","30","[c]","[c]"
"In post","2021","Counter Fraud","London","Unknown","80","80","46020","40270"
"In post","2021","Counter Fraud","North East (England)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","North East (England)","Declared non-disabled","30","30","[c]","[c]"
"In post","2021","Counter Fraud","North East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","North West (England)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","North West (England)","Declared non-disabled","70","70","37390","39170"
"In post","2021","Counter Fraud","North West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Northern Ireland","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Northern Ireland","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Scotland","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Scotland","Declared non-disabled","80","70","28970","25310"
"In post","2021","Counter Fraud","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","South East (England)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","South East (England)","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","South West (England)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","South West (England)","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Wales","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Wales","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Wales","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","West Midlands (England)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","West Midlands (England)","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","Counter Fraud","West Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Yorkshire and The Humber","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Yorkshire and The Humber","Declared non-disabled","40","30","[c]","[c]"
"In post","2021","Counter Fraud","Yorkshire and The Humber","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","East Midlands (England)","Declared disabled","30","30","[c]","[c]"
"In post","2021","Digital, Data and Technology","East Midlands (England)","Declared non-disabled","150","150","37910","35730"
"In post","2021","Digital, Data and Technology","East Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","East Midlands (England)","Unknown","90","80","35360","31830"
"In post","2021","Digital, Data and Technology","East of England","Declared disabled","40","40","[c]","[c]"
"In post","2021","Digital, Data and Technology","East of England","Declared non-disabled","300","290","37000","34810"
"In post","2021","Digital, Data and Technology","East of England","Undeclared","30","30","[c]","[c]"
"In post","2021","Digital, Data and Technology","East of England","Unknown","130","120","36070","32900"
"In post","2021","Digital, Data and Technology","London","Declared disabled","230","230","46710","42850"
"In post","2021","Digital, Data and Technology","London","Declared non-disabled","2090","2050","50280","45840"
"In post","2021","Digital, Data and Technology","London","Undeclared","170","160","48300","44740"
"In post","2021","Digital, Data and Technology","London","Unknown","810","800","48550","44950"
"In post","2021","Digital, Data and Technology","North East (England)","Declared disabled","50","50","38150","36950"
"In post","2021","Digital, Data and Technology","North East (England)","Declared non-disabled","440","420","39820","38630"
"In post","2021","Digital, Data and Technology","North East (England)","Undeclared","40","40","[c]","[c]"
"In post","2021","Digital, Data and Technology","North East (England)","Unknown","170","160","38060","36520"
"In post","2021","Digital, Data and Technology","North West (England)","Declared disabled","80","70","38530","33690"
"In post","2021","Digital, Data and Technology","North West (England)","Declared non-disabled","670","650","39560","36780"
"In post","2021","Digital, Data and Technology","North West (England)","Undeclared","50","50","38550","36320"
"In post","2021","Digital, Data and Technology","North West (England)","Unknown","240","240","39140","36740"
"In post","2021","Digital, Data and Technology","Northern Ireland","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Northern Ireland","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Overseas","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Overseas","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Scotland","Declared disabled","50","50","[c]","[c]"
"In post","2021","Digital, Data and Technology","Scotland","Declared non-disabled","300","290","39750","36740"
"In post","2021","Digital, Data and Technology","Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Scotland","Unknown","240","240","38150","35230"
"In post","2021","Digital, Data and Technology","South East (England)","Declared disabled","80","80","35070","33300"
"In post","2021","Digital, Data and Technology","South East (England)","Declared non-disabled","510","490","39490","36400"
"In post","2021","Digital, Data and Technology","South East (England)","Undeclared","50","50","37100","33300"
"In post","2021","Digital, Data and Technology","South East (England)","Unknown","190","190","37650","33980"
"In post","2021","Digital, Data and Technology","South West (England)","Declared disabled","190","180","36970","34700"
"In post","2021","Digital, Data and Technology","South West (England)","Declared non-disabled","1440","1390","40190","38450"
"In post","2021","Digital, Data and Technology","South West (England)","Undeclared","120","110","39730","38450"
"In post","2021","Digital, Data and Technology","South West (England)","Unknown","410","400","36390","33840"
"In post","2021","Digital, Data and Technology","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Wales","Declared disabled","110","110","39320","36930"
"In post","2021","Digital, Data and Technology","Wales","Declared non-disabled","1280","1250","39950","37410"
"In post","2021","Digital, Data and Technology","Wales","Undeclared","120","120","41090","39590"
"In post","2021","Digital, Data and Technology","Wales","Unknown","500","490","38450","36030"
"In post","2021","Digital, Data and Technology","West Midlands (England)","Declared disabled","80","80","38220","35000"
"In post","2021","Digital, Data and Technology","West Midlands (England)","Declared non-disabled","580","560","41140","38300"
"In post","2021","Digital, Data and Technology","West Midlands (England)","Undeclared","40","40","[c]","[c]"
"In post","2021","Digital, Data and Technology","West Midlands (England)","Unknown","200","190","40900","38400"
"In post","2021","Digital, Data and Technology","Yorkshire and The Humber","Declared disabled","90","80","36800","32300"
"In post","2021","Digital, Data and Technology","Yorkshire and The Humber","Declared non-disabled","610","590","40670","37450"
"In post","2021","Digital, Data and Technology","Yorkshire and The Humber","Undeclared","50","50","[c]","[c]"
"In post","2021","Digital, Data and Technology","Yorkshire and The Humber","Unknown","170","170","41380","38390"
"In post","2021","Economics","East of England","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Economics","East of England","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Economics","London","Declared disabled","80","80","47460","49100"
"In post","2021","Economics","London","Declared non-disabled","1170","1140","49360","51970"
"In post","2021","Economics","London","Undeclared","110","110","44870","37090"
"In post","2021","Economics","London","Unknown","410","400","44540","36160"
"In post","2021","Economics","North East (England)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Economics","North East (England)","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Economics","North West (England)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Economics","North West (England)","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Economics","North West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Economics","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Northern Ireland","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Northern Ireland","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Northern Ireland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Overseas","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Overseas","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Scotland","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Scotland","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Economics","South East (England)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Economics","South East (England)","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Economics","South East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Economics","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Economics","South West (England)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Economics","South West (England)","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Economics","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Wales","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Wales","Declared non-disabled","90","90","47790","49100"
"In post","2021","Economics","Wales","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Wales","Unknown","70","70","30060","29540"
"In post","2021","Economics","West Midlands (England)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Economics","West Midlands (England)","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Economics","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Yorkshire and The Humber","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Yorkshire and The Humber","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","East Midlands (England)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Finance","East Midlands (England)","Declared non-disabled","150","140","36250","32010"
"In post","2021","Finance","East Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Finance","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","East of England","Declared disabled","30","30","[c]","[c]"
"In post","2021","Finance","East of England","Declared non-disabled","280","260","38180","35780"
"In post","2021","Finance","East of England","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Finance","East of England","Unknown","60","50","31540","25560"
"In post","2021","Finance","London","Declared disabled","180","170","47780","43610"
"In post","2021","Finance","London","Declared non-disabled","1800","1760","50250","46230"
"In post","2021","Finance","London","Undeclared","160","160","47570","45650"
"In post","2021","Finance","London","Unknown","420","410","45650","40650"
"In post","2021","Finance","North East (England)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Finance","North East (England)","Declared non-disabled","280","270","39090","37100"
"In post","2021","Finance","North East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Finance","North East (England)","Unknown","50","50","[c]","[c]"
"In post","2021","Finance","North West (England)","Declared disabled","70","70","35590","33260"
"In post","2021","Finance","North West (England)","Declared non-disabled","430","420","39410","36760"
"In post","2021","Finance","North West (England)","Undeclared","50","50","[c]","[c]"
"In post","2021","Finance","North West (England)","Unknown","90","90","36070","33570"
"In post","2021","Finance","Northern Ireland","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Northern Ireland","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Northern Ireland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Overseas","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Overseas","Declared non-disabled","30","30","[c]","[c]"
"In post","2021","Finance","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Scotland","Declared disabled","60","50","25350","21440"
"In post","2021","Finance","Scotland","Declared non-disabled","400","340","27870","21440"
"In post","2021","Finance","Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Scotland","Unknown","220","190","29720","25560"
"In post","2021","Finance","South East (England)","Declared disabled","80","70","34800","32950"
"In post","2021","Finance","South East (England)","Declared non-disabled","660","630","36930","33300"
"In post","2021","Finance","South East (England)","Undeclared","60","60","37110","34440"
"In post","2021","Finance","South East (England)","Unknown","100","100","39650","35000"
"In post","2021","Finance","South West (England)","Declared disabled","120","110","37560","34490"
"In post","2021","Finance","South West (England)","Declared non-disabled","980","940","39920","36460"
"In post","2021","Finance","South West (England)","Undeclared","70","60","41830","38150"
"In post","2021","Finance","South West (England)","Unknown","140","130","38990","36320"
"In post","2021","Finance","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Wales","Declared disabled","40","40","[c]","[c]"
"In post","2021","Finance","Wales","Declared non-disabled","560","530","38400","35620"
"In post","2021","Finance","Wales","Undeclared","30","30","[c]","[c]"
"In post","2021","Finance","Wales","Unknown","70","60","35780","28850"
"In post","2021","Finance","West Midlands (England)","Declared disabled","50","50","42150","38630"
"In post","2021","Finance","West Midlands (England)","Declared non-disabled","390","370","41160","37500"
"In post","2021","Finance","West Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Finance","West Midlands (England)","Unknown","60","60","37860","31810"
"In post","2021","Finance","Yorkshire and The Humber","Declared disabled","80","70","32210","26190"
"In post","2021","Finance","Yorkshire and The Humber","Declared non-disabled","480","450","36040","31060"
"In post","2021","Finance","Yorkshire and The Humber","Undeclared","40","40","[c]","[c]"
"In post","2021","Finance","Yorkshire and The Humber","Unknown","190","180","33760","28970"
"In post","2021","Human Resources","East Midlands (England)","Declared disabled","50","50","35290","32620"
"In post","2021","Human Resources","East Midlands (England)","Declared non-disabled","240","230","39350","35000"
"In post","2021","Human Resources","East Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","East Midlands (England)","Unknown","60","50","34100","30120"
"In post","2021","Human Resources","East of England","Declared disabled","30","30","[c]","[c]"
"In post","2021","Human Resources","East of England","Declared non-disabled","130","120","33920","31400"
"In post","2021","Human Resources","East of England","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","London","Declared disabled","300","290","47690","42230"
"In post","2021","Human Resources","London","Declared non-disabled","1640","1580","47530","42770"
"In post","2021","Human Resources","London","Undeclared","150","150","46730","43750"
"In post","2021","Human Resources","London","Unknown","330","320","42370","36950"
"In post","2021","Human Resources","North East (England)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","North East (England)","Declared non-disabled","90","80","37730","33810"
"In post","2021","Human Resources","North East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","North West (England)","Declared disabled","120","120","37150","31810"
"In post","2021","Human Resources","North West (England)","Declared non-disabled","650","620","33910","30820"
"In post","2021","Human Resources","North West (England)","Undeclared","50","40","[c]","[c]"
"In post","2021","Human Resources","North West (England)","Unknown","210","190","31230","26930"
