"Status","Year","Ethnicity","Sexual_orientation","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Heterosexual / straight","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Advisory, Conciliation and Arbitration Service","40","40","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Animal and Plant Health Agency","50","50","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Cabinet Office (excl. agencies)","420","410","45750","40600"
"In post","2021","Asian","Heterosexual / straight","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Competition and Markets Authority","100","90","45380","36990"
"In post","2021","Asian","Heterosexual / straight","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Crown Office and Procurator Fiscal Service","40","40","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Crown Prosecution Service","500","460","39580","35020"
"In post","2021","Asian","Heterosexual / straight","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Defence Equipment and Support","290","280","33760","31950"
"In post","2021","Asian","Heterosexual / straight","Defence Science and Technology Laboratory","50","50","42740","38100"
"In post","2021","Asian","Heterosexual / straight","Department for Business, Energy and Industrial Strategy (excl. agencies)","390","390","44010","40050"
"In post","2021","Asian","Heterosexual / straight","Department for Digital, Culture, Media and Sport","110","110","46790","42020"
"In post","2021","Asian","Heterosexual / straight","Department for Education (excl. agencies)","410","400","39800","36500"
"In post","2021","Asian","Heterosexual / straight","Department for Environment, Food and Rural Affairs (excl. agencies)","220","220","39970","35900"
"In post","2021","Asian","Heterosexual / straight","Department for International Trade","190","190","41790","38300"
"In post","2021","Asian","Heterosexual / straight","Department for Transport (excl. agencies)","260","260","45310","42680"
"In post","2021","Asian","Heterosexual / straight","Department for Work and Pensions (excl. agencies)","5430","5000","28060","27570"
"In post","2021","Asian","Heterosexual / straight","Department of Health and Social Care (excl. agencies)","140","140","42050","36820"
"In post","2021","Asian","Heterosexual / straight","Disclosure Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Driver and Vehicle Licensing Agency","40","40","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Driver and Vehicle Standards Agency","80","80","30010","30470"
"In post","2021","Asian","Heterosexual / straight","Education and Skills Funding Agency","150","150","39210","36780"
"In post","2021","Asian","Heterosexual / straight","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","FCDO Services","50","50","33840","28980"
"In post","2021","Asian","Heterosexual / straight","Food Standards Agency","40","40","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Foreign, Commonwealth and Development Office (excl. agencies)","360","350","43500","38130"
"In post","2021","Asian","Heterosexual / straight","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Government Internal Audit Agency","50","50","47860","49430"
"In post","2021","Asian","Heterosexual / straight","Government Legal Department","210","190","48420","51250"
"In post","2021","Asian","Heterosexual / straight","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Health and Safety Executive","50","50","50280","44690"
"In post","2021","Asian","Heterosexual / straight","HM Courts and Tribunals Service","1270","1150","24820","22570"
"In post","2021","Asian","Heterosexual / straight","HM Land Registry","150","140","31390","27130"
"In post","2021","Asian","Heterosexual / straight","HM Prison and Probation Service","1340","1260","30920","30010"
"In post","2021","Asian","Heterosexual / straight","HM Revenue and Customs (excl. agencies)","3110","2940","31420","29570"
"In post","2021","Asian","Heterosexual / straight","HM Treasury (excl. agencies)","170","170","43730","38720"
"In post","2021","Asian","Heterosexual / straight","Home Office (incl. agencies)","4070","3780","31470","28810"
"In post","2021","Asian","Heterosexual / straight","Insolvency Service","90","90","29090","25060"
"In post","2021","Asian","Heterosexual / straight","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Legal Aid Agency","60","50","26670","22570"
"In post","2021","Asian","Heterosexual / straight","Maritime and Coastguard Agency","60","50","48780","52620"
"In post","2021","Asian","Heterosexual / straight","Medicines and Healthcare Products Regulatory Agency","180","180","39760","33090"
"In post","2021","Asian","Heterosexual / straight","Met Office","[c]","[c]","[c]","[c]"
