"Status","Year","Ethnicity","Sexual_orientation","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Heterosexual / straight","Ministry of Defence (excl. agencies)","800","770","34090","31200"
"In post","2021","Asian","Heterosexual / straight","Ministry of Housing, Communities and Local Government (excl. agencies)","190","180","40610","35890"
"In post","2021","Asian","Heterosexual / straight","Ministry of Justice (excl. agencies)","420","410","38620","33930"
"In post","2021","Asian","Heterosexual / straight","National Crime Agency","220","220","36420","36200"
"In post","2021","Asian","Heterosexual / straight","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","National Records of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Office for Standards in Education, Children's Services and Skills","90","90","40250","35010"
"In post","2021","Asian","Heterosexual / straight","Office of Gas and Electricity Markets","50","50","42120","38850"
"In post","2021","Asian","Heterosexual / straight","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Office of the Public Guardian","390","360","21210","19930"
"In post","2021","Asian","Heterosexual / straight","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Public Health England","560","520","40700","32330"
"In post","2021","Asian","Heterosexual / straight","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Revenue Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Scottish Forestry","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Scottish Government (excl. agencies)","60","60","39780","38540"
"In post","2021","Asian","Heterosexual / straight","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Serious Fraud Office","40","40","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Social Security Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Submarine Delivery Agency","40","40","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","The National Archives","30","30","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Transport Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","UK Export Finance","60","60","48980","41130"
"In post","2021","Asian","Heterosexual / straight","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","United Kingdom Statistics Authority","110","100","30650","29540"
"In post","2021","Asian","Heterosexual / straight","Valuation Office Agency","140","130","33600","30850"
"In post","2021","Asian","Heterosexual / straight","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Welsh Government (excl. agencies)","50","40","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Heterosexual / straight","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Department for Work and Pensions (excl. agencies)","120","110","28060","27570"
"In post","2021","Asian","LGBO","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Disclosure Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","HM Prison and Probation Service","30","30","[c]","[c]"
"In post","2021","Asian","LGBO","HM Revenue and Customs (excl. agencies)","100","90","28000","25560"
"In post","2021","Asian","LGBO","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Home Office (incl. agencies)","40","40","[c]","[c]"
"In post","2021","Asian","LGBO","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","National Records of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Revenue Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Scottish Forestry","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Social Security Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Transport Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Department for Work and Pensions (excl. agencies)","410","350","26750","27570"
"In post","2021","Asian","Undeclared","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Disclosure Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","HM Courts and Tribunals Service","120","110","25010","22450"
"In post","2021","Asian","Undeclared","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","HM Prison and Probation Service","60","50","31320","31600"
"In post","2021","Asian","Undeclared","HM Revenue and Customs (excl. agencies)","200","190","28640","25560"
"In post","2021","Asian","Undeclared","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Home Office (incl. agencies)","380","340","29270","28570"
"In post","2021","Asian","Undeclared","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Ministry of Defence (excl. agencies)","50","50","33610","30560"
"In post","2021","Asian","Undeclared","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Public Health England","70","60","41910","38390"
"In post","2021","Asian","Undeclared","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Transport Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Crown Prosecution Service","90","70","38930","30110"
"In post","2021","Asian","Unknown","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Department for Work and Pensions (excl. agencies)","1380","1150","26820","27570"
"In post","2021","Asian","Unknown","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Education and Skills Funding Agency","40","40","[c]","[c]"
"In post","2021","Asian","Unknown","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Food Standards Agency","[c]","[c]","[c]","[c]"
