"Status","Year","Ethnicity","Sex","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Female","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Angus and Dundee City","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Antrim and Newtownabbey","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Ards and North Down","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Armagh City, Banbridge and Craigavon","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Barking & Dagenham and Havering","80","70","30450","31060"
"In post","2021","Asian","Female","Barnet","260","240","35920","31880"
"In post","2021","Asian","Female","Barnsley, Doncaster and Rotherham","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","140","130","33650","30420"
"In post","2021","Asian","Female","Bedford","50","50","26280","26570"
"In post","2021","Asian","Female","Belfast","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Berkshire","200","180","29910","29290"
"In post","2021","Asian","Female","Bexley and Greenwich","60","60","30190","31060"
"In post","2021","Asian","Female","Birmingham","1340","1190","26720","24320"
"In post","2021","Asian","Female","Blackburn with Darwen","70","50","24870","27570"
"In post","2021","Asian","Female","Blackpool","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Bournemouth and Poole","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Bradford","350","290","24850","21440"
"In post","2021","Asian","Female","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Brent","100","90","29840","31060"
"In post","2021","Asian","Female","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Brighton and Hove","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Bristol, City of","100","80","34230","28590"
"In post","2021","Asian","Female","Bromley","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Buckinghamshire CC","50","50","29680","27570"
"In post","2021","Asian","Female","Caithness and Sutherland and Ross and Cromarty","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Calderdale and Kirklees","80","70","25920","27570"
"In post","2021","Asian","Female","Cambridgeshire CC","30","30","[c]","[c]"
"In post","2021","Asian","Female","Camden and City of London","330","300","32530","29570"
"In post","2021","Asian","Female","Cardiff and Vale of Glamorgan","120","100","28880","25560"
"In post","2021","Asian","Female","Causeway Coast and Glens","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Cheshire West and Chester","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Chorley and West Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","City of Edinburgh","80","70","33660","29190"
"In post","2021","Asian","Female","Clackmannanshire and Fife","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Conwy and Denbighshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Coventry","250","230","33360","29730"
"In post","2021","Asian","Female","Croydon","1000","900","33330","29370"
"In post","2021","Asian","Female","Darlington","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Derby","70","60","24080","21010"
"In post","2021","Asian","Female","Derry City and Strabane","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Dorset CC","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Dudley","60","50","25010","25410"
"In post","2021","Asian","Female","Dumfries and Galloway","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Durham CC","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Ealing","140","130","31690","31060"
"In post","2021","Asian","Female","East Ayrshire and North Ayrshire mainland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","East Kent","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","East Lancashire","40","30","[c]","[c]"
"In post","2021","Asian","Female","East Lothian and Midlothian","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","East Surrey","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Enfield","40","40","[c]","[c]"
"In post","2021","Asian","Female","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Essex Thames Gateway","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Falkirk","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Fermanagh and Omagh","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Glasgow City","110","100","27630","24770"
"In post","2021","Asian","Female","Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Greater Manchester North East","50","50","27050","27570"
"In post","2021","Asian","Female","Greater Manchester North West","40","30","[c]","[c]"
"In post","2021","Asian","Female","Greater Manchester South East","50","40","[c]","[c]"
"In post","2021","Asian","Female","Greater Manchester South West","200","170","26980","24940"
"In post","2021","Asian","Female","Gwent Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Gwynedd","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Hackney and Newham","430","360","30320","30420"
"In post","2021","Asian","Female","Haringey and Islington","80","70","27750","27490"
"In post","2021","Asian","Female","Harrow and Hillingdon","700","620","29880","29080"
"In post","2021","Asian","Female","Hartlepool and Stockton-on-Tees","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Herefordshire, County of","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Hertfordshire","220","200","32980","29290"
"In post","2021","Asian","Female","Hounslow and Richmond upon Thames","430","390","29680","29080"
"In post","2021","Asian","Female","Inverclyde, East Renfrewshire and Renfrewshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Inverness and Nairn and Moray, Badenoch and Strathspey","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Isle of Anglesey","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Kensington & Chelsea and Hammersmith & Fulham","60","50","32520","31060"
"In post","2021","Asian","Female","Kent Thames Gateway","30","30","[c]","[c]"
"In post","2021","Asian","Female","Kingston upon Hull, City of","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Lambeth","250","230","40230","33150"
"In post","2021","Asian","Female","Lancaster and Wyre","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Leeds","440","390","29040","27370"
"In post","2021","Asian","Female","Leicester","460","380","24650","21440"
"In post","2021","Asian","Female","Leicestershire CC and Rutland","70","60","26140","24890"
"In post","2021","Asian","Female","Lewisham and Southwark","70","60","33560","31060"
"In post","2021","Asian","Female","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Lisburn and Castlereagh","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Liverpool","50","40","[c]","[c]"
"In post","2021","Asian","Female","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Luton","70","60","24820","24550"
"In post","2021","Asian","Female","Manchester","300","280","29520","27570"
"In post","2021","Asian","Female","Medway","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Merton, Kingston upon Thames and Sutton","60","50","30360","31060"
"In post","2021","Asian","Female","Mid and East Antrim","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Mid Lancashire","270","220","23550","21010"
"In post","2021","Asian","Female","Milton Keynes","60","50","28170","27260"
"In post","2021","Asian","Female","Monmouthshire and Newport","40","40","[c]","[c]"
"In post","2021","Asian","Female","Na h-Eileanan Siar","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Newry, Mourne and Down","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","North and North East Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","North and West Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","North Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","North Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","North Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","North Yorkshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Northumberland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Nottingham","270","240","30550","27570"
"In post","2021","Asian","Female","Orkney Islands","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Overseas","60","60","42680","34770"
"In post","2021","Asian","Female","Oxfordshire","40","40","[c]","[c]"
"In post","2021","Asian","Female","Perth and Kinross and Stirling","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Peterborough","140","110","23210","21430"
"In post","2021","Asian","Female","Plymouth","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Portsmouth","40","30","[c]","[c]"
"In post","2021","Asian","Female","Powys","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Redbridge and Waltham Forest","260","220","28650","30280"
