"Status","Year","Responsibility_level","Parent_department","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Attorney General's Departments","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Attorney General's Departments","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Attorney General's Departments","Birmingham","110","100","21760","21950"
"In post","2021","AA/AO","Attorney General's Departments","Brighton and Hove","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Attorney General's Departments","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Attorney General's Departments","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Attorney General's Departments","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Attorney General's Departments","Cardiff and Vale of Glamorgan","50","50","21840","21950"
"In post","2021","AA/AO","Attorney General's Departments","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Attorney General's Departments","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Attorney General's Departments","Croydon","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Attorney General's Departments","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Attorney General's Departments","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Attorney General's Departments","East Kent","30","30","[c]","[c]"
"In post","2021","AA/AO","Attorney General's Departments","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Attorney General's Departments","Haringey and Islington","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Attorney General's Departments","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Attorney General's Departments","Heart of Essex","40","30","[c]","[c]"
"In post","2021","AA/AO","Attorney General's Departments","Hertfordshire","40","30","[c]","[c]"
"In post","2021","AA/AO","Attorney General's Departments","Hounslow and Richmond upon Thames","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Attorney General's Departments","Kingston upon Hull, City of","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Attorney General's Departments","Leeds","80","70","21700","21950"
"In post","2021","AA/AO","Attorney General's Departments","Leicester","40","30","[c]","[c]"
"In post","2021","AA/AO","Attorney General's Departments","Lewisham and Southwark","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Attorney General's Departments","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Attorney General's Departments","Liverpool","90","80","21840","21950"
"In post","2021","AA/AO","Attorney General's Departments","Manchester","70","60","21940","21950"
"In post","2021","AA/AO","Attorney General's Departments","Merton, Kingston upon Thames and Sutton","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Attorney General's Departments","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Attorney General's Departments","Mid Lancashire","30","30","[c]","[c]"
"In post","2021","AA/AO","Attorney General's Departments","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Attorney General's Departments","Nottingham","70","70","21320","21950"
"In post","2021","AA/AO","Attorney General's Departments","Portsmouth","40","40","[c]","[c]"
"In post","2021","AA/AO","Attorney General's Departments","Redbridge and Waltham Forest","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Attorney General's Departments","Sheffield","40","40","[c]","[c]"
"In post","2021","AA/AO","Attorney General's Departments","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Attorney General's Departments","South Teesside","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Attorney General's Departments","Stoke-on-Trent","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Attorney General's Departments","Suffolk","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Attorney General's Departments","Swansea","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Attorney General's Departments","Tyneside","70","60","21800","21950"
"In post","2021","AA/AO","Attorney General's Departments","Wakefield","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Attorney General's Departments","Warrington","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Attorney General's Departments","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Attorney General's Departments","West Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Attorney General's Departments","West Surrey","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Attorney General's Departments","Westminster","340","310","23120","23520"
"In post","2021","AA/AO","Attorney General's Departments","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Attorney General's Departments","York","30","30","[c]","[c]"
"In post","2021","AA/AO","Cabinet Office","Ards and North Down","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cabinet Office","Greater Manchester South West","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cabinet Office","Liverpool","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cabinet Office","Milton Keynes","30","30","[c]","[c]"
"In post","2021","AA/AO","Cabinet Office","North Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cabinet Office","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cabinet Office","Tower Hamlets","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cabinet Office","Tyneside","160","140","20800","20800"
"In post","2021","AA/AO","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cabinet Office","Westminster","130","130","24470","24490"
"In post","2021","AA/AO","Cabinet Office","York","170","160","20910","20920"
"In post","2021","AA/AO","Chancellor's other departments","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chancellor's other departments","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Charity Commission","Sefton","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Charity Commission","Somerset","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Charity Commission","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Competition and Markets Authority","Tower Hamlets","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","Belfast","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","Birmingham","170","160","20570","20880"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","Blackpool","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","Brighton and Hove","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","Cardiff and Vale of Glamorgan","440","380","21620","22490"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","City of Edinburgh","70","70","20940","20880"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","Croydon","30","30","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","Devon CC","120","110","22120","21080"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","Hackney and Newham","40","40","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","Hounslow and Richmond upon Thames","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","Inverness and Nairn and Moray, Badenoch and Strathspey","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","Isle of Anglesey","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","Leeds","40","40","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","Manchester","60","60","20830","20880"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","Medway","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","Monmouthshire and Newport","190","180","20780","21140"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","North Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","Nottingham","30","30","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","Plymouth","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","Southampton","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","Southend-on-Sea","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","Suffolk","40","30","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","Tyneside","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","Westminster","70","70","25510","24900"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","Wirral","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Digital, Culture, Media and Sport","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Education","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Education","Coventry","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Education","Darlington","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Education","Manchester","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Education","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Education","Sheffield","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Education","Tyneside","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Education","Westminster","30","30","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs","Barnsley, Doncaster and Rotherham","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs","Berkshire","80","70","21100","21050"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs","Bristol, City of","60","50","21150","21050"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs","Cardiff and Vale of Glamorgan","50","40","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs","Cheshire East","50","40","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs","Darlington","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs","Devon CC","200","180","21060","21050"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs","Dorset CC","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs","East Cumbria","240","210","21060","21050"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs","East Kent","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs","East Lothian and Midlothian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs","Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs","Gwynedd","40","30","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs","Hounslow and Richmond upon Thames","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs","Inverness and Nairn and Moray, Badenoch and Strathspey","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs","Leeds","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs","Lincolnshire","[c]","[c]","[c]","[c]"
