"Status","Year","Function_of_post","Disability","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Bradford","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Buckinghamshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Central Hampshire","40","40","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Coventry","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Croydon","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Darlington","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Dorset CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Durham CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","East Kent","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
