"Status","Year","Function_of_post","Organisation","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","40","40","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","EO","90","90","25060","24920"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","90","80","51850","48080"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","260","240","32850","30220"
"In post","2021","Analysis","Charity Commission","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","G6/G7","80","70","65500","61590"
"In post","2021","Analysis","Competition and Markets Authority","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Electronics and Components Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","G6/G7","200","190","49100","46130"
"In post","2021","Analysis","Defence Science and Technology Laboratory","SEO/HEO","250","250","33750","37320"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","EO","30","30","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","G6/G7","80","70","61930","57850"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","SEO/HEO","170","170","37120","35640"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","G6/G7","60","60","63180","60130"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","SEO/HEO","70","60","42770","42020"
"In post","2021","Analysis","Department for Education (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education (excl. agencies)","EO","30","30","[c]","[c]"
"In post","2021","Analysis","Department for Education (excl. agencies)","G6/G7","130","120","55510","53760"
"In post","2021","Analysis","Department for Education (excl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education (excl. agencies)","SEO/HEO","240","220","40090","41990"
"In post","2021","Analysis","Department for Education (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","SEO/HEO","40","30","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","G6/G7","110","100","54090","51970"
"In post","2021","Analysis","Department for International Trade","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","SEO/HEO","110","100","33040","31800"
"In post","2021","Analysis","Department for Transport (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","EO","40","40","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","G6/G7","170","160","58010","54760"
"In post","2021","Analysis","Department for Transport (excl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","SEO/HEO","170","170","36840","35060"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","G6/G7","220","210","57280","53360"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","SEO/HEO","50","50","34900","32790"
"In post","2021","Analysis","Driver and Vehicle Licensing Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Licensing Agency","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Licensing Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Analysis","Education and Skills Funding Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Education and Skills Funding Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","G6/G7","40","30","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Forestry and Land Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Actuary's Department","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Actuary's Department","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Actuary's Department","G6/G7","110","90","87900","83030"
"In post","2021","Analysis","Government Actuary's Department","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Actuary's Department","SEO/HEO","50","50","[c]","[c]"
"In post","2021","Analysis","Government Internal Audit Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Internal Audit Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Legal Department","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Legal Department","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Courts and Tribunals Service","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Courts and Tribunals Service","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Courts and Tribunals Service","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Prison and Probation Service","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Prison and Probation Service","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","EO","40","30","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","G6/G7","220","210","57210","59160"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","SEO/HEO","360","350","36430","36160"
"In post","2021","Analysis","HM Treasury (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Treasury (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Treasury (excl. agencies)","G6/G7","60","60","58860","55840"
"In post","2021","Analysis","HM Treasury (excl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Treasury (excl. agencies)","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Analysis","Insolvency Service","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Insolvency Service","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Insolvency Service","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Maritime and Coastguard Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","EO","50","50","28250","27850"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","SEO/HEO","110","110","40460","40550"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","G6/G7","90","90","58090","54740"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","SEO/HEO","80","80","35510","34000"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","EO","50","50","26210","26410"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","G6/G7","140","130","60330","58130"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","SEO/HEO","200","200","37980","39870"
"In post","2021","Analysis","National Savings and Investments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","National Savings and Investments","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","National Savings and Investments","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","National Savings and Investments","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education, Children's Services and Skills","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education, Children's Services and Skills","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education, Children's Services and Skills","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education, Children's Services and Skills","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education, Children's Services and Skills","SEO/HEO","100","100","35860","35010"
"In post","2021","Analysis","Office of Gas and Electricity Markets","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","G6/G7","40","40","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Rail and Road","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Rail and Road","EO","[c]","[c]","[c]","[c]"
