"Status","Year","Region_ITL3","Profession_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Westminster","Science and Engineering","Home Office","50","40","[c]","[c]"
"In post","2021","Westminster","Science and Engineering","Ministry of Defence","80","80","58120","56970"
"In post","2021","Westminster","Science and Engineering","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Westminster","Security","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Westminster","Security","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Westminster","Security","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Westminster","Security","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Westminster","Security","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Westminster","Security","Department for International Trade","30","30","[c]","[c]"
"In post","2021","Westminster","Security","Department for Transport","170","170","44960","43360"
"In post","2021","Westminster","Security","Foreign, Commonwealth and Development Office","130","130","41490","38600"
"In post","2021","Westminster","Security","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Westminster","Security","Home Office","90","80","37350","35070"
"In post","2021","Westminster","Security","Ministry of Defence","240","240","33030","29370"
"In post","2021","Westminster","Security","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Westminster","Security","Ministry of Justice","150","150","49560","48390"
"In post","2021","Westminster","Security","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Westminster","Security","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Westminster","Security","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Westminster","Social Research","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Westminster","Social Research","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Westminster","Social Research","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Westminster","Social Research","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Westminster","Social Research","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Westminster","Social Research","Department for Transport","40","40","[c]","[c]"
"In post","2021","Westminster","Social Research","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Westminster","Social Research","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Westminster","Social Research","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Westminster","Social Research","Home Office","80","80","49040","44100"
"In post","2021","Westminster","Social Research","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Westminster","Social Research","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Westminster","Social Research","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Westminster","Social Research","United Kingdom Statistics Authority","70","70","36600","32540"
"In post","2021","Westminster","Statistics","Department for Business, Energy and Industrial Strategy","30","30","[c]","[c]"
"In post","2021","Westminster","Statistics","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Westminster","Statistics","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Westminster","Statistics","Department for International Trade","50","50","42900","39590"
"In post","2021","Westminster","Statistics","Department for Transport","110","110","45560","42890"
"In post","2021","Westminster","Statistics","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Westminster","Statistics","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Westminster","Statistics","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Westminster","Statistics","HM Revenue and Customs","60","60","50570","41790"
"In post","2021","Westminster","Statistics","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Westminster","Statistics","Home Office","60","50","44740","42280"
"In post","2021","Westminster","Statistics","Ministry of Defence","60","50","44000","41070"
"In post","2021","Westminster","Statistics","Ministry of Housing, Communities and Local Government","90","90","49010","53130"
"In post","2021","Westminster","Statistics","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Westminster","Statistics","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Westminster","Statistics","United Kingdom Statistics Authority","90","90","45360","35780"
"In post","2021","Westminster","Tax","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Westminster","Tax","HM Revenue and Customs","280","270","53070","59160"
"In post","2021","Westminster","Tax","HM Treasury","60","50","60940","59330"
"In post","2021","Westminster","Unknown","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Westminster","Unknown","Cabinet Office","5380","5310","49440","40600"
"In post","2021","Westminster","Unknown","Charity Commission","30","30","[c]","[c]"
"In post","2021","Westminster","Unknown","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Westminster","Unknown","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Westminster","Unknown","Department for Transport","200","190","53240","45200"
"In post","2021","Westminster","Unknown","Department for Work and Pensions","2230","2140","45180","39000"
"In post","2021","Westminster","Unknown","Department of Health and Social Care","50","50","53450","53360"
"In post","2021","Westminster","Unknown","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Westminster","Unknown","Foreign, Commonwealth and Development Office","260","260","52670","50430"
"In post","2021","Westminster","Unknown","HM Revenue and Customs","310","300","56830","59160"
"In post","2021","Westminster","Unknown","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Westminster","Unknown","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Westminster","Unknown","Ministry of Defence","80","80","37660","36910"
"In post","2021","Westminster","Unknown","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Westminster","Unknown","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Westminster","Unknown","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Westminster","Veterinarian","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Westminster","Veterinarian","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Wiltshire","Commercial","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Wiltshire","Commercial","Ministry of Defence","170","160","33670","34800"
"In post","2021","Wiltshire","Commercial","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Wiltshire","Communications","Ministry of Defence","50","50","32540","29200"
"In post","2021","Wiltshire","Corporate Finance","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Wiltshire","Digital, Data and Technology","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Wiltshire","Digital, Data and Technology","Ministry of Defence","290","280","38680","37320"
"In post","2021","Wiltshire","Digital, Data and Technology","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Wiltshire","Economics","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Wiltshire","Finance","Department of Health and Social Care","50","50","36260","29470"
"In post","2021","Wiltshire","Finance","Ministry of Defence","170","160","36740","33300"
"In post","2021","Wiltshire","Human Resources","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Wiltshire","Human Resources","Ministry of Defence","120","110","34910","33300"
"In post","2021","Wiltshire","Human Resources","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Wiltshire","Intelligence Analysis","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Wiltshire","Intelligence Analysis","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Wiltshire","Internal Audit","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Wiltshire","Knowledge and Information Management","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Wiltshire","Knowledge and Information Management","Ministry of Defence","140","140","36300","36460"
"In post","2021","Wiltshire","Legal","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Wiltshire","Legal","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Wiltshire","Legal","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Wiltshire","Medicine","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Wiltshire","Medicine","Ministry of Defence","170","150","44100","36370"
"In post","2021","Wiltshire","Operational Delivery","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Wiltshire","Operational Delivery","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Wiltshire","Operational Delivery","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Wiltshire","Operational Delivery","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Wiltshire","Operational Delivery","Department of Health and Social Care","290","260","36000","31370"
"In post","2021","Wiltshire","Operational Delivery","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Wiltshire","Operational Delivery","Ministry of Defence","300","280","38100","37320"
"In post","2021","Wiltshire","Operational Delivery","Ministry of Justice","340","320","27830","27920"
"In post","2021","Wiltshire","Operational Research","Ministry of Defence","80","80","45110","46080"
"In post","2021","Wiltshire","Other","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Wiltshire","Other","Ministry of Defence","720","690","26940","21930"
"In post","2021","Wiltshire","Planning","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Wiltshire","Policy","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Wiltshire","Policy","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Wiltshire","Project Delivery","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Wiltshire","Project Delivery","Ministry of Defence","1060","1020","39270","37320"
"In post","2021","Wiltshire","Property","Ministry of Defence","210","200","36530","33300"
"In post","2021","Wiltshire","Psychology","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Wiltshire","Psychology","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Wiltshire","Science and Engineering","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Wiltshire","Science and Engineering","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Wiltshire","Science and Engineering","Department of Health and Social Care","390","370","37120","36330"
"In post","2021","Wiltshire","Science and Engineering","Ministry of Defence","1800","1750","38820","37320"
"In post","2021","Wiltshire","Security","Ministry of Defence","270","270","28530","24610"
"In post","2021","Wiltshire","Statistics","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Wiltshire","Statistics","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Wiltshire","Unknown","Cabinet Office","60","60","61950","54010"
"In post","2021","Wiltshire","Unknown","Department for Work and Pensions","240","220","27530","27570"
"In post","2021","Wiltshire","Unknown","Ministry of Defence","290","280","38310","36460"
"In post","2021","Wiltshire","Veterinarian","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Wirral","Commercial","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Wirral","Commercial","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Wirral","Communications","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Wirral","Counter Fraud","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Wirral","Digital, Data and Technology","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Wirral","Finance","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Wirral","Finance","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Wirral","Human Resources","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Wirral","Human Resources","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Wirral","Human Resources","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Wirral","Intelligence Analysis","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Wirral","Internal Audit","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Wirral","Legal","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Wirral","Legal","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Wirral","Operational Delivery","Department for Business, Energy and Industrial Strategy","30","30","[c]","[c]"
"In post","2021","Wirral","Operational Delivery","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Wirral","Operational Delivery","HM Land Registry","420","370","28150","27130"
"In post","2021","Wirral","Operational Delivery","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Wirral","Operational Delivery","Ministry of Justice","110","100","25640","22920"
"In post","2021","Wirral","Other","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Wirral","Other","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Wirral","Policy","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Wirral","Policy","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Wirral","Policy","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Wirral","Project Delivery","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Wirral","Project Delivery","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Wirral","Project Delivery","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Wirral","Project Delivery","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Wirral","Science and Engineering","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Wirral","Statistics","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Wirral","Unknown","Department for Work and Pensions","1410","1210","24430","21010"
"In post","2021","Wolverhampton","Finance","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Wolverhampton","Human Resources","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Wolverhampton","Legal","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Wolverhampton","Operational Delivery","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Wolverhampton","Operational Delivery","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Wolverhampton","Operational Delivery","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Wolverhampton","Operational Delivery","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Wolverhampton","Operational Delivery","Ministry of Justice","190","170","23050","20100"
"In post","2021","Wolverhampton","Other","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Wolverhampton","Project Delivery","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Wolverhampton","Project Delivery","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Wolverhampton","Property","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Wolverhampton","Property","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Wolverhampton","Science and Engineering","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Wolverhampton","Tax","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Wolverhampton","Unknown","Department for Work and Pensions","630","540","25070","27570"
"In post","2021","Wolverhampton","Unknown","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Worcestershire","Commercial","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Worcestershire","Commercial","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Worcestershire","Communications","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Worcestershire","Digital, Data and Technology","Department for Environment, Food and Rural Affairs","50","50","43160","35900"
"In post","2021","Worcestershire","Digital, Data and Technology","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Worcestershire","Digital, Data and Technology","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Worcestershire","Finance","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Worcestershire","Finance","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Worcestershire","Human Resources","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Worcestershire","Human Resources","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Worcestershire","Intelligence Analysis","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Worcestershire","Internal Audit","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Worcestershire","Legal","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Worcestershire","Operational Delivery","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Worcestershire","Operational Delivery","Department for Environment, Food and Rural Affairs","250","220","26090","24920"
"In post","2021","Worcestershire","Operational Delivery","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Worcestershire","Operational Delivery","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Worcestershire","Operational Delivery","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Worcestershire","Operational Delivery","Ministry of Justice","1320","1270","27440","24990"
"In post","2021","Worcestershire","Operational Research","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Worcestershire","Other","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Worcestershire","Policy","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Worcestershire","Policy","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Worcestershire","Project Delivery","Department for Environment, Food and Rural Affairs","30","30","[c]","[c]"
"In post","2021","Worcestershire","Project Delivery","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Worcestershire","Project Delivery","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Worcestershire","Property","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Worcestershire","Property","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Worcestershire","Property","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Worcestershire","Psychology","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Worcestershire","Science and Engineering","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Worcestershire","Science and Engineering","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Worcestershire","Security","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Worcestershire","Unknown","Department for Work and Pensions","340","300","25970","27570"
"In post","2021","Worcestershire","Unknown","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Worcestershire","Veterinarian","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","York","Commercial","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","York","Commercial","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","York","Commercial","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","York","Commercial","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","York","Communications","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","York","Communications","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","York","Communications","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","York","Communications","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","York","Communications","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","York","Counter Fraud","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","York","Digital, Data and Technology","Attorney General's Departments","30","30","[c]","[c]"
"In post","2021","York","Digital, Data and Technology","Department for Environment, Food and Rural Affairs","60","60","44120","47590"
"In post","2021","York","Digital, Data and Technology","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","York","Digital, Data and Technology","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","York","Digital, Data and Technology","Food Standards Agency","30","30","[c]","[c]"
"In post","2021","York","Digital, Data and Technology","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","York","Economics","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","York","Economics","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","York","Finance","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","York","Finance","Department for Environment, Food and Rural Affairs","60","50","43490","40080"
"In post","2021","York","Finance","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","York","Finance","Food Standards Agency","30","30","[c]","[c]"
"In post","2021","York","Finance","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","York","Finance","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","York","Human Resources","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","York","Human Resources","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","York","Human Resources","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","York","Human Resources","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","York","Human Resources","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","York","Human Resources","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","York","Human Resources","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","York","Inspector of Education and Training","Office for Standards in Education","120","110","66660","70500"
"In post","2021","York","Intelligence Analysis","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","York","Internal Audit","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","York","Internal Audit","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","York","Knowledge and Information Management","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","York","Knowledge and Information Management","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","York","Knowledge and Information Management","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","York","Knowledge and Information Management","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","York","Legal","Attorney General's Departments","160","140","58860","55610"
"In post","2021","York","Legal","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","York","Legal","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","York","Medicine","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","York","Medicine","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","York","Operational Delivery","Attorney General's Departments","60","50","27530","23720"
"In post","2021","York","Operational Delivery","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","York","Operational Delivery","Department for Environment, Food and Rural Affairs","210","200","25960","24920"
"In post","2021","York","Operational Delivery","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","York","Operational Delivery","Department for Work and Pensions","50","40","[c]","[c]"
"In post","2021","York","Operational Delivery","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","York","Operational Delivery","Food Standards Agency","70","70","35340","30810"
"In post","2021","York","Operational Delivery","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","York","Operational Delivery","Ministry of Justice","230","200","28380","25790"
"In post","2021","York","Operational Delivery","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","York","Operational Delivery","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","York","Operational Research","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","York","Other","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","York","Other","Ministry of Defence","100","100","22910","21130"
"In post","2021","York","Other","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","York","Policy","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","York","Policy","Department for Environment, Food and Rural Affairs","220","210","37880","35900"
"In post","2021","York","Policy","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","York","Policy","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","York","Policy","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","York","Policy","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","York","Policy","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","York","Project Delivery","Department for Environment, Food and Rural Affairs","40","40","[c]","[c]"
"In post","2021","York","Project Delivery","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","York","Project Delivery","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","York","Project Delivery","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","York","Project Delivery","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","York","Project Delivery","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","York","Property","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","York","Property","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","York","Psychology","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","York","Science and Engineering","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","York","Science and Engineering","Department for Work and Pensions","130","120","35460","33360"
"In post","2021","York","Science and Engineering","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","York","Science and Engineering","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","York","Science and Engineering","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","York","Science and Engineering","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","York","Security","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","York","Security","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","York","Security","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","York","Social Research","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","York","Social Research","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","York","Social Research","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","York","Statistics","Department for Environment, Food and Rural Affairs","50","50","[c]","[c]"
"In post","2021","York","Statistics","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","York","Unknown","Cabinet Office","440","420","29190","26670"
"In post","2021","York","Unknown","Department for Work and Pensions","150","130","26850","27570"
"In post","2021","York","Unknown","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","York","Unknown","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","York","Unknown","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","York","Veterinarian","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","York","Veterinarian","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Aberdeen City and Aberdeenshire","Commercial","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Aberdeen City and Aberdeenshire","Commercial","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Aberdeen City and Aberdeenshire","Counter Fraud","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Aberdeen City and Aberdeenshire","Digital, Data and Technology","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Aberdeen City and Aberdeenshire","Digital, Data and Technology","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Aberdeen City and Aberdeenshire","Digital, Data and Technology","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Aberdeen City and Aberdeenshire","Finance","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
