"Status","Year","Ethnicity","Parent_department","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Attorney General's Departments","AA/AO","170","160","22800","23520"
"In post","2021","Asian","Attorney General's Departments","EO","170","160","27960","27580"
"In post","2021","Asian","Attorney General's Departments","G6/G7","410","380","56880","54200"
"In post","2021","Asian","Attorney General's Departments","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","SEO/HEO","130","130","37090","38090"
"In post","2021","Asian","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","EO","80","80","27800","27500"
"In post","2021","Asian","Cabinet Office","G6/G7","170","170","58360","56340"
"In post","2021","Asian","Cabinet Office","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","SEO/HEO","180","170","36950","35590"
"In post","2021","Asian","Chancellor's other departments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","G6/G7","40","40","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","AA/AO","90","80","21900","20880"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","EO","120","120","27610","27680"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","G6/G7","160","160","57700","54560"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","SEO/HEO","320","320","37360","36110"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","G6/G7","50","50","58340","55800"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","SEO/HEO","50","50","37640","35090"
"In post","2021","Asian","Department for Education","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Education","EO","130","130","26530","25000"
"In post","2021","Asian","Department for Education","G6/G7","170","170","55390","53420"
"In post","2021","Asian","Department for Education","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Education","SEO/HEO","380","370","35800","36500"
"In post","2021","Asian","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","AA/AO","60","60","22270","21050"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","EO","80","70","27560","28170"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","G6/G7","60","60","56300","54560"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","SEO/HEO","150","150","35650","35580"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for International Trade","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for International Trade","EO","30","30","[c]","[c]"
"In post","2021","Asian","Department for International Trade","G6/G7","60","60","53900","51970"
"In post","2021","Asian","Department for International Trade","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for International Trade","SEO/HEO","100","100","35430","35560"
"In post","2021","Asian","Department for Transport","AA/AO","80","70","23220","21590"
"In post","2021","Asian","Department for Transport","EO","120","110","28950","29970"
"In post","2021","Asian","Department for Transport","G6/G7","120","110","60780","55930"
"In post","2021","Asian","Department for Transport","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Transport","SEO/HEO","200","200","39770","36340"
"In post","2021","Asian","Department for Work and Pensions","AA/AO","2240","1880","21770","21010"
"In post","2021","Asian","Department for Work and Pensions","EO","4510","4160","29010","27570"
"In post","2021","Asian","Department for Work and Pensions","G6/G7","110","110","57210","54070"
"In post","2021","Asian","Department for Work and Pensions","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Work and Pensions","SEO/HEO","530","510","37390","36650"
"In post","2021","Asian","Department of Health and Social Care","AA/AO","140","130","22010","22100"
"In post","2021","Asian","Department of Health and Social Care","EO","220","210","26880","27150"
"In post","2021","Asian","Department of Health and Social Care","G6/G7","220","210","57780","54270"
"In post","2021","Asian","Department of Health and Social Care","SCS","90","90","103970","99310"
"In post","2021","Asian","Department of Health and Social Care","SEO/HEO","480","460","36190","34800"
"In post","2021","Asian","ESTYN","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","ESTYN","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","ESTYN","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","ESTYN","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","ESTYN","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","SCS","[c]","[c]","[c]","[c]"
