"Status","Year","Profession_of_post","Ethnicity","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Asian","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Asian","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Asian","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Asian","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Asian","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Asian","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Asian","Department for Education","50","40","[c]","[c]"
"In post","2021","Commercial","Asian","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Asian","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Asian","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Asian","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Asian","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Asian","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Asian","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Asian","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Asian","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Asian","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Asian","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Asian","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Asian","Ministry of Defence","50","50","[c]","[c]"
"In post","2021","Commercial","Asian","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Asian","Ministry of Justice","50","50","39700","36260"
"In post","2021","Commercial","Asian","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Asian","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Asian","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Asian","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Asian","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Asian","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Asian","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Asian","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Asian","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Asian","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","Ministry of Defence","30","30","[c]","[c]"
"In post","2021","Commercial","Black","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","Ministry of Justice","70","70","39380","35350"
"In post","2021","Commercial","Black","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mixed","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mixed","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mixed","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mixed","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mixed","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mixed","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mixed","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mixed","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mixed","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mixed","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mixed","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mixed","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mixed","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mixed","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mixed","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mixed","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mixed","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mixed","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mixed","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mixed","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mixed","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mixed","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mixed","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mixed","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mixed","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mixed","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mixed","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mixed","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mixed","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mixed","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mixed","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mixed","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","Department for International Trade","[c]","[c]","[c]","[c]"
