"Status","Year","Parent_department","Responsibility_level","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","AA/AO","Bedfordshire and Hertfordshire","40","30","[c]","[c]"
"In post","2021","Attorney General's Departments","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","AA/AO","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","AA/AO","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","AA/AO","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","AA/AO","Derbyshire and Nottinghamshire","70","70","21320","21950"
"In post","2021","Attorney General's Departments","AA/AO","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","AA/AO","East Anglia","40","30","[c]","[c]"
"In post","2021","Attorney General's Departments","AA/AO","East Wales","60","60","21910","21950"
"In post","2021","Attorney General's Departments","AA/AO","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","AA/AO","Essex","40","30","[c]","[c]"
"In post","2021","Attorney General's Departments","AA/AO","Gloucestershire, Wiltshire and Bath/Bristol area","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","AA/AO","Greater Manchester","70","60","21940","21950"
"In post","2021","Attorney General's Departments","AA/AO","Hampshire and Isle of Wight","60","50","22260","23520"
"In post","2021","Attorney General's Departments","AA/AO","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","AA/AO","Inner London - West","340","320","23120","23520"
"In post","2021","Attorney General's Departments","AA/AO","Kent","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","AA/AO","Lancashire","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","AA/AO","Leicestershire, Rutland and Northamptonshire","40","30","[c]","[c]"
"In post","2021","Attorney General's Departments","AA/AO","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","AA/AO","Merseyside","90","80","21840","21950"
"In post","2021","Attorney General's Departments","AA/AO","North Yorkshire","30","30","[c]","[c]"
