"Status","Year","Region_ITL1","Profession_of_post","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Commercial","G6/G7","40","30","[c]","[c]"
"In post","2021","East Midlands (England)","Commercial","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Commercial","SEO/HEO","60","60","41380","40560"
"In post","2021","East Midlands (England)","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Communications","SEO/HEO","60","50","35500","36340"
"In post","2021","East Midlands (England)","Counter Fraud","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Counter Fraud","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Counter Fraud","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Digital, Data and Technology","AA/AO","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","Digital, Data and Technology","EO","70","60","26860","26670"
"In post","2021","East Midlands (England)","Digital, Data and Technology","G6/G7","40","30","[c]","[c]"
"In post","2021","East Midlands (England)","Digital, Data and Technology","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Digital, Data and Technology","SEO/HEO","150","150","37730","36630"
"In post","2021","East Midlands (England)","Finance","AA/AO","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Finance","EO","50","40","[c]","[c]"
"In post","2021","East Midlands (England)","Finance","G6/G7","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Finance","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Finance","SEO/HEO","70","70","36080","34530"
"In post","2021","East Midlands (England)","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Human Resources","EO","70","60","26920","27130"
"In post","2021","East Midlands (England)","Human Resources","G6/G7","80","70","56680","52620"
"In post","2021","East Midlands (England)","Human Resources","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Human Resources","SEO/HEO","190","180","35780","33840"
"In post","2021","East Midlands (England)","Inspector of Education and Training","G6/G7","40","30","[c]","[c]"
"In post","2021","East Midlands (England)","Inspector of Education and Training","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Inspector of Education and Training","SEO/HEO","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","Intelligence Analysis","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Intelligence Analysis","EO","100","100","27980","26850"
"In post","2021","East Midlands (England)","Intelligence Analysis","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Intelligence Analysis","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Internal Audit","EO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Internal Audit","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Internal Audit","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","International Trade","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","International Trade","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Knowledge and Information Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Knowledge and Information Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Knowledge and Information Management","SEO/HEO","50","40","[c]","[c]"
"In post","2021","East Midlands (England)","Legal","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Legal","EO","100","90","26050","25560"
"In post","2021","East Midlands (England)","Legal","G6/G7","220","200","54560","55610"
"In post","2021","East Midlands (England)","Legal","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Legal","SEO/HEO","180","170","35880","34480"
"In post","2021","East Midlands (England)","Medicine","AA/AO","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","Medicine","EO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Medicine","G6/G7","40","30","[c]","[c]"
"In post","2021","East Midlands (England)","Medicine","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Medicine","SEO/HEO","90","80","38980","37890"
"In post","2021","East Midlands (England)","Operational Delivery","AA/AO","5110","4680","22750","21550"
"In post","2021","East Midlands (England)","Operational Delivery","EO","2200","2040","26830","26750"
"In post","2021","East Midlands (England)","Operational Delivery","G6/G7","220","210","58680","53430"
"In post","2021","East Midlands (England)","Operational Delivery","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Operational Delivery","SEO/HEO","1600","1510","35910","33840"
"In post","2021","East Midlands (England)","Operational Delivery","Unknown","960","880","29430","28620"
"In post","2021","East Midlands (England)","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Operational Research","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Operational Research","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other","AA/AO","590","560","20600","20920"
"In post","2021","East Midlands (England)","Other","EO","100","90","26530","26670"
"In post","2021","East Midlands (England)","Other","G6/G7","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","Other","SEO/HEO","110","110","33790","33300"
"In post","2021","East Midlands (England)","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Planning","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Policy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Policy","EO","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","Policy","G6/G7","80","70","54960","50630"
"In post","2021","East Midlands (England)","Policy","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Policy","SEO/HEO","130","120","35550","35000"
"In post","2021","East Midlands (England)","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Project Delivery","EO","60","60","26680","26670"
"In post","2021","East Midlands (England)","Project Delivery","G6/G7","90","90","54140","52580"
"In post","2021","East Midlands (England)","Project Delivery","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Project Delivery","SEO/HEO","180","180","36280","35290"
"In post","2021","East Midlands (England)","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Property","AA/AO","120","120","18970","18760"
"In post","2021","East Midlands (England)","Property","EO","90","80","26430","26410"
"In post","2021","East Midlands (England)","Property","G6/G7","80","80","55960","54940"
"In post","2021","East Midlands (England)","Property","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Property","SEO/HEO","180","170","36750","36460"
"In post","2021","East Midlands (England)","Psychology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Psychology","EO","50","50","26500","26330"
"In post","2021","East Midlands (England)","Psychology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Psychology","SEO/HEO","110","110","37050","31180"
"In post","2021","East Midlands (England)","Science and Engineering","AA/AO","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Science and Engineering","EO","60","60","26670","26410"
"In post","2021","East Midlands (England)","Science and Engineering","G6/G7","100","90","58810","57510"
"In post","2021","East Midlands (England)","Science and Engineering","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Science and Engineering","SEO/HEO","320","300","37560","37790"
"In post","2021","East Midlands (England)","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Security","AA/AO","110","110","25720","21130"
"In post","2021","East Midlands (England)","Security","EO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Security","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Social Research","EO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Social Research","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Statistics","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Statistics","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Tax","AA/AO","270","250","20160","20140"
"In post","2021","East Midlands (England)","Tax","EO","330","310","25900","25560"
"In post","2021","East Midlands (England)","Tax","G6/G7","220","210","55490","52580"
"In post","2021","East Midlands (England)","Tax","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Tax","SEO/HEO","560","530","33920","31810"
"In post","2021","East Midlands (England)","Unknown","AA/AO","1570","1320","20810","21010"
"In post","2021","East Midlands (England)","Unknown","EO","2700","2450","27430","27570"
"In post","2021","East Midlands (England)","Unknown","G6/G7","60","60","54880","52580"
"In post","2021","East Midlands (England)","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","SEO/HEO","530","510","33340","31990"
"In post","2021","East Midlands (England)","Veterinarian","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Veterinarian","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Commercial","G6/G7","30","30","[c]","[c]"
"In post","2021","East of England","Commercial","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Commercial","SEO/HEO","180","170","37160","35900"
"In post","2021","East of England","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Communications","SEO/HEO","40","40","[c]","[c]"
"In post","2021","East of England","Corporate Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Corporate Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Corporate Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Corporate Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Counter Fraud","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Counter Fraud","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Counter Fraud","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Digital, Data and Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Digital, Data and Technology","EO","100","100","26680","26460"
"In post","2021","East of England","Digital, Data and Technology","G6/G7","70","70","54360","52580"
"In post","2021","East of England","Digital, Data and Technology","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Digital, Data and Technology","SEO/HEO","300","280","35630","35000"
"In post","2021","East of England","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Economics","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Economics","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Finance","AA/AO","60","50","20960","20920"
"In post","2021","East of England","Finance","EO","80","80","27430","26670"
"In post","2021","East of England","Finance","G6/G7","60","60","56580","54800"
"In post","2021","East of England","Finance","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Finance","SEO/HEO","170","170","37680","37030"
"In post","2021","East of England","Human Resources","AA/AO","30","30","[c]","[c]"
"In post","2021","East of England","Human Resources","EO","40","40","[c]","[c]"
"In post","2021","East of England","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Human Resources","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Human Resources","SEO/HEO","100","90","37590","35820"
"In post","2021","East of England","Inspector of Education and Training","G6/G7","50","50","76000","75500"
"In post","2021","East of England","Inspector of Education and Training","SEO/HEO","40","40","[c]","[c]"
"In post","2021","East of England","Intelligence Analysis","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Intelligence Analysis","EO","170","170","27160","26670"
"In post","2021","East of England","Intelligence Analysis","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Intelligence Analysis","SEO/HEO","230","220","35390","33300"
"In post","2021","East of England","Internal Audit","EO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Internal Audit","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Internal Audit","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","International Trade","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Knowledge and Information Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Knowledge and Information Management","EO","40","40","[c]","[c]"
"In post","2021","East of England","Knowledge and Information Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Knowledge and Information Management","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Knowledge and Information Management","SEO/HEO","70","70","38210","37960"
"In post","2021","East of England","Legal","AA/AO","120","100","20790","20140"
"In post","2021","East of England","Legal","EO","140","130","26490","25560"
"In post","2021","East of England","Legal","G6/G7","210","190","58380","59930"
"In post","2021","East of England","Legal","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Legal","SEO/HEO","210","190","36000","35640"
"In post","2021","East of England","Medicine","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Medicine","EO","30","30","[c]","[c]"
"In post","2021","East of England","Medicine","G6/G7","40","30","[c]","[c]"
"In post","2021","East of England","Medicine","SCS","30","30","[c]","[c]"
"In post","2021","East of England","Medicine","SEO/HEO","50","40","[c]","[c]"
"In post","2021","East of England","Operational Delivery","AA/AO","5050","4660","24280","21710"
"In post","2021","East of England","Operational Delivery","EO","2440","2250","27810","26910"
"In post","2021","East of England","Operational Delivery","G6/G7","250","240","58920","54310"
"In post","2021","East of England","Operational Delivery","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Operational Delivery","SEO/HEO","1430","1360","36870","34870"
"In post","2021","East of England","Operational Delivery","Unknown","1020","930","28590","28200"
"In post","2021","East of England","Operational Research","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Other","AA/AO","790","760","20890","20920"
"In post","2021","East of England","Other","EO","220","200","28050","26930"
"In post","2021","East of England","Other","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Other","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Other","SEO/HEO","140","140","35140","33340"
"In post","2021","East of England","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Policy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Policy","G6/G7","60","60","56240","53010"
"In post","2021","East of England","Policy","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Policy","SEO/HEO","110","110","37810","38630"
"In post","2021","East of England","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Project Delivery","EO","80","80","27100","26670"
"In post","2021","East of England","Project Delivery","G6/G7","110","100","56460","54540"
"In post","2021","East of England","Project Delivery","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Project Delivery","SEO/HEO","380","370","37280","37640"
"In post","2021","East of England","Property","AA/AO","100","100","19250","18800"
"In post","2021","East of England","Property","EO","120","110","26380","26500"
"In post","2021","East of England","Property","G6/G7","50","40","[c]","[c]"
"In post","2021","East of England","Property","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Property","SEO/HEO","240","230","36790","34610"
"In post","2021","East of England","Psychology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Psychology","EO","60","50","26290","25830"
"In post","2021","East of England","Psychology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Psychology","SEO/HEO","100","100","36500","31180"
"In post","2021","East of England","Science and Engineering","AA/AO","130","120","21710","21570"
"In post","2021","East of England","Science and Engineering","EO","130","120","26160","25190"
"In post","2021","East of England","Science and Engineering","G6/G7","180","170","57060","53860"
"In post","2021","East of England","Science and Engineering","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Science and Engineering","SEO/HEO","480","450","35450","35900"
"In post","2021","East of England","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Security","AA/AO","350","350","27310","22650"
"In post","2021","East of England","Security","EO","90","90","37240","42660"
"In post","2021","East of England","Security","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Security","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Security","SEO/HEO","100","100","44960","41170"
"In post","2021","East of England","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Statistics","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Statistics","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Statistics","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Tax","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Tax","EO","100","90","27430","28130"
"In post","2021","East of England","Tax","G6/G7","30","30","[c]","[c]"
"In post","2021","East of England","Tax","SEO/HEO","130","120","34770","34170"
"In post","2021","East of England","Unknown","AA/AO","1050","890","22700","22980"
"In post","2021","East of England","Unknown","EO","3240","2940","28780","29290"
"In post","2021","East of England","Unknown","G6/G7","90","80","56620","53610"
"In post","2021","East of England","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Unknown","SEO/HEO","520","500","35670","35120"
"In post","2021","East of England","Veterinarian","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Veterinarian","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","London","Commercial","AA/AO","50","50","23760","24100"
"In post","2021","London","Commercial","EO","100","100","29060","29740"
