"Status","Year","Sexual_orientation","Parent_department","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Bedfordshire and Hertfordshire","130","120","41700","40000"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","90","90","42390","38120"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Derbyshire and Nottinghamshire","190","180","36960","30130"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Devon","80","80","39080","34480"
"In post","2021","Heterosexual / straight","Attorney General's Departments","East Anglia","80","80","35280","28430"
"In post","2021","Heterosexual / straight","Attorney General's Departments","East Wales","210","190","40840","38180"
"In post","2021","Heterosexual / straight","Attorney General's Departments","East Yorkshire and Northern Lincolnshire","50","50","38910","31720"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Essex","140","130","40910","35630"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","130","120","41030","38180"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Greater Manchester","290","260","40710","38000"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Hampshire and Isle of Wight","190","180","42150","39750"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Inner London - West","3000","2840","49600","51250"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Kent","80","80","37640","30110"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Lancashire","120","110","39160","38000"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Leicestershire, Rutland and Northamptonshire","110","100","40230","43420"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Merseyside","260","250","36940","30720"
"In post","2021","Heterosexual / straight","Attorney General's Departments","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Attorney General's Departments","North Yorkshire","220","210","45080","50850"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Northumberland and Tyne and Wear","170","160","38510","34480"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Outer London - South","70","60","39390","32050"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Shropshire and Staffordshire","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Attorney General's Departments","South Yorkshire","80","80","34710","28430"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Surrey, East and West Sussex","110","100","43130","40000"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Tees Valley and Durham","70","60","37080","28430"
"In post","2021","Heterosexual / straight","Attorney General's Departments","West Midlands","340","320","38910","38000"
"In post","2021","Heterosexual / straight","Attorney General's Departments","West Wales and The Valleys","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Attorney General's Departments","West Yorkshire","310","290","41230","38180"
"In post","2021","Heterosexual / straight","Cabinet Office","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cabinet Office","Berkshire, Buckinghamshire and Oxfordshire","60","60","33370","33300"
"In post","2021","Heterosexual / straight","Cabinet Office","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cabinet Office","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cabinet Office","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cabinet Office","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cabinet Office","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cabinet Office","East Anglia","50","50","39340","33300"
"In post","2021","Heterosexual / straight","Cabinet Office","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cabinet Office","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cabinet Office","Gloucestershire, Wiltshire and Bath/Bristol area","50","50","45890","39740"
"In post","2021","Heterosexual / straight","Cabinet Office","Greater Manchester","110","110","42610","37300"
"In post","2021","Heterosexual / straight","Cabinet Office","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cabinet Office","Inner London - East","550","540","53620","54700"
"In post","2021","Heterosexual / straight","Cabinet Office","Inner London - West","2670","2620","51630","54700"
"In post","2021","Heterosexual / straight","Cabinet Office","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cabinet Office","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cabinet Office","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cabinet Office","Merseyside","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Cabinet Office","North Yorkshire","220","210","30610","29200"
"In post","2021","Heterosexual / straight","Cabinet Office","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cabinet Office","Northumberland and Tyne and Wear","310","290","28350","23850"
"In post","2021","Heterosexual / straight","Cabinet Office","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cabinet Office","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cabinet Office","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cabinet Office","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
