"Status","Year","Sex","Function_of_post","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Analysis","AA/AO","110","100","21380","21050"
"In post","2021","Female","Analysis","EO","370","340","26260","25880"
"In post","2021","Female","Analysis","G6/G7","1010","940","57880","55970"
"In post","2021","Female","Analysis","SCS","60","60","88120","79520"
"In post","2021","Female","Analysis","SEO/HEO","1700","1610","35740","36030"
"In post","2021","Female","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","AA/AO","300","280","22080","21440"
"In post","2021","Female","Commercial","EO","510","470","26710","26670"
"In post","2021","Female","Commercial","G6/G7","800","780","60520","56040"
"In post","2021","Female","Commercial","SCS","230","220","88300","73000"
"In post","2021","Female","Commercial","SEO/HEO","1570","1510","37360","36910"
"In post","2021","Female","Commercial","Unknown","110","110","37840","34500"
"In post","2021","Female","Communications","AA/AO","300","260","21410","21400"
"In post","2021","Female","Communications","EO","1500","1410","26040","25560"
"In post","2021","Female","Communications","G6/G7","640","600","57850","56130"
"In post","2021","Female","Communications","SCS","70","70","85110","80370"
"In post","2021","Female","Communications","SEO/HEO","1780","1710","36010","34770"
"In post","2021","Female","Counter Fraud","AA/AO","520","430","21520","21440"
"In post","2021","Female","Counter Fraud","EO","1720","1560","26980","25560"
"In post","2021","Female","Counter Fraud","G6/G7","390","370","56230","52770"
"In post","2021","Female","Counter Fraud","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","SEO/HEO","1870","1740","34780","32520"
"In post","2021","Female","Debt","AA/AO","1950","1660","21110","20140"
"In post","2021","Female","Debt","EO","530","460","26920","25560"
"In post","2021","Female","Debt","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Female","Debt","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Female","Debt","SEO/HEO","140","130","33980","31810"
"In post","2021","Female","Digital, Data & Technology","AA/AO","210","190","21650","21230"
"In post","2021","Female","Digital, Data & Technology","EO","880","820","27180","26670"
"In post","2021","Female","Digital, Data & Technology","G6/G7","1300","1260","56510","54700"
"In post","2021","Female","Digital, Data & Technology","SCS","90","90","88680","79360"
"In post","2021","Female","Digital, Data & Technology","SEO/HEO","2490","2360","36400","36160"
"In post","2021","Female","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","AA/AO","990","800","21180","21130"
"In post","2021","Female","Finance","EO","1080","1000","26570","26670"
