"Status","Year","Region_ITL3","Responsibility_level","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","AA/AO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","AA/AO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","AA/AO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","AA/AO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","AA/AO","Operational Delivery","220","210","22600","22220"
"In post","2021","Aberdeen City and Aberdeenshire","AA/AO","Other","40","40","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","AA/AO","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","AA/AO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","AA/AO","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","AA/AO","Security","80","80","39720","44070"
"In post","2021","Aberdeen City and Aberdeenshire","AA/AO","Unknown","180","160","22770","22230"
"In post","2021","Aberdeen City and Aberdeenshire","EO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","EO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","EO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","EO","Operational Delivery","210","200","30080","29350"
"In post","2021","Aberdeen City and Aberdeenshire","EO","Other","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","EO","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","EO","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","EO","Security","[c]","[c]","[c]","[c]"
