"Status","Year","Age","Region_ITL3","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Aberdeen City and Aberdeenshire","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Aberdeen City and Aberdeenshire","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Angus and Dundee City","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Angus and Dundee City","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barking & Dagenham and Havering","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barnet","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barnsley, Doncaster and Rotherham","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barnsley, Doncaster and Rotherham","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","Ministry of Defence","100","100","18070","17780"
"In post","2021","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bedford","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bedford","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Belfast","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bexley and Greenwich","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bexley and Greenwich","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Birmingham","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Birmingham","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Birmingham","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Birmingham","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Birmingham","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Birmingham","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Birmingham","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Blackburn with Darwen","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Blackpool","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bradford","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bradford","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bradford","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Breckland and South Norfolk","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Brent","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Brent","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bridgend and Neath Port Talbot","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Brighton and Hove","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bristol, City of","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bristol, City of","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bristol, City of","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bristol, City of","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bristol, City of","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bristol, City of","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bristol, City of","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Buckinghamshire CC","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Buckinghamshire CC","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Calderdale and Kirklees","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Calderdale and Kirklees","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cambridgeshire CC","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cambridgeshire CC","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cambridgeshire CC","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Camden and City of London","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Camden and City of London","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cardiff and Vale of Glamorgan","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cardiff and Vale of Glamorgan","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cardiff and Vale of Glamorgan","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cardiff and Vale of Glamorgan","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cardiff and Vale of Glamorgan","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Central Bedfordshire","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Central Hampshire","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Central Valleys","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cheshire East","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cheshire East","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cheshire West and Chester","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chorley and West Lancashire","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","City of Edinburgh","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","City of Edinburgh","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","City of Edinburgh","Scottish Government","60","60","21470","21150"
"In post","2021","16-19","Clackmannanshire and Fife","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Clackmannanshire and Fife","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cornwall and Isles of Scilly","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cornwall and Isles of Scilly","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Coventry","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Coventry","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Croydon","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Croydon","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Croydon","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Derby","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Devon CC","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Devon CC","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Dudley","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Dudley","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Dumfries and Galloway","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Dumfries and Galloway","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Durham CC","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Durham CC","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Durham CC","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ealing","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Ayrshire and North Ayrshire mainland","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Ayrshire and North Ayrshire mainland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Cumbria","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Kent","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Kent","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Kent","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Riding of Yorkshire","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Surrey","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Sussex CC","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Sussex CC","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Sussex CC","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Enfield","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Essex Haven Gateway","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Essex Haven Gateway","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Essex Thames Gateway","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Falkirk","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Falkirk","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Flintshire and Wrexham","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Flintshire and Wrexham","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Glasgow City","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Glasgow City","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Glasgow City","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Glasgow City","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Glasgow City","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Glasgow City","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Gloucestershire","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Gloucestershire","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Greater Manchester North West","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Greater Manchester North West","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Greater Manchester South East","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Greater Manchester South West","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Greater Manchester South West","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Gwent Valleys","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Gwynedd","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Gwynedd","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Hackney and Newham","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Haringey and Islington","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Harrow and Hillingdon","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heart of Essex","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Hertfordshire","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Hertfordshire","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Hertfordshire","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Hounslow and Richmond upon Thames","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Hounslow and Richmond upon Thames","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Hounslow and Richmond upon Thames","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Inverclyde, East Renfrewshire and Renfrewshire","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Inverness and Nairn and Moray, Badenoch and Strathspey","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Inverness and Nairn and Moray, Badenoch and Strathspey","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Kensington & Chelsea and Hammersmith & Fulham","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Kent Thames Gateway","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Kingston upon Hull, City of","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Lambeth","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Lambeth","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Lancaster and Wyre","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Lancaster and Wyre","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Leeds","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Leeds","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Leeds","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Leeds","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Leeds","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Leeds","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Leeds","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Leicester","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Leicester","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Leicester","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Leicester","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Leicestershire CC and Rutland","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Leicestershire CC and Rutland","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Leicestershire CC and Rutland","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Lewisham and Southwark","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Lincolnshire","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Lincolnshire","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Liverpool","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Liverpool","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Liverpool","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Liverpool","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Liverpool","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Liverpool","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Manchester","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Manchester","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Manchester","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Manchester","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Manchester","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Manchester","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Manchester","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Medway","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Medway","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mid Kent","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mid Lancashire","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mid Lancashire","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mid Lancashire","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mid Lancashire","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mid Lancashire","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mid Lancashire","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Milton Keynes","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Milton Keynes","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Milton Keynes","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Milton Keynes","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Monmouthshire and Newport","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Monmouthshire and Newport","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Monmouthshire and Newport","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Monmouthshire and Newport","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Monmouthshire and Newport","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Na h-Eileanan Siar","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North and North East Lincolnshire","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North Hampshire","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North Lanarkshire","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North Lanarkshire","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North Nottinghamshire","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North Nottinghamshire","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Norwich and East Norfolk","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Norwich and East Norfolk","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Nottingham","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Nottingham","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Nottingham","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Nottingham","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Nottingham","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Nottingham","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Nottingham","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Nottingham","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Orkney Islands","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Oxfordshire","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Oxfordshire","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Oxfordshire","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Perth and Kinross and Stirling","Scottish Government","[c]","[c]","[c]","[c]"
