"Status","Year","Parent_department","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","AA/AO","1540","1410","22310","21950"
"In post","2021","Attorney General's Departments","EO","1760","1640","28060","28430"
"In post","2021","Attorney General's Departments","G6/G7","4770","4410","58520","55610"
"In post","2021","Attorney General's Departments","SCS","310","300","87560","82500"
"In post","2021","Attorney General's Departments","SEO/HEO","1450","1410","36610","37730"
"In post","2021","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","AA/AO","560","520","21810","20920"
"In post","2021","Cabinet Office","EO","890","860","27210","27500"
"In post","2021","Cabinet Office","G6/G7","3030","2970","59600","56340"
"In post","2021","Cabinet Office","SCS","970","950","92190","78420"
"In post","2021","Cabinet Office","SEO/HEO","4020","3970","33650","33300"
"In post","2021","Chancellor's other departments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","EO","40","40","[c]","[c]"
"In post","2021","Chancellor's other departments","G6/G7","180","170","76450","70720"
"In post","2021","Chancellor's other departments","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","SEO/HEO","150","140","41470","41310"
"In post","2021","Charity Commission","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","EO","110","100","24760","24440"
"In post","2021","Charity Commission","G6/G7","70","60","55710","52700"
"In post","2021","Charity Commission","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SEO/HEO","240","230","33030","30350"
"In post","2021","Competition and Markets Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","EO","80","70","28540","28070"
"In post","2021","Competition and Markets Authority","G6/G7","430","410","66300","62980"
"In post","2021","Competition and Markets Authority","SCS","110","110","109380","101280"
"In post","2021","Competition and Markets Authority","SEO/HEO","200","200","37820","35400"
"In post","2021","Department for Business, Energy and Industrial Strategy","AA/AO","1500","1380","21630","20880"
"In post","2021","Department for Business, Energy and Industrial Strategy","EO","1940","1860","26470","26290"
"In post","2021","Department for Business, Energy and Industrial Strategy","G6/G7","3620","3500","57800","56410"
"In post","2021","Department for Business, Energy and Industrial Strategy","SCS","390","380","83560","75540"
"In post","2021","Department for Business, Energy and Industrial Strategy","SEO/HEO","5710","5510","37820","38320"
"In post","2021","Department for Digital, Culture, Media and Sport","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","EO","180","180","27400","26180"
"In post","2021","Department for Digital, Culture, Media and Sport","G6/G7","800","790","58650","56730"
"In post","2021","Department for Digital, Culture, Media and Sport","SCS","120","120","86600","76510"
"In post","2021","Department for Digital, Culture, Media and Sport","SEO/HEO","660","660","37010","34020"
"In post","2021","Department for Education","AA/AO","110","100","21880","21000"
"In post","2021","Department for Education","EO","960","930","26680","26000"
"In post","2021","Department for Education","G6/G7","2890","2780","56490","54160"
"In post","2021","Department for Education","SCS","300","290","84160","75030"
"In post","2021","Department for Education","SEO/HEO","3660","3540","35660","36500"
"In post","2021","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","AA/AO","2040","1860","21520","21050"
"In post","2021","Department for Environment, Food and Rural Affairs","EO","2060","1930","26230","25330"
"In post","2021","Department for Environment, Food and Rural Affairs","G6/G7","2340","2260","54520","53200"
"In post","2021","Department for Environment, Food and Rural Affairs","SCS","230","230","83690","76850"
"In post","2021","Department for Environment, Food and Rural Affairs","SEO/HEO","4380","4190","34930","35890"
"In post","2021","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","AA/AO","40","30","[c]","[c]"
"In post","2021","Department for International Trade","EO","250","250","27360","26510"
"In post","2021","Department for International Trade","G6/G7","1080","1060","55440","52460"
"In post","2021","Department for International Trade","SCS","180","170","86280","76730"
"In post","2021","Department for International Trade","SEO/HEO","1150","1140","35350","34830"
"In post","2021","Department for Transport","AA/AO","5700","4960","21800","21590"
"In post","2021","Department for Transport","EO","4180","3920","28020","26780"
"In post","2021","Department for Transport","G6/G7","1880","1830","60360","55640"
"In post","2021","Department for Transport","SCS","230","220","88940","80530"
"In post","2021","Department for Transport","SEO/HEO","3990","3880","37760","36180"
"In post","2021","Department for Work and Pensions","AA/AO","29600","25350","21180","21010"
"In post","2021","Department for Work and Pensions","EO","49020","44370","28120","27570"
"In post","2021","Department for Work and Pensions","G6/G7","3280","3150","57380","54640"
"In post","2021","Department for Work and Pensions","SCS","280","270","89630","80800"
"In post","2021","Department for Work and Pensions","SEO/HEO","11350","10690","35950","34290"
"In post","2021","Department of Health and Social Care","AA/AO","980","870","21320","21570"
"In post","2021","Department of Health and Social Care","EO","1580","1480","26470","27140"
"In post","2021","Department of Health and Social Care","G6/G7","3660","3500","58140","54230"
"In post","2021","Department of Health and Social Care","SCS","890","800","98740","93000"
"In post","2021","Department of Health and Social Care","SEO/HEO","4650","4380","36220","36330"
"In post","2021","ESTYN","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","EO","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","G6/G7","70","60","73880","74730"
"In post","2021","ESTYN","SCS","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","EO","440","420","27280","26750"
"In post","2021","Food Standards Agency","G6/G7","220","220","56380","56130"
"In post","2021","Food Standards Agency","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","SEO/HEO","620","610","36010","37350"
"In post","2021","Foreign, Commonwealth and Development Office","AA/AO","600","580","25550","24750"
"In post","2021","Foreign, Commonwealth and Development Office","EO","970","940","29500","29300"
"In post","2021","Foreign, Commonwealth and Development Office","G6/G7","3280","3190","59580","58030"
"In post","2021","Foreign, Commonwealth and Development Office","SCS","560","550","86520","78010"
"In post","2021","Foreign, Commonwealth and Development Office","SEO/HEO","3190","3140","37960","37560"
"In post","2021","Foreign, Commonwealth and Development Office","Unknown","50","50","[c]","[c]"
