"Status","Year","Function_of_post","Disability","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Declared disabled","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","East Wales","90","80","36790","36030"
"In post","2021","Analysis","Declared disabled","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Hampshire and Isle of Wight","100","90","38330","37320"
"In post","2021","Analysis","Declared disabled","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Inner London - East","50","50","47130","42260"
"In post","2021","Analysis","Declared disabled","Inner London - West","180","170","47160","42470"
"In post","2021","Analysis","Declared disabled","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared non-disabled","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared non-disabled","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared non-disabled","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared non-disabled","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared non-disabled","Cumbria","[c]","[c]","[c]","[c]"
