"Status","Year","Parent_department","Responsibility_level","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","SEO/HEO","Government Legal Department","250","240","38020","38410"
"In post","2021","Attorney General's Departments","SEO/HEO","Serious Fraud Office","210","200","37320","38300"
"In post","2021","Attorney General's Departments","Unknown","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","AA/AO","Cabinet Office (excl. agencies)","560","520","21810","20920"
"In post","2021","Cabinet Office","EO","Cabinet Office (excl. agencies)","890","860","27210","27500"
"In post","2021","Cabinet Office","G6/G7","Cabinet Office (excl. agencies)","3030","2970","59600","56340"
"In post","2021","Cabinet Office","SCS","Cabinet Office (excl. agencies)","970","950","92190","78420"
"In post","2021","Cabinet Office","SEO/HEO","Cabinet Office (excl. agencies)","4020","3970","33650","33300"
"In post","2021","Chancellor's other departments","AA/AO","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","AA/AO","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","EO","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","EO","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","G6/G7","Government Actuary's Department","110","100","87220","82360"
"In post","2021","Chancellor's other departments","G6/G7","National Savings and Investments","70","70","59300","57120"
"In post","2021","Chancellor's other departments","SCS","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","SCS","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","SEO/HEO","Government Actuary's Department","60","60","42270","41210"
"In post","2021","Chancellor's other departments","SEO/HEO","National Savings and Investments","90","90","40940","41460"
"In post","2021","Charity Commission","AA/AO","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","EO","Charity Commission","110","100","24760","24440"
"In post","2021","Charity Commission","G6/G7","Charity Commission","70","60","55710","52700"
"In post","2021","Charity Commission","SCS","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SEO/HEO","Charity Commission","240","230","33030","30350"
"In post","2021","Competition and Markets Authority","AA/AO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","EO","Competition and Markets Authority","80","70","28540","28070"
"In post","2021","Competition and Markets Authority","G6/G7","Competition and Markets Authority","430","410","66300","62980"
"In post","2021","Competition and Markets Authority","SCS","Competition and Markets Authority","110","110","109380","101280"
"In post","2021","Competition and Markets Authority","SEO/HEO","Competition and Markets Authority","200","200","37820","35400"
"In post","2021","Department for Business, Energy and Industrial Strategy","AA/AO","Advisory, Conciliation and Arbitration Service","50","40","21090","21000"
"In post","2021","Department for Business, Energy and Industrial Strategy","AA/AO","Companies House","430","380","21720","22490"
