"Status","Year","Ethnicity","Age","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","16-19","AA/AO","50","40","[c]","[c]"
"In post","2021","Asian","16-19","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","20-29","AA/AO","1620","1540","21780","21010"
"In post","2021","Asian","20-29","EO","2210","2180","27900","27570"
"In post","2021","Asian","20-29","G6/G7","270","260","54550","53380"
"In post","2021","Asian","20-29","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","20-29","SEO/HEO","1500","1490","34850","34020"
"In post","2021","Asian","20-29","Unknown","130","130","25430","23840"
"In post","2021","Asian","30-39","AA/AO","1900","1680","21940","21010"
"In post","2021","Asian","30-39","EO","2560","2410","27770","27570"
"In post","2021","Asian","30-39","G6/G7","1010","990","57290","54800"
"In post","2021","Asian","30-39","SCS","60","60","82840","76280"
"In post","2021","Asian","30-39","SEO/HEO","2260","2200","36390","35430"
"In post","2021","Asian","30-39","Unknown","170","160","29300","28690"
"In post","2021","Asian","40-49","AA/AO","1980","1660","22230","21010"
"In post","2021","Asian","40-49","EO","2460","2240","28260","27570"
"In post","2021","Asian","40-49","G6/G7","1080","1050","59360","57740"
"In post","2021","Asian","40-49","SCS","140","130","88870","85000"
"In post","2021","Asian","40-49","SEO/HEO","2020","1940","37680","36650"
"In post","2021","Asian","40-49","Unknown","180","160","32830","32840"
"In post","2021","Asian","50-59","AA/AO","1600","1420","22510","21440"
"In post","2021","Asian","50-59","EO","1900","1760","28870","28990"
"In post","2021","Asian","50-59","G6/G7","550","540","60520","59160"
"In post","2021","Asian","50-59","SCS","80","80","102510","99820"
"In post","2021","Asian","50-59","SEO/HEO","1280","1250","38310","37100"
"In post","2021","Asian","50-59","Unknown","100","90","32380","32090"
"In post","2021","Asian","60-64","AA/AO","540","450","23040","22890"
"In post","2021","Asian","60-64","EO","460","380","29350","29370"
"In post","2021","Asian","60-64","G6/G7","70","60","61640","60690"
"In post","2021","Asian","60-64","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","60-64","SEO/HEO","270","240","39540","38430"
"In post","2021","Asian","60-64","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","65+","AA/AO","320","250","23680","24210"
"In post","2021","Asian","65+","EO","220","160","29860","30330"
"In post","2021","Asian","65+","G6/G7","[c]","[c]","[c]","[c]"
