"Status","Year","Region_ITL3","Sexual_orientation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","Heterosexual / straight","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","80","70","49200","40200"
"In post","2021","Aberdeen City and Aberdeenshire","Heterosexual / straight","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Heterosexual / straight","Department for Transport","60","60","32760","27680"
"In post","2021","Aberdeen City and Aberdeenshire","Heterosexual / straight","Department for Work and Pensions","250","230","42420","27570"
"In post","2021","Aberdeen City and Aberdeenshire","Heterosexual / straight","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Heterosexual / straight","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Heterosexual / straight","Ministry of Defence","70","70","38000","44070"
"In post","2021","Aberdeen City and Aberdeenshire","Heterosexual / straight","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Heterosexual / straight","Scottish Government","570","540","35610","33550"
"In post","2021","Aberdeen City and Aberdeenshire","LGBO","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","LGBO","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","LGBO","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","LGBO","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","LGBO","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","LGBO","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","LGBO","Home Office","[c]","[c]","[c]","[c]"
