"Status","Year","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","5360","5170","40420","37420"
"In post","2021","Communications","3960","3830","41550","38540"
"In post","2021","Corporate Finance","170","160","47800","46080"
"In post","2021","Counter Fraud","890","850","38100","35240"
"In post","2021","Digital, Data and Technology","13290","12950","41770","38630"
"In post","2021","Economics","2160","2120","47120","43300"
"In post","2021","Finance","9160","8720","40350","36780"
"In post","2021","Human Resources","7860","7460","38650","33860"
"In post","2021","Inspector of Education and Training","860","840","66460","74730"
"In post","2021","Intelligence Analysis","3400","3260","35140","31510"
"In post","2021","Internal Audit","780","740","45800","42810"
"In post","2021","International Trade","1470","1450","46910","40920"
"In post","2021","Knowledge and Information Management","2390","2280","36810","33340"
"In post","2021","Legal","12150","11360","48080","49710"
"In post","2021","Medicine","2500","2240","56290","41720"
"In post","2021","Operational Delivery","176110","162020","28680","25830"
"In post","2021","Operational Research","1190","1150","44250","42490"
"In post","2021","Other","22670","21770","31860","26930"
"In post","2021","Planning","200","190","45970","40720"
"In post","2021","Planning Inspectors","340","300","57920","58810"
"In post","2021","Policy","29090","28290","47390","43050"
"In post","2021","Project Delivery","16020","15540","42450","39040"
"In post","2021","Property","6960","6660","36360","33300"
"In post","2021","Psychology","1420","1350","35680","31180"
"In post","2021","Science and Engineering","14090","13520","38760","37320"
"In post","2021","Security","8310","8150","31490","27760"
"In post","2021","Social Research","1160","1110","42620","40020"
"In post","2021","Statistics","2040","1960","43260","39440"
"In post","2021","Tax","17800","16800","33340","31810"
"In post","2021","Unknown","120640","110150","30900","27570"
"In post","2021","Veterinarian","450","430","45960","44610"
"In post","2022","Commercial","6200","5970","39900","37270"
"In post","2022","Communications","4170","4030","42420","38820"
"In post","2022","Corporate Finance","150","140","48830","45830"
"In post","2022","Counter Fraud","6590","5930","29220","27570"
"In post","2022","Digital, Data and Technology","20010","19500","42110","38550"
"In post","2022","Economics","2090","2050","47520","43950"
"In post","2022","Finance","12320","11850","40450","36500"
"In post","2022","Geography","490","460","31420","33000"
"In post","2022","Human Resources","9610","9140","38940","34630"
"In post","2022","Inspector of Education and Training","940","910","65670","70500"
"In post","2022","Intelligence Analysis","3240","3100","33870","30820"
"In post","2022","Internal Audit","780","740","46120","43250"
"In post","2022","International Trade","1640","1620","47260","43820"
"In post","2022","Knowledge and Information Management","2380","2280","35540","32670"
"In post","2022","Legal","12680","11870","48870","49710"
"In post","2022","Medicine","2510","2230","55730","45840"
"In post","2022","Operational Delivery","255000","233400","28710","27130"
"In post","2022","Operational Research","1140","1090","45060","43950"
"In post","2022","Other","30380","28810","30790","27570"
"In post","2022","Planning","230","220","44610","40720"
"In post","2022","Planning Inspectors","380","330","56300","58810"
"In post","2022","Policy","32960","32020","47330","43300"
"In post","2022","Project Delivery","15890","15270","43470","40520"
"In post","2022","Property","7600","7280","38000","33380"
"In post","2022","Psychology","1520","1460","35760","31180"
"In post","2022","Science and Engineering","13950","13430","39220","38070"
"In post","2022","Security","9280","9080","32430","29670"
"In post","2022","Social Research","1330","1270","42430","38340"
"In post","2022","Statistics","2400","2320","43740","39850"
"In post","2022","Tax","19600","18630","35190","33370"
"In post","2022","Unknown","32240","31260","41860","34710"
"In post","2022","Veterinarian","420","400","44200","39910"
"Leaver CS","2021","Commercial","190","180","39180","36780"
"Leaver CS","2021","Communications","230","220","36940","33300"
"Leaver CS","2021","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","30","30","[c]","[c]"
