"Status","Year","Region_ITL2","Age","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","16-19","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","16-19","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","20-29","Female","400","390","27570","27570"
"In post","2021","Bedfordshire and Hertfordshire","20-29","Male","300","300","29420","29290"
"In post","2021","Bedfordshire and Hertfordshire","30-39","Female","520","480","31850","29290"
"In post","2021","Bedfordshire and Hertfordshire","30-39","Male","380","380","33560","31300"
"In post","2021","Bedfordshire and Hertfordshire","40-49","Female","580","520","34220","29570"
"In post","2021","Bedfordshire and Hertfordshire","40-49","Male","440","430","34910","31380"
"In post","2021","Bedfordshire and Hertfordshire","50-59","Female","780","720","32130","29290"
"In post","2021","Bedfordshire and Hertfordshire","50-59","Male","580","560","35760","32530"
"In post","2021","Bedfordshire and Hertfordshire","60-64","Female","230","190","29470","28200"
"In post","2021","Bedfordshire and Hertfordshire","60-64","Male","190","170","33170","30280"
"In post","2021","Bedfordshire and Hertfordshire","65+","Female","60","50","26630","25620"
"In post","2021","Bedfordshire and Hertfordshire","65+","Male","70","60","33680","30700"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","16-19","Female","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","16-19","Male","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","20-29","Female","760","750","27130","26970"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","20-29","Male","720","720","28010","27570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","30-39","Female","900","830","31620","29290"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","30-39","Male","940","940","33330","31810"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","40-49","Female","1070","980","34100","29290"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","40-49","Male","1010","1000","35840","33520"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","50-59","Female","1460","1360","32480","29290"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","50-59","Male","1480","1460","36910","34280"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","60-64","Female","410","340","30990","27920"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","60-64","Male","450","410","34330","31850"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","65+","Female","170","140","28540","25660"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","65+","Male","180","150","34930","30460"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","16-19","Female","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","16-19","Male","[c]","[c]","[c]","[c]"
