"Status","Year","Responsibility_level","Region_ITL2","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Bedfordshire and Hertfordshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bedfordshire and Hertfordshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bedfordshire and Hertfordshire","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bedfordshire and Hertfordshire","Debt","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bedfordshire and Hertfordshire","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bedfordshire and Hertfordshire","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bedfordshire and Hertfordshire","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bedfordshire and Hertfordshire","Legal","40","30","[c]","[c]"
"In post","2021","AA/AO","Bedfordshire and Hertfordshire","No function","760","710","25670","25720"
"In post","2021","AA/AO","Bedfordshire and Hertfordshire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bedfordshire and Hertfordshire","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bedfordshire and Hertfordshire","Security","60","60","21490","22650"
"In post","2021","AA/AO","Bedfordshire and Hertfordshire","Unknown","350","320","22700","22430"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","Debt","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","Grants Management","70","60","21050","21050"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","Human Resources","30","30","[c]","[c]"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","Legal","40","30","[c]","[c]"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","No function","1770","1680","26260","25400"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","Property","60","60","18940","18240"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","Security","710","710","30170","27680"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","Unknown","810","760","21470","21130"
"In post","2021","AA/AO","Cheshire","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cheshire","Grants Management","50","40","[c]","[c]"
"In post","2021","AA/AO","Cheshire","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cheshire","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cheshire","No function","780","730","24420","23240"
"In post","2021","AA/AO","Cheshire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cheshire","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cheshire","Security","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cheshire","Unknown","370","320","20810","21010"
"In post","2021","AA/AO","Cornwall and Isles of Scilly","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cornwall and Isles of Scilly","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cornwall and Isles of Scilly","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cornwall and Isles of Scilly","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cornwall and Isles of Scilly","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cornwall and Isles of Scilly","No function","80","70","20930","20260"
"In post","2021","AA/AO","Cornwall and Isles of Scilly","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cornwall and Isles of Scilly","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cornwall and Isles of Scilly","Security","40","40","[c]","[c]"
"In post","2021","AA/AO","Cornwall and Isles of Scilly","Unknown","540","490","20850","21010"
"In post","2021","AA/AO","Cumbria","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cumbria","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cumbria","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cumbria","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cumbria","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cumbria","Grants Management","430","370","20990","21050"
"In post","2021","AA/AO","Cumbria","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cumbria","No function","300","270","22490","21050"
"In post","2021","AA/AO","Cumbria","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cumbria","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cumbria","Security","80","80","26380","23540"
"In post","2021","AA/AO","Cumbria","Unknown","70","60","20840","21010"
"In post","2021","AA/AO","Derbyshire and Nottinghamshire","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Derbyshire and Nottinghamshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Derbyshire and Nottinghamshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Derbyshire and Nottinghamshire","Counter Fraud","40","30","[c]","[c]"
"In post","2021","AA/AO","Derbyshire and Nottinghamshire","Debt","210","190","20350","20140"
"In post","2021","AA/AO","Derbyshire and Nottinghamshire","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Derbyshire and Nottinghamshire","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Derbyshire and Nottinghamshire","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Derbyshire and Nottinghamshire","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Derbyshire and Nottinghamshire","Legal","90","80","21150","21440"
"In post","2021","AA/AO","Derbyshire and Nottinghamshire","No function","2450","2250","22650","21440"
