"Status","Year","Region_ITL2","Sex","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","Female","AA/AO","710","640","23310","22080"
"In post","2021","Bedfordshire and Hertfordshire","Female","EO","940","850","28730","29290"
"In post","2021","Bedfordshire and Hertfordshire","Female","G6/G7","170","160","59770","58690"
"In post","2021","Bedfordshire and Hertfordshire","Female","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Female","SEO/HEO","500","470","38470","37640"
"In post","2021","Bedfordshire and Hertfordshire","Female","Unknown","240","220","27880","24410"
"In post","2021","Bedfordshire and Hertfordshire","Male","AA/AO","550","540","25850","24670"
"In post","2021","Bedfordshire and Hertfordshire","Male","EO","670","630","29440","29290"
"In post","2021","Bedfordshire and Hertfordshire","Male","G6/G7","160","150","61000","59730"
"In post","2021","Bedfordshire and Hertfordshire","Male","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Male","SEO/HEO","510","500","38800","37800"
"In post","2021","Bedfordshire and Hertfordshire","Male","Unknown","50","50","28700","24170"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","AA/AO","1630","1490","23520","21900"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","EO","1350","1250","28360","27570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","G6/G7","350","320","59640","57120"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","SCS","30","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","SEO/HEO","1090","1030","37160","35900"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","Unknown","330","300","29520","28200"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Male","AA/AO","1960","1930","27270","26580"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Male","EO","1060","1040","30460","28670"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Male","G6/G7","410","390","60220","57440"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Male","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Male","SEO/HEO","1190","1160","39240","38160"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Male","Unknown","160","160","30540","28130"
"In post","2021","Cheshire","Female","AA/AO","700","620","22380","21010"
"In post","2021","Cheshire","Female","EO","820","770","28970","27570"
"In post","2021","Cheshire","Female","G6/G7","100","100","56030","55740"
"In post","2021","Cheshire","Female","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Female","SEO/HEO","410","390","38230","36740"
"In post","2021","Cheshire","Female","Unknown","150","140","29570","30210"
"In post","2021","Cheshire","Male","AA/AO","510","490","24210","22030"
"In post","2021","Cheshire","Male","EO","610","600","30330","28840"
"In post","2021","Cheshire","Male","G6/G7","100","100","57940","55740"
"In post","2021","Cheshire","Male","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Male","SEO/HEO","440","430","40550","40210"
"In post","2021","Cheshire","Male","Unknown","40","40","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Female","AA/AO","410","340","20780","21010"
"In post","2021","Cornwall and Isles of Scilly","Female","EO","350","310","27370","27570"
"In post","2021","Cornwall and Isles of Scilly","Female","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Female","SEO/HEO","100","90","34680","33300"
"In post","2021","Cornwall and Isles of Scilly","Female","Unknown","30","30","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Male","AA/AO","310","300","20970","21010"
"In post","2021","Cornwall and Isles of Scilly","Male","EO","270","260","27020","27570"
"In post","2021","Cornwall and Isles of Scilly","Male","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Male","SEO/HEO","120","110","36450","35480"
"In post","2021","Cornwall and Isles of Scilly","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Female","AA/AO","560","470","21310","21050"
"In post","2021","Cumbria","Female","EO","360","310","26150","26350"
"In post","2021","Cumbria","Female","G6/G7","40","40","[c]","[c]"
"In post","2021","Cumbria","Female","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Female","SEO/HEO","180","160","34320","33040"
"In post","2021","Cumbria","Female","Unknown","100","90","32510","31150"
"In post","2021","Cumbria","Male","AA/AO","370","350","22920","21050"
"In post","2021","Cumbria","Male","EO","220","210","26150","25990"
"In post","2021","Cumbria","Male","G6/G7","40","40","[c]","[c]"
"In post","2021","Cumbria","Male","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Male","SEO/HEO","140","140","35560","35840"
"In post","2021","Cumbria","Male","Unknown","140","140","41820","40670"
"In post","2021","Derbyshire and Nottinghamshire","Female","AA/AO","2110","1830","21370","21010"
"In post","2021","Derbyshire and Nottinghamshire","Female","EO","2070","1830","26600","27540"
"In post","2021","Derbyshire and Nottinghamshire","Female","G6/G7","560","530","56410","53150"
"In post","2021","Derbyshire and Nottinghamshire","Female","SCS","40","40","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Female","SEO/HEO","1770","1650","35360","33350"
"In post","2021","Derbyshire and Nottinghamshire","Female","Unknown","390","340","29070","28200"
"In post","2021","Derbyshire and Nottinghamshire","Male","AA/AO","1690","1610","23010","21010"
"In post","2021","Derbyshire and Nottinghamshire","Male","EO","1480","1430","26950","27130"
"In post","2021","Derbyshire and Nottinghamshire","Male","G6/G7","580","560","58010","53330"
"In post","2021","Derbyshire and Nottinghamshire","Male","SCS","40","30","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Male","SEO/HEO","1460","1420","35670","33610"
"In post","2021","Derbyshire and Nottinghamshire","Male","Unknown","120","110","33000","33670"
"In post","2021","Devon","Female","AA/AO","1630","1370","21320","21010"
"In post","2021","Devon","Female","EO","1230","1060","27020","27570"
"In post","2021","Devon","Female","G6/G7","310","280","53710","49810"
"In post","2021","Devon","Female","SCS","[c]","[c]","[c]","[c]"
