"Status","Year","Region_ITL2","Sex","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Devon","Female","SEO/HEO","1010","920","36570","36330"
"In post","2021","Devon","Female","Unknown","170","150","31150","30210"
"In post","2021","Devon","Male","AA/AO","1460","1390","23500","21050"
"In post","2021","Devon","Male","EO","1120","1080","27020","27380"
"In post","2021","Devon","Male","G6/G7","530","510","55660","52580"
"In post","2021","Devon","Male","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Male","SEO/HEO","1400","1360","38420","38450"
"In post","2021","Devon","Male","Unknown","140","140","37070","37170"
"In post","2021","Dorset and Somerset","Female","AA/AO","820","730","21540","21010"
"In post","2021","Dorset and Somerset","Female","EO","860","750","27010","27570"
"In post","2021","Dorset and Somerset","Female","G6/G7","80","80","58990","55310"
"In post","2021","Dorset and Somerset","Female","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Female","SEO/HEO","560","520","35630","33840"
"In post","2021","Dorset and Somerset","Female","Unknown","170","150","27950","25210"
"In post","2021","Dorset and Somerset","Male","AA/AO","900","880","23240","21130"
"In post","2021","Dorset and Somerset","Male","EO","750","720","27750","27570"
"In post","2021","Dorset and Somerset","Male","G6/G7","120","120","59160","55460"
"In post","2021","Dorset and Somerset","Male","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Male","SEO/HEO","870","840","37210","35340"
"In post","2021","Dorset and Somerset","Male","Unknown","60","50","29550","30210"
"In post","2021","East Anglia","Female","AA/AO","2500","2190","21970","21130"
"In post","2021","East Anglia","Female","EO","1770","1570","27020","27570"
"In post","2021","East Anglia","Female","G6/G7","340","320","58110","54620"
"In post","2021","East Anglia","Female","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Female","SEO/HEO","1360","1280","35680","33840"
"In post","2021","East Anglia","Female","Unknown","380","340","29030","30210"
"In post","2021","East Anglia","Male","AA/AO","2460","2360","24790","22500"
"In post","2021","East Anglia","Male","EO","1520","1470","28100","27570"
"In post","2021","East Anglia","Male","G6/G7","390","380","58760","54990"
"In post","2021","East Anglia","Male","SCS","40","40","[c]","[c]"
"In post","2021","East Anglia","Male","SEO/HEO","1570","1520","36420","34610"
"In post","2021","East Anglia","Male","Unknown","120","110","31040","30210"
"In post","2021","East Wales","Female","AA/AO","3210","2770","21110","21010"
"In post","2021","East Wales","Female","EO","3030","2740","26430","26930"
"In post","2021","East Wales","Female","G6/G7","1160","1090","57160","56620"
"In post","2021","East Wales","Female","SCS","100","100","84330","78460"
"In post","2021","East Wales","Female","SEO/HEO","3120","2920","35940","36030"
"In post","2021","East Wales","Female","Unknown","370","350","29590","28200"
"In post","2021","East Wales","Male","AA/AO","2520","2420","21820","21010"
"In post","2021","East Wales","Male","EO","2470","2400","27060","27460"
"In post","2021","East Wales","Male","G6/G7","1250","1220","58220","57920"
"In post","2021","East Wales","Male","SCS","160","150","89330","80100"
"In post","2021","East Wales","Male","SEO/HEO","2850","2780","36510","36030"
"In post","2021","East Wales","Male","Unknown","120","110","31540","31420"
"In post","2021","East Wales","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","East Wales","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","East Wales","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East Wales","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","Female","AA/AO","1040","890","22190","21010"
"In post","2021","East Yorkshire and Northern Lincolnshire","Female","EO","790","680","27310","27570"
"In post","2021","East Yorkshire and Northern Lincolnshire","Female","G6/G7","50","40","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","Female","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","Female","SEO/HEO","260","240","35240","33840"
"In post","2021","East Yorkshire and Northern Lincolnshire","Female","Unknown","200","180","29720","30210"
"In post","2021","East Yorkshire and Northern Lincolnshire","Male","AA/AO","1090","1040","25570","24920"
"In post","2021","East Yorkshire and Northern Lincolnshire","Male","EO","880","840","28140","27370"
"In post","2021","East Yorkshire and Northern Lincolnshire","Male","G6/G7","40","40","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","Male","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","Male","SEO/HEO","320","300","38250","36460"
"In post","2021","East Yorkshire and Northern Lincolnshire","Male","Unknown","60","60","30650","29280"
"In post","2021","Eastern Scotland","Female","AA/AO","3540","3150","21760","21010"
"In post","2021","Eastern Scotland","Female","EO","2770","2530","28190","27570"
"In post","2021","Eastern Scotland","Female","G6/G7","1380","1290","61490","61010"
"In post","2021","Eastern Scotland","Female","SCS","100","100","90610","83230"
"In post","2021","Eastern Scotland","Female","SEO/HEO","2920","2750","37910","36610"
"In post","2021","Eastern Scotland","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","Male","AA/AO","2710","2630","22360","21010"
"In post","2021","Eastern Scotland","Male","EO","2420","2330","29530","28410"
"In post","2021","Eastern Scotland","Male","G6/G7","1180","1150","62110","61010"
"In post","2021","Eastern Scotland","Male","SCS","120","110","90760","83230"
"In post","2021","Eastern Scotland","Male","SEO/HEO","2670","2580","38800","38540"
"In post","2021","Eastern Scotland","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Essex","Female","AA/AO","960","830","22710","21580"
"In post","2021","Essex","Female","EO","1330","1190","28620","29290"
"In post","2021","Essex","Female","G6/G7","150","130","56870","52580"
"In post","2021","Essex","Female","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Essex","Female","SEO/HEO","600","540","35870","35120"
"In post","2021","Essex","Female","Unknown","190","170","27470","23840"
"In post","2021","Essex","Male","AA/AO","650","630","25190","23270"
"In post","2021","Essex","Male","EO","950","890","28810","28340"
"In post","2021","Essex","Male","G6/G7","140","140","60860","54850"
"In post","2021","Essex","Male","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Essex","Male","SEO/HEO","550","530","37730","35000"
"In post","2021","Essex","Male","Unknown","50","50","29320","29200"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Female","AA/AO","2220","1980","21460","21010"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Female","EO","3240","2910","25810","26670"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Female","G6/G7","1910","1800","55310","54180"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Female","SCS","110","110","90920","86320"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Female","SEO/HEO","5350","4990","35180","34000"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Female","Unknown","820","760","34590","32300"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Male","AA/AO","1660","1610","23050","21010"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Male","EO","2760","2680","26120","26670"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Male","G6/G7","3200","3120","56600","54940"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Male","SCS","190","190","99580","92370"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Male","SEO/HEO","6770","6630","36670","36880"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Male","Unknown","1090","1070","42700","39860"
"In post","2021","Greater Manchester","Female","AA/AO","3310","2860","20880","20920"
"In post","2021","Greater Manchester","Female","EO","3130","2860","26520","27570"
"In post","2021","Greater Manchester","Female","G6/G7","1030","980","56260","52580"
"In post","2021","Greater Manchester","Female","SCS","70","60","85320","81330"
"In post","2021","Greater Manchester","Female","SEO/HEO","2680","2540","34710","32800"
"In post","2021","Greater Manchester","Female","Unknown","550","510","29580","30210"
"In post","2021","Greater Manchester","Male","AA/AO","2400","2300","21850","21010"
"In post","2021","Greater Manchester","Male","EO","2670","2590","26610","26480"
"In post","2021","Greater Manchester","Male","G6/G7","1070","1050","57100","52580"
"In post","2021","Greater Manchester","Male","SCS","80","70","88170","81120"
"In post","2021","Greater Manchester","Male","SEO/HEO","2540","2480","34780","32300"
"In post","2021","Greater Manchester","Male","Unknown","210","200","30380","29770"
"In post","2021","Hampshire and Isle of Wight","Female","AA/AO","2420","1980","21060","20920"
"In post","2021","Hampshire and Isle of Wight","Female","EO","1960","1770","26580","26670"
"In post","2021","Hampshire and Isle of Wight","Female","G6/G7","680","640","55070","53230"
"In post","2021","Hampshire and Isle of Wight","Female","SCS","40","40","[c]","[c]"
"In post","2021","Hampshire and Isle of Wight","Female","SEO/HEO","2250","2130","35150","33300"
"In post","2021","Hampshire and Isle of Wight","Female","Unknown","240","220","29670","30210"
"In post","2021","Hampshire and Isle of Wight","Male","AA/AO","2240","2010","23220","20920"
"In post","2021","Hampshire and Isle of Wight","Male","EO","1780","1730","27440","26780"
"In post","2021","Hampshire and Isle of Wight","Male","G6/G7","1180","1150","56430","54540"
"In post","2021","Hampshire and Isle of Wight","Male","SCS","50","50","[c]","[c]"
"In post","2021","Hampshire and Isle of Wight","Male","SEO/HEO","2380","2330","36160","35480"
"In post","2021","Hampshire and Isle of Wight","Male","Unknown","120","110","39280","37170"
"In post","2021","Hampshire and Isle of Wight","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Hampshire and Isle of Wight","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Hampshire and Isle of Wight","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","Female","AA/AO","950","840","21730","21010"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","Female","EO","580","520","26930","27570"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","Female","G6/G7","50","50","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","Female","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","Female","SEO/HEO","340","320","35780","34290"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","Female","Unknown","220","210","29020","28200"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","Male","AA/AO","870","850","24710","22850"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","Male","EO","510","500","27370","27570"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","Male","G6/G7","50","50","59800","59080"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","Male","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","Male","SEO/HEO","320","310","37520","36520"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","Male","Unknown","80","70","29760","28200"
"In post","2021","Highlands and Islands","Female","AA/AO","440","390","21840","21050"
"In post","2021","Highlands and Islands","Female","EO","380","350","28220","27570"
"In post","2021","Highlands and Islands","Female","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Highlands and Islands","Female","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Highlands and Islands","Female","SEO/HEO","170","160","37020","35680"
"In post","2021","Highlands and Islands","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Highlands and Islands","Male","AA/AO","400","390","22890","21450"
"In post","2021","Highlands and Islands","Male","EO","310","300","29630","29140"
"In post","2021","Highlands and Islands","Male","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Highlands and Islands","Male","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Highlands and Islands","Male","SEO/HEO","200","200","38950","37530"
"In post","2021","Highlands and Islands","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - East","Female","AA/AO","1540","1370","24900","24630"
"In post","2021","Inner London - East","Female","EO","2740","2550","30620","31060"
"In post","2021","Inner London - East","Female","G6/G7","1850","1750","60980","59160"
"In post","2021","Inner London - East","Female","SCS","330","290","98830","93570"
"In post","2021","Inner London - East","Female","SEO/HEO","2690","2570","38840","39000"
"In post","2021","Inner London - East","Female","Unknown","500","480","33050","32090"
"In post","2021","Inner London - East","Male","AA/AO","1180","1130","27240","25110"
"In post","2021","Inner London - East","Male","EO","1740","1700","31080","31060"
"In post","2021","Inner London - East","Male","G6/G7","1910","1870","62490","59940"
"In post","2021","Inner London - East","Male","SCS","350","330","99050","94560"
"In post","2021","Inner London - East","Male","SEO/HEO","2190","2150","40440","40170"
"In post","2021","Inner London - East","Male","Unknown","190","190","34250","34100"
"In post","2021","Inner London - West","Female","AA/AO","2390","2210","24950","24370"
"In post","2021","Inner London - West","Female","EO","4730","4530","29160","29080"
"In post","2021","Inner London - West","Female","G6/G7","11130","10560","59610","57680"
"In post","2021","Inner London - West","Female","SCS","1860","1770","86190","78060"
"In post","2021","Inner London - West","Female","SEO/HEO","12060","11760","37590","36800"
"In post","2021","Inner London - West","Female","Unknown","150","150","37790","34770"
"In post","2021","Inner London - West","Male","AA/AO","2110","2060","26250","24590"
"In post","2021","Inner London - West","Male","EO","3150","3120","29500","29460"
"In post","2021","Inner London - West","Male","G6/G7","10570","10430","60640","58750"
"In post","2021","Inner London - West","Male","SCS","2030","2010","92010","81490"
"In post","2021","Inner London - West","Male","SEO/HEO","10880","10790","38220","37640"
"In post","2021","Inner London - West","Male","Unknown","80","80","37440","36580"
"In post","2021","Inner London - West","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - West","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - West","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - West","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Kent","Female","AA/AO","1490","1350","23590","22850"
"In post","2021","Kent","Female","EO","1790","1610","28300","29050"
"In post","2021","Kent","Female","G6/G7","110","100","56760","52820"
"In post","2021","Kent","Female","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Kent","Female","SEO/HEO","610","580","36140","35120"
"In post","2021","Kent","Female","Unknown","220","200","30340","30880"
"In post","2021","Kent","Male","AA/AO","1490","1460","26500","26420"
"In post","2021","Kent","Male","EO","1790","1690","28380","27370"
"In post","2021","Kent","Male","G6/G7","170","170","55070","52280"
"In post","2021","Kent","Male","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Kent","Male","SEO/HEO","770","740","37390","36480"
"In post","2021","Kent","Male","Unknown","70","70","29680","31260"
"In post","2021","Lancashire","Female","AA/AO","3440","2910","21270","21010"
"In post","2021","Lancashire","Female","EO","2680","2340","27270","27570"
"In post","2021","Lancashire","Female","G6/G7","390","370","54800","52580"
"In post","2021","Lancashire","Female","SCS","30","30","[c]","[c]"
"In post","2021","Lancashire","Female","SEO/HEO","1400","1300","35240","33840"
"In post","2021","Lancashire","Female","Unknown","340","300","29200","30210"
"In post","2021","Lancashire","Male","AA/AO","2660","2510","22640","21010"
"In post","2021","Lancashire","Male","EO","1700","1630","27800","27570"
"In post","2021","Lancashire","Male","G6/G7","380","370","58420","55610"
"In post","2021","Lancashire","Male","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Lancashire","Male","SEO/HEO","990","950","35920","34290"
"In post","2021","Lancashire","Male","Unknown","100","90","31140","32100"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Female","AA/AO","1690","1440","21130","20920"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Female","EO","1040","930","27040","27570"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Female","G6/G7","110","100","56530","53190"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Female","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Female","SEO/HEO","510","470","35820","33840"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Female","Unknown","290","260","29250","30210"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Male","AA/AO","1220","1180","23050","21440"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Male","EO","780","760","27690","27570"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Male","G6/G7","90","80","60900","55610"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Male","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Male","SEO/HEO","440","420","37580","37120"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Male","Unknown","70","60","30130","30210"
"In post","2021","Lincolnshire","Female","AA/AO","680","610","21340","21010"
"In post","2021","Lincolnshire","Female","EO","390","360","27270","27570"
"In post","2021","Lincolnshire","Female","G6/G7","40","30","[c]","[c]"
"In post","2021","Lincolnshire","Female","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Lincolnshire","Female","SEO/HEO","230","220","35450","34000"
"In post","2021","Lincolnshire","Female","Unknown","100","100","29640","30210"
"In post","2021","Lincolnshire","Male","AA/AO","610","590","23250","21360"
"In post","2021","Lincolnshire","Male","EO","360","340","28400","27570"
"In post","2021","Lincolnshire","Male","G6/G7","40","40","[c]","[c]"
"In post","2021","Lincolnshire","Male","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Lincolnshire","Male","SEO/HEO","340","330","37320","36450"
"In post","2021","Lincolnshire","Male","Unknown","30","30","[c]","[c]"
"In post","2021","Merseyside","Female","AA/AO","4430","3680","20930","21010"
"In post","2021","Merseyside","Female","EO","3870","3410","26240","26160"
"In post","2021","Merseyside","Female","G6/G7","730","690","54840","52580"
"In post","2021","Merseyside","Female","SCS","40","40","[c]","[c]"
"In post","2021","Merseyside","Female","SEO/HEO","2290","2140","34140","32100"
"In post","2021","Merseyside","Female","Unknown","330","300","28970","28200"
"In post","2021","Merseyside","Male","AA/AO","2740","2600","21390","21400"
"In post","2021","Merseyside","Male","EO","2320","2230","26290","26000"
"In post","2021","Merseyside","Male","G6/G7","690","680","56620","53430"
"In post","2021","Merseyside","Male","SCS","50","50","[c]","[c]"
"In post","2021","Merseyside","Male","SEO/HEO","1920","1870","35280","33300"
"In post","2021","Merseyside","Male","Unknown","80","80","31290","32690"
"In post","2021","North Eastern Scotland","Female","AA/AO","290","260","22740","22160"
"In post","2021","North Eastern Scotland","Female","EO","320","290","28410","27570"
"In post","2021","North Eastern Scotland","Female","G6/G7","60","50","62970","61010"
"In post","2021","North Eastern Scotland","Female","SCS","[c]","[c]","[c]","[c]"
"In post","2021","North Eastern Scotland","Female","SEO/HEO","260","250","40830","36620"
"In post","2021","North Eastern Scotland","Male","AA/AO","260","250","28160","25870"
"In post","2021","North Eastern Scotland","Male","EO","280","270","30280","29190"
"In post","2021","North Eastern Scotland","Male","G6/G7","70","70","69230","61850"
"In post","2021","North Eastern Scotland","Male","SCS","[c]","[c]","[c]","[c]"
"In post","2021","North Eastern Scotland","Male","SEO/HEO","320","310","50250","41090"
"In post","2021","North Yorkshire","Female","AA/AO","680","610","21470","21010"
"In post","2021","North Yorkshire","Female","EO","550","500","27000","26750"
"In post","2021","North Yorkshire","Female","G6/G7","360","330","59010","55610"
"In post","2021","North Yorkshire","Female","SCS","[c]","[c]","[c]","[c]"
"In post","2021","North Yorkshire","Female","SEO/HEO","730","690","35920","35480"
"In post","2021","North Yorkshire","Female","Unknown","130","120","29340","28200"
"In post","2021","North Yorkshire","Male","AA/AO","710","690","23400","20920"
"In post","2021","North Yorkshire","Male","EO","490","480","27780","26750"
"In post","2021","North Yorkshire","Male","G6/G7","330","320","58010","55610"
"In post","2021","North Yorkshire","Male","SCS","[c]","[c]","[c]","[c]"
"In post","2021","North Yorkshire","Male","SEO/HEO","670","660","35730","35480"
"In post","2021","North Yorkshire","Male","Unknown","50","50","29870","29200"
"In post","2021","Northern Ireland","Female","AA/AO","700","610","20930","21400"
"In post","2021","Northern Ireland","Female","EO","500","450","26610","25560"
"In post","2021","Northern Ireland","Female","G6/G7","110","110","55590","52580"
"In post","2021","Northern Ireland","Female","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Female","SEO/HEO","440","420","34640","31940"
"In post","2021","Northern Ireland","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Male","AA/AO","990","950","20660","20310"
"In post","2021","Northern Ireland","Male","EO","480","470","26510","25560"
"In post","2021","Northern Ireland","Male","G6/G7","130","120","56140","52580"
"In post","2021","Northern Ireland","Male","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Male","SEO/HEO","460","450","35030","32100"
"In post","2021","Northern Ireland","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Northumberland and Tyne and Wear","Female","AA/AO","5800","4580","20740","21010"
"In post","2021","Northumberland and Tyne and Wear","Female","EO","3310","2910","26580","27570"
"In post","2021","Northumberland and Tyne and Wear","Female","G6/G7","760","730","53920","52580"
"In post","2021","Northumberland and Tyne and Wear","Female","SCS","40","40","[c]","[c]"
"In post","2021","Northumberland and Tyne and Wear","Female","SEO/HEO","2510","2320","33970","31990"
"In post","2021","Northumberland and Tyne and Wear","Female","Unknown","260","230","28690","28200"
"In post","2021","Northumberland and Tyne and Wear","Male","AA/AO","3200","3000","20660","21010"
"In post","2021","Northumberland and Tyne and Wear","Male","EO","2230","2130","26400","26120"
"In post","2021","Northumberland and Tyne and Wear","Male","G6/G7","910","900","54950","52580"
"In post","2021","Northumberland and Tyne and Wear","Male","SCS","50","50","92390","88790"
"In post","2021","Northumberland and Tyne and Wear","Male","SEO/HEO","2210","2140","34740","32430"
"In post","2021","Northumberland and Tyne and Wear","Male","Unknown","90","90","30870","30210"
"In post","2021","Outer London - East and North East","Female","AA/AO","810","720","25180","24890"
"In post","2021","Outer London - East and North East","Female","EO","1080","970","30950","31060"
"In post","2021","Outer London - East and North East","Female","G6/G7","[c]","[c]","[c]","[c]"
