"Status","Year","Ethnicity","Organisation","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Ministry of Defence (excl. agencies)","Unknown","420","400","34210","26670"
"In post","2022","Asian","Ministry of Justice (excl. agencies)","Analysis","50","50","45120","42010"
"In post","2022","Asian","Ministry of Justice (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Ministry of Justice (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Ministry of Justice (excl. agencies)","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Ministry of Justice (excl. agencies)","Digital, Data & Technology","90","90","47930","42710"
"In post","2022","Asian","Ministry of Justice (excl. agencies)","Finance","80","80","41720","41100"
"In post","2022","Asian","Ministry of Justice (excl. agencies)","Human Resources","60","60","38290","34260"
"In post","2022","Asian","Ministry of Justice (excl. agencies)","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Ministry of Justice (excl. agencies)","No function","180","170","37590","34260"
"In post","2022","Asian","Ministry of Justice (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Ministry of Justice (excl. agencies)","Property","30","30","[c]","[c]"
"In post","2022","Asian","Ministry of Justice (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Ministry of Justice (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","National Crime Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Asian","National Crime Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Asian","National Crime Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Asian","National Crime Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Asian","National Crime Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Asian","National Crime Agency","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Asian","National Crime Agency","No function","220","210","37470","36740"
"In post","2022","Asian","National Crime Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Asian","National Crime Agency","Property","[c]","[c]","[c]","[c]"
"In post","2022","Asian","National Crime Agency","Security","[c]","[c]","[c]","[c]"
"In post","2022","Asian","National Infrastructure Commission","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Asian","National Infrastructure Commission","No function","[c]","[c]","[c]","[c]"
"In post","2022","Asian","National Records of Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","National Savings and Investments","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Asian","National Savings and Investments","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Asian","National Savings and Investments","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Asian","National Savings and Investments","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Asian","National Savings and Investments","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Asian","National Savings and Investments","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Asian","National Savings and Investments","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Asian","National Savings and Investments","No function","[c]","[c]","[c]","[c]"
"In post","2022","Asian","National Savings and Investments","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Asian","National Savings and Investments","Property","[c]","[c]","[c]","[c]"
"In post","2022","Asian","National Savings and Investments","Security","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Northern Ireland Office","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Northern Ireland Office","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Northern Ireland Office","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Northern Ireland Office","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Northern Ireland Office","No function","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Northern Ireland Office","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Northern Ireland Office","Property","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Northern Ireland Office","Security","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office for Budget Responsibility","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office for Budget Responsibility","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office for Budget Responsibility","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office for Budget Responsibility","No function","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office for Standards in Education, Children's Services and Skills","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office for Standards in Education, Children's Services and Skills","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office for Standards in Education, Children's Services and Skills","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office for Standards in Education, Children's Services and Skills","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office for Standards in Education, Children's Services and Skills","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office for Standards in Education, Children's Services and Skills","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office for Standards in Education, Children's Services and Skills","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office for Standards in Education, Children's Services and Skills","No function","60","60","42200","39850"
"In post","2022","Asian","Office for Standards in Education, Children's Services and Skills","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office for Standards in Education, Children's Services and Skills","Property","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of Gas and Electricity Markets","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of Gas and Electricity Markets","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of Gas and Electricity Markets","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of Gas and Electricity Markets","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of Gas and Electricity Markets","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of Gas and Electricity Markets","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of Gas and Electricity Markets","No function","90","90","37620","33400"
"In post","2022","Asian","Office of Gas and Electricity Markets","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of Gas and Electricity Markets","Property","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of Qualifications and Examinations Regulation","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of Qualifications and Examinations Regulation","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of Qualifications and Examinations Regulation","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of Qualifications and Examinations Regulation","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of Qualifications and Examinations Regulation","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of Qualifications and Examinations Regulation","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of Qualifications and Examinations Regulation","No function","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of Qualifications and Examinations Regulation","Property","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of Qualifications and Examinations Regulation","Security","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of Rail and Road","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of Rail and Road","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of Rail and Road","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of Rail and Road","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of Rail and Road","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of Rail and Road","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of Rail and Road","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of Rail and Road","No function","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of Rail and Road","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of Rail and Road","Property","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of the Public Guardian","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of the Public Guardian","No function","410","380","22570","20970"
"In post","2022","Asian","Office of the Scottish Charity Regulator","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","No function","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of the Secretary of State for Wales","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of the Secretary of State for Wales","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of the Secretary of State for Wales","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of the Secretary of State for Wales","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of the Secretary of State for Wales","No function","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Planning Inspectorate","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Planning Inspectorate","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Planning Inspectorate","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Planning Inspectorate","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Planning Inspectorate","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Planning Inspectorate","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Planning Inspectorate","No function","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Planning Inspectorate","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Queen Elizabeth II Centre","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Queen Elizabeth II Centre","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Queen Elizabeth II Centre","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Queen Elizabeth II Centre","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Queen Elizabeth II Centre","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Queen Elizabeth II Centre","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Queen Elizabeth II Centre","Property","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Queen Elizabeth II Centre","Security","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Registers of Scotland","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Registers of Scotland","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Registers of Scotland","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Registers of Scotland","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Registers of Scotland","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Registers of Scotland","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Registers of Scotland","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Registers of Scotland","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Registers of Scotland","No function","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Registers of Scotland","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Registers of Scotland","Property","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Registers of Scotland","Security","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Revenue Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Royal Fleet Auxiliary","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Rural Payments Agency","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Rural Payments Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Rural Payments Agency","Grants Management","40","30","[c]","[c]"
"In post","2022","Asian","Rural Payments Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Scottish Courts and Tribunals Service","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Scottish Courts and Tribunals Service","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Scottish Courts and Tribunals Service","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Scottish Courts and Tribunals Service","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Scottish Courts and Tribunals Service","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Scottish Courts and Tribunals Service","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Scottish Courts and Tribunals Service","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Scottish Courts and Tribunals Service","No function","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Scottish Courts and Tribunals Service","Property","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Scottish Fiscal Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Scottish Forestry","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Scottish Government (excl. agencies)","Unknown","120","110","39450","35540"
"In post","2022","Asian","Scottish Housing Regulator","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Scottish Prison Service","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Scottish Prison Service","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Scottish Prison Service","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Scottish Prison Service","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Scottish Prison Service","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Scottish Prison Service","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Scottish Prison Service","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Scottish Prison Service","No function","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Scottish Prison Service","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Scottish Prison Service","Property","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Scottish Prison Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Scottish Public Pensions Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Serious Fraud Office","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Serious Fraud Office","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Serious Fraud Office","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Serious Fraud Office","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Serious Fraud Office","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Serious Fraud Office","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Serious Fraud Office","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Serious Fraud Office","No function","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Serious Fraud Office","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Serious Fraud Office","Property","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Serious Fraud Office","Security","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Social Security Scotland","Unknown","60","50","28840","27230"
"In post","2022","Asian","Standards and Testing Agency","No function","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Student Awards Agency for Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Submarine Delivery Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Submarine Delivery Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Submarine Delivery Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Submarine Delivery Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Submarine Delivery Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Submarine Delivery Agency","Project Delivery","40","40","[c]","[c]"
"In post","2022","Asian","Submarine Delivery Agency","Property","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Submarine Delivery Agency","Security","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Teaching Regulation Agency","No function","[c]","[c]","[c]","[c]"
"In post","2022","Asian","The Insolvency Service","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Asian","The Insolvency Service","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Asian","The Insolvency Service","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Asian","The Insolvency Service","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Asian","The Insolvency Service","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Asian","The Insolvency Service","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Asian","The Insolvency Service","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Asian","The Insolvency Service","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Asian","The Insolvency Service","No function","110","100","25490","22040"
"In post","2022","Asian","The Insolvency Service","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Asian","The Insolvency Service","Security","[c]","[c]","[c]","[c]"
"In post","2022","Asian","The National Archives","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Asian","The National Archives","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Asian","The National Archives","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Asian","The National Archives","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Asian","The National Archives","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","Asian","The National Archives","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Asian","The National Archives","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Asian","The National Archives","No function","[c]","[c]","[c]","[c]"
"In post","2022","Asian","The National Archives","Property","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Transport Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","UK Debt Management Office","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Asian","UK Debt Management Office","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Asian","UK Debt Management Office","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Asian","UK Debt Management Office","Debt","[c]","[c]","[c]","[c]"
"In post","2022","Asian","UK Debt Management Office","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Asian","UK Debt Management Office","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Asian","UK Debt Management Office","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Asian","UK Debt Management Office","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Asian","UK Debt Management Office","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Asian","UK Debt Management Office","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Asian","UK Debt Management Office","Security","[c]","[c]","[c]","[c]"
"In post","2022","Asian","UK Export Finance","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Asian","UK Export Finance","Commercial","30","30","[c]","[c]"
"In post","2022","Asian","UK Export Finance","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Asian","UK Export Finance","Debt","[c]","[c]","[c]","[c]"
"In post","2022","Asian","UK Export Finance","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Asian","UK Export Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Asian","UK Export Finance","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Asian","UK Export Finance","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Asian","UK Export Finance","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Asian","UK Export Finance","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Asian","UK Export Finance","Security","[c]","[c]","[c]","[c]"
"In post","2022","Asian","UK Health Security Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Asian","UK Health Security Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Asian","UK Health Security Agency","Digital, Data & Technology","30","30","[c]","[c]"
"In post","2022","Asian","UK Health Security Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Asian","UK Health Security Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Asian","UK Health Security Agency","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Asian","UK Health Security Agency","No function","640","590","41120","32330"
"In post","2022","Asian","UK Health Security Agency","Property","[c]","[c]","[c]","[c]"
"In post","2022","Asian","UK Hydrographic Office","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Asian","UK Hydrographic Office","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Asian","UK Hydrographic Office","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Asian","UK Hydrographic Office","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Asian","UK Hydrographic Office","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Asian","UK Hydrographic Office","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Asian","UK Hydrographic Office","No function","[c]","[c]","[c]","[c]"
"In post","2022","Asian","UK Hydrographic Office","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Asian","UK Hydrographic Office","Property","[c]","[c]","[c]","[c]"
"In post","2022","Asian","UK Hydrographic Office","Security","[c]","[c]","[c]","[c]"
"In post","2022","Asian","UK Space Agency","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Asian","UK Space Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Asian","UK Space Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Asian","UK Space Agency","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Asian","UK Space Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Asian","UK Space Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Asian","UK Space Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Asian","UK Space Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Asian","UK Space Agency","Security","[c]","[c]","[c]","[c]"
"In post","2022","Asian","UK Space Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","UK Statistics Authority","Analysis","80","80","36220","33710"
"In post","2022","Asian","UK Statistics Authority","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Asian","UK Statistics Authority","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Asian","UK Statistics Authority","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Asian","UK Statistics Authority","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Asian","UK Statistics Authority","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Asian","UK Statistics Authority","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Asian","UK Statistics Authority","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Asian","UK Statistics Authority","No function","70","50","25460","23430"
"In post","2022","Asian","UK Statistics Authority","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Asian","UK Statistics Authority","Property","[c]","[c]","[c]","[c]"
"In post","2022","Asian","UK Statistics Authority","Security","[c]","[c]","[c]","[c]"
"In post","2022","Asian","UK Supreme Court","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Asian","UK Supreme Court","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Asian","UK Supreme Court","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Asian","UK Supreme Court","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Asian","UK Supreme Court","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Asian","UK Supreme Court","Property","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Valuation Office Agency","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Valuation Office Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Valuation Office Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Valuation Office Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Valuation Office Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Valuation Office Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Valuation Office Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Valuation Office Agency","Property","190","180","33450","30620"
"In post","2022","Asian","Vehicle Certification Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Vehicle Certification Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Vehicle Certification Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Vehicle Certification Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Vehicle Certification Agency","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Vehicle Certification Agency","No function","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Vehicle Certification Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Vehicle Certification Agency","Property","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Veterinary Medicines Directorate","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Veterinary Medicines Directorate","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Veterinary Medicines Directorate","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Water Services Regulation Authority","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Water Services Regulation Authority","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Water Services Regulation Authority","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Water Services Regulation Authority","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Water Services Regulation Authority","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Water Services Regulation Authority","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Water Services Regulation Authority","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Water Services Regulation Authority","No function","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Water Services Regulation Authority","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Water Services Regulation Authority","Property","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Water Services Regulation Authority","Security","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Welsh Government (excl. agencies)","Unknown","70","70","39470","38160"
"In post","2022","Asian","Welsh Revenue Authority","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Welsh Revenue Authority","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Welsh Revenue Authority","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Welsh Revenue Authority","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Welsh Revenue Authority","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Welsh Revenue Authority","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Welsh Revenue Authority","No function","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Welsh Revenue Authority","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Welsh Revenue Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Wilton Park","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Wilton Park","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Wilton Park","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Wilton Park","Finance","[c]","[c]","[c]","[c]"
