"Status","Year","Sex","Function_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Analysis","Heterosexual / straight","2180","2040","43150","38630"
"In post","2021","Female","Analysis","LGBO","200","200","39780","36160"
"In post","2021","Female","Analysis","Undeclared","200","180","42510","37750"
"In post","2021","Female","Analysis","Unknown","680","640","39480","36160"
"In post","2021","Female","Commercial","Heterosexual / straight","2210","2100","39780","35610"
"In post","2021","Female","Commercial","LGBO","80","80","36860","33000"
"In post","2021","Female","Commercial","Undeclared","280","260","36570","33350"
"In post","2021","Female","Commercial","Unknown","960","930","53100","49700"
"In post","2021","Female","Communications","Heterosexual / straight","2600","2450","36340","31810"
"In post","2021","Female","Communications","LGBO","140","130","34300","31810"
"In post","2021","Female","Communications","Undeclared","260","240","35220","31810"
"In post","2021","Female","Communications","Unknown","1300","1230","34130","29540"
"In post","2021","Female","Counter Fraud","Heterosexual / straight","2800","2560","33020","31810"
"In post","2021","Female","Counter Fraud","LGBO","150","140","33560","29570"
"In post","2021","Female","Counter Fraud","Undeclared","400","350","33440","31810"
"In post","2021","Female","Counter Fraud","Unknown","1170","1070","30340","28130"
"In post","2021","Female","Debt","Heterosexual / straight","1280","1090","24070","21440"
"In post","2021","Female","Debt","LGBO","60","60","23230","20140"
"In post","2021","Female","Debt","Undeclared","200","160","23770","21440"
"In post","2021","Female","Debt","Unknown","1110","980","22360","20140"
"In post","2021","Female","Digital, Data & Technology","Heterosexual / straight","3060","2900","40610","37100"
"In post","2021","Female","Digital, Data & Technology","LGBO","230","220","39360","36530"
"In post","2021","Female","Digital, Data & Technology","Undeclared","440","420","40150","37170"
"In post","2021","Female","Digital, Data & Technology","Unknown","1270","1200","39870","37930"
"In post","2021","Female","Finance","Heterosexual / straight","3650","3380","37690","33300"
"In post","2021","Female","Finance","LGBO","110","100","38550","33050"
"In post","2021","Female","Finance","Undeclared","500","450","36470","32790"
"In post","2021","Female","Finance","Unknown","1030","930","33790","29920"
"In post","2021","Female","Grants Management","Heterosexual / straight","470","400","26080","25100"
"In post","2021","Female","Grants Management","LGBO","40","30","[c]","[c]"
"In post","2021","Female","Grants Management","Undeclared","30","30","[c]","[c]"
"In post","2021","Female","Grants Management","Unknown","560","490","24160","21050"
"In post","2021","Female","Human Resources","Heterosexual / straight","5140","4800","37840","33300"
"In post","2021","Female","Human Resources","LGBO","200","190","37560","32150"
"In post","2021","Female","Human Resources","Undeclared","450","410","35230","31810"
"In post","2021","Female","Human Resources","Unknown","900","830","34540","31190"
"In post","2021","Female","Internal Audit","Heterosexual / straight","300","280","43600","41550"
"In post","2021","Female","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Undeclared","50","50","45450","41760"
"In post","2021","Female","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Legal","Heterosexual / straight","5900","5380","44210","43530"
"In post","2021","Female","Legal","LGBO","220","210","41720","33460"
"In post","2021","Female","Legal","Undeclared","1610","1430","33640","29350"
"In post","2021","Female","Legal","Unknown","1980","1750","45550","48830"
"In post","2021","Female","No function","Heterosexual / straight","64560","58750","32120","27960"
"In post","2021","Female","No function","LGBO","4200","4070","32230","29180"
"In post","2021","Female","No function","Undeclared","8380","7410","31240","27130"
"In post","2021","Female","No function","Unknown","22210","19990","29890","25790"
"In post","2021","Female","Project Delivery","Heterosexual / straight","9080","8600","39990","36500"
"In post","2021","Female","Project Delivery","LGBO","390","380","39150","35290"
"In post","2021","Female","Project Delivery","Undeclared","1090","1030","39460","35290"
"In post","2021","Female","Project Delivery","Unknown","2060","1940","40930","38600"
"In post","2021","Female","Property","Heterosexual / straight","2540","2360","33380","31100"
"In post","2021","Female","Property","LGBO","100","90","32260","29560"
"In post","2021","Female","Property","Undeclared","350","320","34120","33140"
"In post","2021","Female","Property","Unknown","900","810","28840","25930"
"In post","2021","Female","Security","Heterosexual / straight","1370","1320","32050","29250"
"In post","2021","Female","Security","LGBO","120","120","31240","27990"
"In post","2021","Female","Security","Undeclared","190","180","33180","33300"
"In post","2021","Female","Security","Unknown","380","360","31710","27700"
"In post","2021","Female","Unknown","Heterosexual / straight","68860","61490","30050","27570"
"In post","2021","Female","Unknown","LGBO","2790","2650","30170","27570"
"In post","2021","Female","Unknown","Undeclared","8360","7340","29670","27570"
"In post","2021","Female","Unknown","Unknown","18360","15580","28830","27570"
"In post","2021","Male","Analysis","Heterosexual / straight","2460","2420","44820","39950"
"In post","2021","Male","Analysis","LGBO","220","220","42670","37020"
"In post","2021","Male","Analysis","Undeclared","300","290","46260","41950"
"In post","2021","Male","Analysis","Unknown","940","920","42170","37320"
"In post","2021","Male","Commercial","Heterosexual / straight","1990","1970","45070","40500"
