"Status","Year","Region_ITL3","Age","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","16-19","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","20-29","North Eastern Scotland","230","220","27170","26570"
"In post","2021","Aberdeen City and Aberdeenshire","30-39","North Eastern Scotland","420","400","33380","30650"
"In post","2021","Aberdeen City and Aberdeenshire","40-49","North Eastern Scotland","440","430","40490","33650"
"In post","2021","Aberdeen City and Aberdeenshire","50-59","North Eastern Scotland","580","550","38660","32700"
"In post","2021","Aberdeen City and Aberdeenshire","60-64","North Eastern Scotland","150","120","35710","27570"
"In post","2021","Aberdeen City and Aberdeenshire","65+","North Eastern Scotland","40","30","[c]","[c]"
"In post","2021","Angus and Dundee City","16-19","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","20-29","Eastern Scotland","220","210","23100","21010"
"In post","2021","Angus and Dundee City","30-39","Eastern Scotland","430","400","26020","22640"
"In post","2021","Angus and Dundee City","40-49","Eastern Scotland","480","450","26630","22230"
"In post","2021","Angus and Dundee City","50-59","Eastern Scotland","540","500","27550","22230"
"In post","2021","Angus and Dundee City","60-64","Eastern Scotland","180","150","25950","21440"
"In post","2021","Angus and Dundee City","65+","Eastern Scotland","50","40","25120","21010"
"In post","2021","Antrim and Newtownabbey","20-29","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","30-39","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","40-49","Northern Ireland","40","40","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","50-59","Northern Ireland","90","90","25440","20810"
"In post","2021","Antrim and Newtownabbey","60-64","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","65+","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","20-29","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","30-39","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","40-49","Northern Ireland","70","60","25600","20810"
"In post","2021","Ards and North Down","50-59","Northern Ireland","110","100","24960","21250"
"In post","2021","Ards and North Down","60-64","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","65+","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","40-49","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","50-59","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","16-19","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","20-29","Outer London - East and North East","90","90","29550","31060"
"In post","2021","Barking & Dagenham and Havering","30-39","Outer London - East and North East","100","90","30190","31060"
"In post","2021","Barking & Dagenham and Havering","40-49","Outer London - East and North East","130","120","30470","31060"
"In post","2021","Barking & Dagenham and Havering","50-59","Outer London - East and North East","210","190","30920","31060"
"In post","2021","Barking & Dagenham and Havering","60-64","Outer London - East and North East","50","40","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","65+","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","16-19","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","20-29","Outer London - West and North West","340","320","30480","31060"
"In post","2021","Barnet","30-39","Outer London - West and North West","350","330","38810","34150"
"In post","2021","Barnet","40-49","Outer London - West and North West","370","350","44770","41350"
"In post","2021","Barnet","50-59","Outer London - West and North West","440","420","41650","36580"
"In post","2021","Barnet","60-64","Outer London - West and North West","130","120","46320","32120"
"In post","2021","Barnet","65+","Outer London - West and North West","50","50","43240","31880"
"In post","2021","Barnsley, Doncaster and Rotherham","16-19","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","20-29","South Yorkshire","420","410","24710","24620"
"In post","2021","Barnsley, Doncaster and Rotherham","30-39","South Yorkshire","550","500","26900","26810"
"In post","2021","Barnsley, Doncaster and Rotherham","40-49","South Yorkshire","680","610","28030","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","50-59","South Yorkshire","990","890","28180","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","60-64","South Yorkshire","280","210","26180","26780"
"In post","2021","Barnsley, Doncaster and Rotherham","65+","South Yorkshire","60","40","25660","26120"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","100","100","18130","17780"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","20-29","Gloucestershire, Wiltshire and Bath/Bristol area","2820","2790","27730","27540"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","30-39","Gloucestershire, Wiltshire and Bath/Bristol area","3150","3000","36430","34910"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","40-49","Gloucestershire, Wiltshire and Bath/Bristol area","2880","2770","41860","40160"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","50-59","Gloucestershire, Wiltshire and Bath/Bristol area","3360","3270","43530","40900"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","60-64","Gloucestershire, Wiltshire and Bath/Bristol area","830","730","41680","40460"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","65+","Gloucestershire, Wiltshire and Bath/Bristol area","210","170","37190","34770"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","16-19","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","20-29","Bedfordshire and Hertfordshire","160","160","27230","27850"
"In post","2021","Bedford","30-39","Bedfordshire and Hertfordshire","170","160","28950","27850"
"In post","2021","Bedford","40-49","Bedfordshire and Hertfordshire","180","170","31000","29530"
"In post","2021","Bedford","50-59","Bedfordshire and Hertfordshire","250","230","32970","28550"
"In post","2021","Bedford","60-64","Bedfordshire and Hertfordshire","70","50","28680","27570"
"In post","2021","Bedford","65+","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","16-19","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","20-29","Northern Ireland","390","370","23310","20140"
"In post","2021","Belfast","30-39","Northern Ireland","740","700","28410","25560"
"In post","2021","Belfast","40-49","Northern Ireland","720","670","29200","25560"
"In post","2021","Belfast","50-59","Northern Ireland","750","700","32190","28130"
"In post","2021","Belfast","60-64","Northern Ireland","160","120","27940","25560"
"In post","2021","Belfast","65+","Northern Ireland","50","40","27850","21440"
"In post","2021","Belfast","Unknown","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","16-19","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","20-29","Berkshire, Buckinghamshire and Oxfordshire","420","420","28790","26970"
"In post","2021","Berkshire","30-39","Berkshire, Buckinghamshire and Oxfordshire","600","590","34850","31880"
"In post","2021","Berkshire","40-49","Berkshire, Buckinghamshire and Oxfordshire","680","640","36010","32120"
"In post","2021","Berkshire","50-59","Berkshire, Buckinghamshire and Oxfordshire","900","870","35940","32690"
"In post","2021","Berkshire","60-64","Berkshire, Buckinghamshire and Oxfordshire","250","220","33670","30200"
"In post","2021","Berkshire","65+","Berkshire, Buckinghamshire and Oxfordshire","100","80","32910","30530"
"In post","2021","Bexley and Greenwich","16-19","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","20-29","Outer London - East and North East","330","320","29640","31060"
"In post","2021","Bexley and Greenwich","30-39","Outer London - East and North East","390","380","32230","31930"
"In post","2021","Bexley and Greenwich","40-49","Outer London - East and North East","350","340","32240","31060"
"In post","2021","Bexley and Greenwich","50-59","Outer London - East and North East","520","500","32830","31880"
"In post","2021","Bexley and Greenwich","60-64","Outer London - East and North East","130","110","31500","31060"
