"Status","Year","Region_ITL3","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","Scotland","1870","1760","36180","30650"
"In post","2021","Angus and Dundee City","Scotland","1900","1750","26230","22080"
"In post","2021","Antrim and Newtownabbey","Northern Ireland","200","200","24570","20310"
"In post","2021","Ards and North Down","Northern Ireland","230","220","25880","21270"
"In post","2021","Armagh City, Banbridge and Craigavon","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","London","600","550","30460","31060"
"In post","2021","Barnet","London","1680","1580","39880","32650"
"In post","2021","Barnsley, Doncaster and Rotherham","Yorkshire and The Humber","3000","2670","27170","27150"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","South West (England)","13360","12830","37750","34370"
"In post","2021","Bedford","East of England","840","780","30220","28190"
"In post","2021","Belfast","Northern Ireland","2820","2620","28890","25560"
"In post","2021","Berkshire","South East (England)","2950","2820","34390","30890"
"In post","2021","Bexley and Greenwich","London","1760","1680","31820","31060"
"In post","2021","Birmingham","West Midlands (England)","11600","10800","31170","27570"
"In post","2021","Blackburn with Darwen","North West (England)","490","440","26790","27570"
"In post","2021","Blackpool","North West (England)","5140","4700","29050","27570"
"In post","2021","Bournemouth and Poole","South West (England)","720","640","26860","27370"
"In post","2021","Bradford","Yorkshire and The Humber","3100","2750","27200","25560"
"In post","2021","Breckland and South Norfolk","East of England","530","500","28550","26750"
"In post","2021","Brent","London","600","560","31430","31060"
"In post","2021","Bridgend and Neath Port Talbot","Wales","710","630","27110","27570"
"In post","2021","Brighton and Hove","South East (England)","660","590","30600","27570"
"In post","2021","Bristol, City of","South West (England)","6610","6140","35860","31810"
"In post","2021","Bromley","London","460","420","29400","31060"
"In post","2021","Buckinghamshire CC","South East (England)","1680","1600","32150","29750"
"In post","2021","Caithness and Sutherland and Ross and Cromarty","Scotland","220","200","29320","27570"
"In post","2021","Calderdale and Kirklees","Yorkshire and The Humber","1060","940","27030","27570"
"In post","2021","Cambridgeshire CC","East of England","3380","3200","33980","31220"
"In post","2021","Camden and City of London","London","3640","3480","38270","32520"
"In post","2021","Cardiff and Vale of Glamorgan","Wales","12070","11260","32950","27570"
"In post","2021","Causeway Coast and Glens","Northern Ireland","70","70","20720","20310"
"In post","2021","Central Bedfordshire","East of England","430","420","30230","27570"
"In post","2021","Central Hampshire","South East (England)","4190","4040","36180","33300"
"In post","2021","Central Valleys","Wales","1710","1590","34570","28850"
"In post","2021","Cheshire East","North West (England)","760","700","30050","27570"
"In post","2021","Cheshire West and Chester","North West (England)","460","420","26080","27300"
"In post","2021","Chorley and West Lancashire","North West (England)","1330","1230","29700","27570"
"In post","2021","City of Edinburgh","Scotland","12800","12200","37390","32140"
"In post","2021","Clackmannanshire and Fife","Scotland","1350","1250","29960","27570"
"In post","2021","Conwy and Denbighshire","Wales","690","640","35060","30210"
"In post","2021","Cornwall and Isles of Scilly","South West (England)","1650","1500","26590","26670"
"In post","2021","Coventry","West Midlands (England)","2430","2300","36870","32300"
"In post","2021","Croydon","London","9620","9140","38350","35070"
"In post","2021","Darlington","North East (England)","980","920","35680","30900"
"In post","2021","Derby","East Midlands (England)","1010","900","26450","22920"
"In post","2021","Derry City and Strabane","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Devon CC","South West (England)","5580","5120","31680","27570"
"In post","2021","Dorset CC","South West (England)","2140","2010","29140","27130"
"In post","2021","Dudley","West Midlands (England)","1150","990","25080","26080"
"In post","2021","Dumfries and Galloway","Scotland","570","520","29320","27570"
"In post","2021","Durham CC","North East (England)","5590","5030","27020","25310"
"In post","2021","Ealing","London","520","490","31310","31060"
"In post","2021","East Ayrshire and North Ayrshire mainland","Scotland","960","870","26710","26570"
"In post","2021","East Cumbria","North West (England)","940","860","27620","24920"
"In post","2021","East Derbyshire","East Midlands (England)","400","340","26830","27570"
"In post","2021","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","Scotland","2420","2310","30550","27570"
"In post","2021","East Kent","South East (England)","4230","3890","28190","26670"
"In post","2021","East Lancashire","North West (England)","480","430","25810","27570"
"In post","2021","East Lothian and Midlothian","Scotland","110","100","27940","27570"
"In post","2021","East Merseyside","North West (England)","1040","930","27640","27570"
"In post","2021","East Riding of Yorkshire","Yorkshire and The Humber","1890","1780","28640","26810"
"In post","2021","East Surrey","South East (England)","990","940","33430","33590"
"In post","2021","East Sussex CC","South East (England)","2000","1790","26810","27570"
"In post","2021","Enfield","London","360","340","30130","31060"
"In post","2021","Essex Haven Gateway","East of England","1130","1070","32320","29290"
"In post","2021","Essex Thames Gateway","East of England","940","830","27660","28730"
"In post","2021","Falkirk","Scotland","1820","1600","27580","27570"
"In post","2021","Fermanagh and Omagh","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Flintshire and Wrexham","Wales","2160","2030","27810","26300"
"In post","2021","Glasgow City","Scotland","11650","10850","31820","27570"
"In post","2021","Gloucestershire","South West (England)","1400","1260","29260","27570"
"In post","2021","Greater Manchester North East","North West (England)","1210","1120","27610","27570"
"In post","2021","Greater Manchester North West","North West (England)","1980","1780","25310","24440"
"In post","2021","Greater Manchester South East","North West (England)","1390","1280","25630","22080"
"In post","2021","Greater Manchester South West","North West (England)","6150","5790","30490","27100"
"In post","2021","Gwent Valleys","Wales","1080","980","28350","27570"
"In post","2021","Gwynedd","Wales","740","680","25100","21050"
"In post","2021","Hackney and Newham","London","3050","2830","34600","31060"
"In post","2021","Haringey and Islington","London","1510","1440","31110","31060"
"In post","2021","Harrow and Hillingdon","London","3400","3080","31170","29250"
"In post","2021","Hartlepool and Stockton-on-Tees","North East (England)","1550","1410","27240","27570"
"In post","2021","Heart of Essex","East of England","1120","1050","31990","29290"
"In post","2021","Herefordshire, County of","West Midlands (England)","440","420","27930","26670"
"In post","2021","Hertfordshire","East of England","2720","2560","34780","31170"
"In post","2021","Hounslow and Richmond upon Thames","London","2860","2710","32620","31060"
"In post","2021","Inverclyde, East Renfrewshire and Renfrewshire","Scotland","1040","940","29630","27570"
"In post","2021","Inverness and Nairn and Moray, Badenoch and Strathspey","Scotland","1140","1070","29090","27570"
"In post","2021","Isle of Anglesey","Wales","250","230","27690","26670"
"In post","2021","Isle of Wight","South East (England)","900","830","27520","26810"
"In post","2021","Kensington & Chelsea and Hammersmith & Fulham","London","850","810","32650","31060"
"In post","2021","Kent Thames Gateway","South East (England)","1610","1530","30150","30400"
"In post","2021","Kingston upon Hull, City of","Yorkshire and The Humber","2000","1800","27990","27130"
"In post","2021","Lambeth","London","4380","4140","43650","39410"
"In post","2021","Lancaster and Wyre","North West (England)","1060","980","28560","26670"
"In post","2021","Leeds","Yorkshire and The Humber","11410","10740","33110","28790"
"In post","2021","Leicester","East Midlands (England)","2620","2360","26860","25400"
"In post","2021","Leicestershire CC and Rutland","East Midlands (England)","2030","1890","29100","26810"
"In post","2021","Lewisham and Southwark","London","1390","1330","33830","31060"
"In post","2021","Lincolnshire","East Midlands (England)","2830","2660","28120","26750"
"In post","2021","Lisburn and Castlereagh","Northern Ireland","400","380","27540","24890"
"In post","2021","Liverpool","North West (England)","10240","9450","29090","25310"
"In post","2021","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","Scotland","330","310","28440","27570"
"In post","2021","Luton","East of England","550","490","26280","26700"
"In post","2021","Manchester","North West (England)","8990","8530","33780","29730"
"In post","2021","Medway","South East (England)","1410","1350","31050","29750"
"In post","2021","Merton, Kingston upon Thames and Sutton","London","660","620","31120","31060"
"In post","2021","Mid and East Antrim","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Mid Kent","South East (England)","880","820","30270","29290"
"In post","2021","Mid Lancashire","North West (England)","5600","5030","27450","24980"
"In post","2021","Milton Keynes","South East (England)","2210","2120","32440","28550"
"In post","2021","Monmouthshire and Newport","Wales","5610","5250","33790","29540"
"In post","2021","Na h-Eileanan Siar","Scotland","170","160","25840","22230"
"In post","2021","Newry, Mourne and Down","Northern Ireland","60","60","21280","20310"
"In post","2021","North and North East Lincolnshire","Yorkshire and The Humber","810","720","25790","26470"
"In post","2021","North and West Norfolk","East of England","930","860","28020","27420"
"In post","2021","North Hampshire","South East (England)","1020","970","32770","27570"
"In post","2021","North Lanarkshire","Scotland","2800","2450","26180","22820"
"In post","2021","North Northamptonshire","East Midlands (England)","510","450","25610","27570"
"In post","2021","North Nottinghamshire","East Midlands (England)","990","930","28920","27570"
"In post","2021","North Yorkshire CC","Yorkshire and The Humber","1930","1830","29610","27570"
"In post","2021","Northumberland","North East (England)","400","350","28320","27570"
"In post","2021","Norwich and East Norfolk","East of England","1790","1630","29570","27570"
"In post","2021","Nottingham","East Midlands (England)","7960","7430","31780","27570"
"In post","2021","Orkney Islands","Scotland","40","30","[c]","[c]"
"In post","2021","Overseas","Overseas","3750","3740","49990","49760"
"In post","2021","Oxfordshire","South East (England)","2750","2590","32140","29530"
"In post","2021","Perth and Kinross and Stirling","Scotland","1350","1270","30970","29140"
"In post","2021","Peterborough","East of England","1670","1500","28180","25330"
"In post","2021","Plymouth","South West (England)","3100","2890","31160","27570"
"In post","2021","Portsmouth","South East (England)","3910","3630","30590","27570"
"In post","2021","Powys","Wales","550","520","29070","27570"
"In post","2021","Redbridge and Waltham Forest","London","1060","970","28990","30780"
"In post","2021","Sandwell","West Midlands (England)","440","400","27170","27570"
"In post","2021","Scottish Borders","Scotland","480","440","29450","27570"
"In post","2021","Sefton","North West (England)","6060","5510","29020","25560"
"In post","2021","Sheffield","Yorkshire and The Humber","6930","6400","33200","29360"
"In post","2021","Shetland Islands","Scotland","60","60","30130","27570"
"In post","2021","Shropshire CC","West Midlands (England)","1170","1110","29090","27570"
"In post","2021","Solihull","West Midlands (England)","1100","1020","28910","26620"
"In post","2021","Somerset","South West (England)","2350","2190","30960","27570"
"In post","2021","South and West Derbyshire","East Midlands (England)","1160","1050","32860","27970"
"In post","2021","South Ayrshire","Scotland","320","290","27970","27570"
"In post","2021","South Hampshire","South East (England)","4050","3520","30010","27570"
"In post","2021","South Lanarkshire","Scotland","3700","3320","30270","26120"
"In post","2021","South Nottinghamshire","East Midlands (England)","780","730","30500","27570"
"In post","2021","South Teesside","North East (England)","1130","1010","26410","25310"
"In post","2021","South West Wales","Wales","1470","1360","30230","27570"
"In post","2021","Southampton","South East (England)","1290","1180","32820","27570"
"In post","2021","Southend-on-Sea","East of England","1340","1210","32090","29360"
"In post","2021","Staffordshire CC","West Midlands (England)","3970","3730","29880","27570"
"In post","2021","Stoke-on-Trent","West Midlands (England)","1240","1110","25180","21170"
"In post","2021","Suffolk","East of England","4170","3910","28710","27570"
"In post","2021","Sunderland","North East (England)","4430","3750","25080","21440"
