"Status","Year","Sex","Region_ITL3","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Aberdeen City and Aberdeenshire","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Female","Aberdeen City and Aberdeenshire","Department for Business, Energy and Industrial Strategy","70","60","44440","36740"
"In post","2021","Female","Aberdeen City and Aberdeenshire","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Female","Aberdeen City and Aberdeenshire","Department for Transport","30","30","[c]","[c]"
"In post","2021","Female","Aberdeen City and Aberdeenshire","Department for Work and Pensions","200","170","29890","27570"
"In post","2021","Female","Aberdeen City and Aberdeenshire","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Female","Aberdeen City and Aberdeenshire","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Aberdeen City and Aberdeenshire","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Female","Aberdeen City and Aberdeenshire","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Female","Aberdeen City and Aberdeenshire","Scottish Government","590","540","32080","29190"
"In post","2021","Female","Angus and Dundee City","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Female","Angus and Dundee City","Department for Work and Pensions","630","550","24100","21010"
"In post","2021","Female","Angus and Dundee City","HM Revenue and Customs","150","130","23880","21440"
"In post","2021","Female","Angus and Dundee City","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Female","Angus and Dundee City","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Female","Angus and Dundee City","Scottish Government","370","340","31960","27150"
"In post","2021","Female","Antrim and Newtownabbey","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Female","Antrim and Newtownabbey","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Antrim and Newtownabbey","Ministry of Defence","60","50","26200","21670"
"In post","2021","Female","Ards and North Down","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Ards and North Down","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Female","Ards and North Down","Ministry of Defence","40","40","[c]","[c]"
"In post","2021","Female","Armagh City, Banbridge and Craigavon","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barking & Dagenham and Havering","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barking & Dagenham and Havering","Department for Work and Pensions","290","250","30770","31060"
"In post","2021","Female","Barking & Dagenham and Havering","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barking & Dagenham and Havering","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barking & Dagenham and Havering","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barking & Dagenham and Havering","Ministry of Justice","100","90","28130","26150"
"In post","2021","Female","Barnet","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barnet","Department for Work and Pensions","220","200","30620","31060"
"In post","2021","Female","Barnet","Department of Health and Social Care","730","680","41440","35530"
"In post","2021","Female","Barnet","Home Office","30","30","[c]","[c]"
"In post","2021","Female","Barnet","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barnet","Ministry of Justice","70","60","28820","26810"
"In post","2021","Female","Barnsley, Doncaster and Rotherham","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barnsley, Doncaster and Rotherham","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barnsley, Doncaster and Rotherham","Department for Work and Pensions","1030","830","25040","27570"
"In post","2021","Female","Barnsley, Doncaster and Rotherham","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barnsley, Doncaster and Rotherham","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barnsley, Doncaster and Rotherham","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barnsley, Doncaster and Rotherham","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barnsley, Doncaster and Rotherham","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barnsley, Doncaster and Rotherham","Ministry of Justice","760","690","27230","24620"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","Department for Transport","[c]","[c]","[c]","[c]"
