"Status","Year","Responsibility_level","Sex","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","SEO/HEO","Female","60-64","3210","2640","36950","35360"
"In post","2021","SEO/HEO","Female","65+","650","490","37380","36010"
"In post","2021","SEO/HEO","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Male","16-19","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Male","20-29","10140","10110","34340","33430"
"In post","2021","SEO/HEO","Male","30-39","14380","14300","36360","35900"
"In post","2021","SEO/HEO","Male","40-49","14270","14160","37710","37290"
"In post","2021","SEO/HEO","Male","50-59","18350","18040","38820","38160"
"In post","2021","SEO/HEO","Male","60-64","4520","3890","39240","38200"
"In post","2021","SEO/HEO","Male","65+","1380","1080","39070","37610"
"In post","2021","SEO/HEO","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Unknown","20-29","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Unknown","30-39","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Unknown","40-49","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Female","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Female","20-29","2020","1980","25740","23840"
"In post","2021","Unknown","Female","30-39","2560","2330","29980","30210"
"In post","2021","Unknown","Female","40-49","2590","2340","32920","32690"
"In post","2021","Unknown","Female","50-59","2230","2060","32070","30210"
"In post","2021","Unknown","Female","60-64","690","580","30140","28200"
"In post","2021","Unknown","Female","65+","230","170","30580","28200"
"In post","2021","Unknown","Male","16-19","60","60","18820","16780"
"In post","2021","Unknown","Male","20-29","950","940","27500","27370"
"In post","2021","Unknown","Male","30-39","1320","1300","34410","32700"
"In post","2021","Unknown","Male","40-49","1400","1380","37710","36580"
"In post","2021","Unknown","Male","50-59","1790","1760","39910","37170"
"In post","2021","Unknown","Male","60-64","560","520","37340","37170"
"In post","2021","Unknown","Male","65+","170","150","37420","35530"
"In post","2022","AA/AO","Female","16-19","470","450","21550","21250"
"In post","2022","AA/AO","Female","20-29","14210","13680","22620","21270"
"In post","2022","AA/AO","Female","30-39","13340","11440","22500","21260"
"In post","2022","AA/AO","Female","40-49","15090","12650","22210","21260"
"In post","2022","AA/AO","Female","50-59","22640","19480","22110","21260"
"In post","2022","AA/AO","Female","60-64","8920","6950","21890","21260"
"In post","2022","AA/AO","Female","65+","2870","2110","22040","21300"
"In post","2022","AA/AO","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Male","16-19","420","400","21360","21250"
"In post","2022","AA/AO","Male","20-29","12350","12190","23150","21680"
"In post","2022","AA/AO","Male","30-39","12030","11820","24200","21840"
"In post","2022","AA/AO","Male","40-49","10740","10470","24140","21680"
"In post","2022","AA/AO","Male","50-59","15780","15090","24210","21830"
"In post","2022","AA/AO","Male","60-64","5850","5060","23190","21300"
"In post","2022","AA/AO","Male","65+","2450","2000","22580","21260"
"In post","2022","AA/AO","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","EO","Female","16-19","120","120","25100","25170"
"In post","2022","EO","Female","20-29","13170","12970","27430","27370"
"In post","2022","EO","Female","30-39","14630","13400","27640","27570"
"In post","2022","EO","Female","40-49","16310","14540","27770","27570"
"In post","2022","EO","Female","50-59","22550","20350","27950","27570"
"In post","2022","EO","Female","60-64","6450","5020","28080","27570"
"In post","2022","EO","Female","65+","1650","1200","28240","27570"
"In post","2022","EO","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","EO","Male","16-19","180","180","22450","23930"
