"Status","Year","Responsibility_level","Sex","Age","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","Unknown","Female","40-49","230","200","[c]","[c]"
"Leaver CS","2022","Unknown","Female","50-59","230","190","[c]","[c]"
"Leaver CS","2022","Unknown","Female","60-64","150","120","[c]","[c]"
"Leaver CS","2022","Unknown","Female","65+","130","90","[c]","[c]"
"Leaver CS","2022","Unknown","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Male","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Male","20-29","150","130","28860","28980"
"Leaver CS","2022","Unknown","Male","30-39","190","180","35930","33270"
"Leaver CS","2022","Unknown","Male","40-49","100","90","[c]","[c]"
"Leaver CS","2022","Unknown","Male","50-59","150","140","39200","35590"
"Leaver CS","2022","Unknown","Male","60-64","140","130","43960","41060"
"Leaver CS","2022","Unknown","Male","65+","90","80","[c]","[c]"
"Leaver CS","2022","Unknown","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Female","16-19","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Female","20-29","530","500","21240","21010"
"Leaver Dept.","2021","AA/AO","Female","30-39","320","290","20820","21010"
"Leaver Dept.","2021","AA/AO","Female","40-49","190","170","20980","21010"
"Leaver Dept.","2021","AA/AO","Female","50-59","160","150","20970","21010"
"Leaver Dept.","2021","AA/AO","Female","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Female","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Male","16-19","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Male","20-29","350","340","21050","21010"
"Leaver Dept.","2021","AA/AO","Male","30-39","280","270","21280","21010"
"Leaver Dept.","2021","AA/AO","Male","40-49","150","150","21300","21010"
"Leaver Dept.","2021","AA/AO","Male","50-59","120","110","21160","20800"
"Leaver Dept.","2021","AA/AO","Male","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Male","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Unknown","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Female","16-19","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Female","20-29","530","510","26960","27440"
"Leaver Dept.","2021","EO","Female","30-39","370","340","26600","26970"
"Leaver Dept.","2021","EO","Female","40-49","270","250","27100","27570"
"Leaver Dept.","2021","EO","Female","50-59","180","170","27130","27570"
"Leaver Dept.","2021","EO","Female","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Male","16-19","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Male","20-29","440","420","26920","27540"
"Leaver Dept.","2021","EO","Male","30-39","290","290","26660","27570"
"Leaver Dept.","2021","EO","Male","40-49","160","150","26850","27570"
"Leaver Dept.","2021","EO","Male","50-59","110","110","26870","27570"
"Leaver Dept.","2021","EO","Male","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Unknown","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Unknown","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Female","20-29","180","160","54250","53600"
"Leaver Dept.","2021","G6/G7","Female","30-39","510","470","56460","54700"
"Leaver Dept.","2021","G6/G7","Female","40-49","330","300","58710","57730"
"Leaver Dept.","2021","G6/G7","Female","50-59","160","150","58490","57490"
"Leaver Dept.","2021","G6/G7","Female","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Female","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Male","20-29","160","150","53890","53350"
"Leaver Dept.","2021","G6/G7","Male","30-39","470","440","56330","54700"
"Leaver Dept.","2021","G6/G7","Male","40-49","260","240","58670","57540"
"Leaver Dept.","2021","G6/G7","Male","50-59","180","170","59600","59650"
"Leaver Dept.","2021","G6/G7","Male","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Male","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Unknown","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Unknown","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Unknown","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Unknown","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Female","30-39","40","40","[c]","[c]"
"Leaver Dept.","2021","SCS","Female","40-49","110","100","86020","77970"
"Leaver Dept.","2021","SCS","Female","50-59","40","40","[c]","[c]"
"Leaver Dept.","2021","SCS","Female","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Female","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Male","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Male","40-49","60","60","89460","89790"
"Leaver Dept.","2021","SCS","Male","50-59","40","40","[c]","[c]"
"Leaver Dept.","2021","SCS","Male","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Male","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Unknown","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Unknown","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Female","20-29","1130","1070","33700","32750"
"Leaver Dept.","2021","SEO/HEO","Female","30-39","660","620","35900","34940"
"Leaver Dept.","2021","SEO/HEO","Female","40-49","370","340","36740","35800"
"Leaver Dept.","2021","SEO/HEO","Female","50-59","270","260","36620","35720"
"Leaver Dept.","2021","SEO/HEO","Female","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Female","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Male","20-29","930","880","33800","32830"
"Leaver Dept.","2021","SEO/HEO","Male","30-39","660","620","35990","35020"
"Leaver Dept.","2021","SEO/HEO","Male","40-49","280","270","37060","36880"
"Leaver Dept.","2021","SEO/HEO","Male","50-59","190","190","36530","35310"
"Leaver Dept.","2021","SEO/HEO","Male","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Male","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Unknown","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Unknown","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","20-29","50","50","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","30-39","40","30","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Male","20-29","50","40","[c]","[c]"
"Leaver Dept.","2021","Unknown","Male","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Male","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Male","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Male","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Female","16-19","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Female","20-29","860","820","21500","21260"
"Leaver Dept.","2022","AA/AO","Female","30-39","450","390","21540","21260"
"Leaver Dept.","2022","AA/AO","Female","40-49","340","290","21470","21260"
"Leaver Dept.","2022","AA/AO","Female","50-59","290","250","21320","21260"
"Leaver Dept.","2022","AA/AO","Female","60-64","70","60","21140","21260"
"Leaver Dept.","2022","AA/AO","Female","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Male","16-19","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Male","20-29","540","520","21400","21260"
"Leaver Dept.","2022","AA/AO","Male","30-39","360","350","21540","21260"
"Leaver Dept.","2022","AA/AO","Male","40-49","220","220","21910","21260"
"Leaver Dept.","2022","AA/AO","Male","50-59","140","140","21620","21260"
"Leaver Dept.","2022","AA/AO","Male","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Male","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Female","16-19","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Female","20-29","1260","1170","26940","27500"
"Leaver Dept.","2022","EO","Female","30-39","800","740","26960","27570"
"Leaver Dept.","2022","EO","Female","40-49","610","550","27150","27570"
"Leaver Dept.","2022","EO","Female","50-59","450","400","27260","27570"
"Leaver Dept.","2022","EO","Female","60-64","70","70","26960","27570"
"Leaver Dept.","2022","EO","Female","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Male","16-19","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Male","20-29","810","760","27040","27570"
"Leaver Dept.","2022","EO","Male","30-39","610","590","27030","27570"
"Leaver Dept.","2022","EO","Male","40-49","330","320","27250","27570"
"Leaver Dept.","2022","EO","Male","50-59","220","210","27290","27570"
"Leaver Dept.","2022","EO","Male","60-64","40","30","[c]","[c]"
"Leaver Dept.","2022","EO","Male","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Female","20-29","240","200","54120","53640"
"Leaver Dept.","2022","G6/G7","Female","30-39","880","760","56780","54700"
"Leaver Dept.","2022","G6/G7","Female","40-49","870","740","58010","55710"
"Leaver Dept.","2022","G6/G7","Female","50-59","560","480","59060","56450"
"Leaver Dept.","2022","G6/G7","Female","60-64","80","60","60360","56510"
"Leaver Dept.","2022","G6/G7","Female","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Male","20-29","230","180","54720","54130"
"Leaver Dept.","2022","G6/G7","Male","30-39","680","590","57170","54700"
"Leaver Dept.","2022","G6/G7","Male","40-49","640","560","58910","56650"
"Leaver Dept.","2022","G6/G7","Male","50-59","470","410","59960","57570"
"Leaver Dept.","2022","G6/G7","Male","60-64","90","80","62910","61570"
"Leaver Dept.","2022","G6/G7","Male","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS","Female","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS","Female","30-39","70","60","83140","81410"
"Leaver Dept.","2022","SCS","Female","40-49","180","150","89880","90950"
"Leaver Dept.","2022","SCS","Female","50-59","150","120","107470","107720"
"Leaver Dept.","2022","SCS","Female","60-64","40","20","[c]","[c]"
"Leaver Dept.","2022","SCS","Female","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS","Male","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS","Male","30-39","70","60","80730","75500"
"Leaver Dept.","2022","SCS","Male","40-49","150","120","93570","92950"
"Leaver Dept.","2022","SCS","Male","50-59","140","110","104970","103220"
"Leaver Dept.","2022","SCS","Male","60-64","40","30","[c]","[c]"
"Leaver Dept.","2022","SCS","Male","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Female","20-29","1840","1660","34180","33210"
"Leaver Dept.","2022","SEO/HEO","Female","30-39","1560","1410","36130","36330"
"Leaver Dept.","2022","SEO/HEO","Female","40-49","1110","960","36610","36650"
"Leaver Dept.","2022","SEO/HEO","Female","50-59","720","620","36500","36330"
"Leaver Dept.","2022","SEO/HEO","Female","60-64","120","90","36730","36330"
"Leaver Dept.","2022","SEO/HEO","Female","65+","30","20","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Male","20-29","1250","1140","34210","33250"
"Leaver Dept.","2022","SEO/HEO","Male","30-39","1210","1120","36240","36060"
"Leaver Dept.","2022","SEO/HEO","Male","40-49","660","610","37310","37420"
"Leaver Dept.","2022","SEO/HEO","Male","50-59","460","410","37330","36870"
"Leaver Dept.","2022","SEO/HEO","Male","60-64","60","50","38320","37760"
"Leaver Dept.","2022","SEO/HEO","Male","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Unknown","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Unknown","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Female","16-19","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Female","20-29","80","60","[c]","[c]"
"Leaver Dept.","2022","Unknown","Female","30-39","50","30","[c]","[c]"
"Leaver Dept.","2022","Unknown","Female","40-49","50","30","[c]","[c]"
"Leaver Dept.","2022","Unknown","Female","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Female","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Female","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Male","16-19","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Male","20-29","60","40","[c]","[c]"
"Leaver Dept.","2022","Unknown","Male","30-39","40","30","[c]","[c]"
"Leaver Dept.","2022","Unknown","Male","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Male","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Male","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Male","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Female","16-19","390","370","20880","20920"
"New entrant CS","2021","AA/AO","Female","20-29","5350","5240","21440","21010"
"New entrant CS","2021","AA/AO","Female","30-39","2100","1990","21350","21010"
"New entrant CS","2021","AA/AO","Female","40-49","1480","1410","21270","21010"
"New entrant CS","2021","AA/AO","Female","50-59","1390","1340","20950","21010"
"New entrant CS","2021","AA/AO","Female","60-64","270","260","20750","21010"
"New entrant CS","2021","AA/AO","Female","65+","50","40","[c]","[c]"
"New entrant CS","2021","AA/AO","Male","16-19","290","280","20800","20810"
"New entrant CS","2021","AA/AO","Male","20-29","4370","4320","21710","21010"
"New entrant CS","2021","AA/AO","Male","30-39","2080","2060","22320","21010"
"New entrant CS","2021","AA/AO","Male","40-49","1260","1240","22280","21010"
"New entrant CS","2021","AA/AO","Male","50-59","1220","1200","21790","21010"
"New entrant CS","2021","AA/AO","Male","60-64","270","270","21140","21010"
"New entrant CS","2021","AA/AO","Male","65+","50","50","[c]","[c]"
"New entrant CS","2021","AA/AO","Unknown","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Female","16-19","90","90","24990","26120"
"New entrant CS","2021","EO","Female","20-29","4590","4540","27500","27570"
"New entrant CS","2021","EO","Female","30-39","2580","2470","27860","27570"
"New entrant CS","2021","EO","Female","40-49","1840","1760","27950","27570"
"New entrant CS","2021","EO","Female","50-59","1580","1510","27920","27570"
"New entrant CS","2021","EO","Female","60-64","220","200","27900","27570"
"New entrant CS","2021","EO","Female","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Male","16-19","110","110","23000","24300"
"New entrant CS","2021","EO","Male","20-29","3120","3100","27210","27570"
"New entrant CS","2021","EO","Male","30-39","1850","1850","27730","27570"
"New entrant CS","2021","EO","Male","40-49","1310","1300","27720","27570"
"New entrant CS","2021","EO","Male","50-59","1120","1100","28000","27570"
"New entrant CS","2021","EO","Male","60-64","210","200","27700","27570"
"New entrant CS","2021","EO","Male","65+","40","30","[c]","[c]"
"New entrant CS","2021","EO","Unknown","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Unknown","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Unknown","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Unknown","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Female","20-29","220","220","53890","53360"
"New entrant CS","2021","G6/G7","Female","30-39","680","650","56210","53990"
"New entrant CS","2021","G6/G7","Female","40-49","560","530","57790","54120"
"New entrant CS","2021","G6/G7","Female","50-59","290","280","59310","56000"
"New entrant CS","2021","G6/G7","Female","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Female","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Female","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Male","20-29","210","210","54500","53380"
"New entrant CS","2021","G6/G7","Male","30-39","640","630","57400","55000"
"New entrant CS","2021","G6/G7","Male","40-49","590","580","59130","56000"
"New entrant CS","2021","G6/G7","Male","50-59","430","430","59480","56550"
"New entrant CS","2021","G6/G7","Male","60-64","60","60","60060","57440"
"New entrant CS","2021","G6/G7","Male","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Male","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Unknown","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Unknown","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Unknown","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Unknown","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Unknown","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Female","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Female","30-39","50","50","81310","77000"
"New entrant CS","2021","SCS","Female","40-49","90","80","86120","80000"
"New entrant CS","2021","SCS","Female","50-59","50","50","99080","91000"
"New entrant CS","2021","SCS","Female","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Female","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Male","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Male","30-39","60","60","76110","73350"
"New entrant CS","2021","SCS","Male","40-49","110","100","96900","89980"
"New entrant CS","2021","SCS","Male","50-59","100","100","100320","95000"
"New entrant CS","2021","SCS","Male","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Male","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Unknown","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Female","20-29","2850","2830","32880","32560"
"New entrant CS","2021","SEO/HEO","Female","30-39","1730","1650","35630","35400"
"New entrant CS","2021","SEO/HEO","Female","40-49","1030","950","36450","36500"
"New entrant CS","2021","SEO/HEO","Female","50-59","580","540","35970","36030"
"New entrant CS","2021","SEO/HEO","Female","60-64","80","60","35260","35900"
"New entrant CS","2021","SEO/HEO","Female","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Female","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Male","20-29","2280","2270","33190","32790"
"New entrant CS","2021","SEO/HEO","Male","30-39","1370","1360","35860","35900"
"New entrant CS","2021","SEO/HEO","Male","40-49","850","840","36650","36330"
"New entrant CS","2021","SEO/HEO","Male","50-59","670","660","37390","37450"
"New entrant CS","2021","SEO/HEO","Male","60-64","120","110","37360","37410"
"New entrant CS","2021","SEO/HEO","Male","65+","30","30","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Male","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Unknown","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Unknown","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Unknown","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Unknown","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Female","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Female","20-29","700","680","22960","22920"
"New entrant CS","2021","Unknown","Female","30-39","320","290","23950","22920"
"New entrant CS","2021","Unknown","Female","40-49","200","180","26800","22920"
"New entrant CS","2021","Unknown","Female","50-59","150","130","22700","18460"
"New entrant CS","2021","Unknown","Female","60-64","40","30","[c]","[c]"
"New entrant CS","2021","Unknown","Female","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Male","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Male","20-29","200","200","24350","22920"
"New entrant CS","2021","Unknown","Male","30-39","120","110","27880","22920"
"New entrant CS","2021","Unknown","Male","40-49","100","90","33550","22920"
"New entrant CS","2021","Unknown","Male","50-59","110","100","31520","24020"
"New entrant CS","2021","Unknown","Male","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Male","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","AA/AO","Female","16-19","410","390","21530","21250"
"New entrant CS","2022","AA/AO","Female","20-29","6610","6440","22020","21260"
"New entrant CS","2022","AA/AO","Female","30-39","2740","2570","21930","21260"
"New entrant CS","2022","AA/AO","Female","40-49","1850","1750","21710","21260"
"New entrant CS","2022","AA/AO","Female","50-59","1590","1500","21460","21260"
"New entrant CS","2022","AA/AO","Female","60-64","330","300","21080","21260"
"New entrant CS","2022","AA/AO","Female","65+","50","40","[c]","[c]"
"New entrant CS","2022","AA/AO","Female","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","AA/AO","Male","16-19","360","340","21410","21250"
"New entrant CS","2022","AA/AO","Male","20-29","5040","4980","22130","21260"
"New entrant CS","2022","AA/AO","Male","30-39","2490","2470","22650","21260"
"New entrant CS","2022","AA/AO","Male","40-49","1290","1270","22640","21260"
"New entrant CS","2022","AA/AO","Male","50-59","1060","1040","22180","21260"
"New entrant CS","2022","AA/AO","Male","60-64","260","250","21550","21260"
"New entrant CS","2022","AA/AO","Male","65+","70","60","21440","21260"
"New entrant CS","2022","AA/AO","Male","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Female","16-19","80","80","25520","25500"
"New entrant CS","2022","EO","Female","20-29","4330","4250","26980","27230"
"New entrant CS","2022","EO","Female","30-39","2080","1980","27170","27570"
"New entrant CS","2022","EO","Female","40-49","1320","1230","27260","27570"
"New entrant CS","2022","EO","Female","50-59","990","930","27550","27570"
"New entrant CS","2022","EO","Female","60-64","130","120","27660","27570"
"New entrant CS","2022","EO","Female","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Female","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Male","16-19","130","130","21910","23850"
"New entrant CS","2022","EO","Male","20-29","3120","3090","26730","26750"
"New entrant CS","2022","EO","Male","30-39","1820","1810","27230","27230"
"New entrant CS","2022","EO","Male","40-49","1010","1000","27230","27230"
"New entrant CS","2022","EO","Male","50-59","1000","930","28370","27570"
"New entrant CS","2022","EO","Male","60-64","160","140","28650","27570"
"New entrant CS","2022","EO","Male","65+","40","30","[c]","[c]"
"New entrant CS","2022","EO","Male","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Female","20-29","270","270","53860","53360"
"New entrant CS","2022","G6/G7","Female","30-39","840","800","55420","53360"
"New entrant CS","2022","G6/G7","Female","40-49","730","680","56740","53500"
"New entrant CS","2022","G6/G7","Female","50-59","390","370","57230","53500"
"New entrant CS","2022","G6/G7","Female","60-64","40","30","[c]","[c]"
"New entrant CS","2022","G6/G7","Female","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Male","20-29","240","230","54610","53420"
"New entrant CS","2022","G6/G7","Male","30-39","770","760","56220","54000"
"New entrant CS","2022","G6/G7","Male","40-49","700","680","58390","55510"
"New entrant CS","2022","G6/G7","Male","50-59","480","470","59340","57140"
"New entrant CS","2022","G6/G7","Male","60-64","80","70","59270","57770"
"New entrant CS","2022","G6/G7","Male","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SCS","Female","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SCS","Female","30-39","40","40","[c]","[c]"
"New entrant CS","2022","SCS","Female","40-49","70","70","88930","84560"
"New entrant CS","2022","SCS","Female","50-59","50","50","99130","93000"
"New entrant CS","2022","SCS","Female","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SCS","Female","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SCS","Male","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SCS","Male","30-39","40","40","[c]","[c]"
"New entrant CS","2022","SCS","Male","40-49","90","80","100490","90000"
"New entrant CS","2022","SCS","Male","50-59","60","50","116430","110000"
"New entrant CS","2022","SCS","Male","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SCS","Male","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SEO/HEO","Female","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SEO/HEO","Female","20-29","3380","3330","33360","32790"
"New entrant CS","2022","SEO/HEO","Female","30-39","2290","2190","35730","35050"
"New entrant CS","2022","SEO/HEO","Female","40-49","1360","1290","36140","35900"
"New entrant CS","2022","SEO/HEO","Female","50-59","730","680","36610","36330"
"New entrant CS","2022","SEO/HEO","Female","60-64","110","90","35860","34290"
"New entrant CS","2022","SEO/HEO","Female","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SEO/HEO","Male","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SEO/HEO","Male","20-29","2860","2820","33260","33080"
"New entrant CS","2022","SEO/HEO","Male","30-39","2010","1960","35790","34550"
"New entrant CS","2022","SEO/HEO","Male","40-49","1130","1110","36820","36050"
"New entrant CS","2022","SEO/HEO","Male","50-59","810","780","37170","36740"
"New entrant CS","2022","SEO/HEO","Male","60-64","130","120","36870","36500"
"New entrant CS","2022","SEO/HEO","Male","65+","40","30","[c]","[c]"
"New entrant CS","2022","SEO/HEO","Unknown","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Female","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Female","20-29","1710","1670","23760","23170"
"New entrant CS","2022","Unknown","Female","30-39","1490","1350","27080","24800"
"New entrant CS","2022","Unknown","Female","40-49","1410","1270","31100","28200"
"New entrant CS","2022","Unknown","Female","50-59","1360","1250","30340","28200"
"New entrant CS","2022","Unknown","Female","60-64","450","380","29010","28200"
"New entrant CS","2022","Unknown","Female","65+","160","130","31090","28200"
