"Status","Year","Function_of_post","Age","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","16-19","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","16-19","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","16-19","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","16-19","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","16-19","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","20-29","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","20-29","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","20-29","Digital, Data and Technology","50","50","37770","36980"
"In post","2021","Analysis","20-29","Economics","760","760","37240","34000"
"In post","2021","Analysis","20-29","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","20-29","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","20-29","Intelligence Analysis","70","70","46930","53360"
"In post","2021","Analysis","20-29","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","20-29","Operational Delivery","110","110","31130","29540"
"In post","2021","Analysis","20-29","Operational Research","180","180","34860","33900"
"In post","2021","Analysis","20-29","Other","60","60","36170","34730"
"In post","2021","Analysis","20-29","Policy","140","140","41720","39780"
"In post","2021","Analysis","20-29","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","20-29","Science and Engineering","110","110","27320","26480"
"In post","2021","Analysis","20-29","Social Research","350","350","34950","32540"
"In post","2021","Analysis","20-29","Statistics","570","560","34970","33000"
"In post","2021","Analysis","20-29","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","20-29","Unknown","30","30","[c]","[c]"
"In post","2021","Analysis","30-39","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","30-39","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","30-39","Digital, Data and Technology","70","70","40820","41990"
"In post","2021","Analysis","30-39","Economics","290","270","57290","56360"
"In post","2021","Analysis","30-39","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","30-39","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","30-39","Intelligence Analysis","90","90","52480","53360"
"In post","2021","Analysis","30-39","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","30-39","Operational Delivery","160","150","31630","29540"
"In post","2021","Analysis","30-39","Operational Research","210","200","45400","46080"
"In post","2021","Analysis","30-39","Other","70","60","67960","65470"
"In post","2021","Analysis","30-39","Policy","110","110","50840","50400"
"In post","2021","Analysis","30-39","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","30-39","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","30-39","Science and Engineering","210","200","34330","30220"
"In post","2021","Analysis","30-39","Social Research","280","260","42490","38440"
"In post","2021","Analysis","30-39","Statistics","520","500","43920","40720"
"In post","2021","Analysis","30-39","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","30-39","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","40-49","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","40-49","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","40-49","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","40-49","Digital, Data and Technology","70","60","46670","45250"
"In post","2021","Analysis","40-49","Economics","130","130","67300","64920"
"In post","2021","Analysis","40-49","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","40-49","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","40-49","Intelligence Analysis","70","70","54590","53360"
"In post","2021","Analysis","40-49","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","40-49","Operational Delivery","140","130","33940","31090"
"In post","2021","Analysis","40-49","Operational Research","130","130","49510","46720"
"In post","2021","Analysis","40-49","Other","50","50","81370","82690"
"In post","2021","Analysis","40-49","Policy","60","50","50640","50630"
"In post","2021","Analysis","40-49","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","40-49","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","40-49","Science and Engineering","170","160","37830","36580"
"In post","2021","Analysis","40-49","Social Research","170","150","47970","49100"
"In post","2021","Analysis","40-49","Statistics","370","360","50120","49690"
"In post","2021","Analysis","40-49","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","50-59","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","50-59","Digital, Data and Technology","50","40","[c]","[c]"
"In post","2021","Analysis","50-59","Economics","70","70","66520","61080"
"In post","2021","Analysis","50-59","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","50-59","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","50-59","Intelligence Analysis","50","40","[c]","[c]"
"In post","2021","Analysis","50-59","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","50-59","Operational Delivery","130","130","34230","31270"
"In post","2021","Analysis","50-59","Operational Research","100","100","49180","46720"
"In post","2021","Analysis","50-59","Other","30","30","[c]","[c]"
"In post","2021","Analysis","50-59","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","50-59","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","50-59","Science and Engineering","130","130","41420","38600"
"In post","2021","Analysis","50-59","Social Research","70","60","50570","52580"
"In post","2021","Analysis","50-59","Statistics","260","250","48490","45960"
"In post","2021","Analysis","50-59","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","50-59","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","60-64","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","60-64","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","60-64","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","60-64","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","60-64","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","60-64","Operational Delivery","30","20","[c]","[c]"
"In post","2021","Analysis","60-64","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","60-64","Other","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","60-64","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","60-64","Science and Engineering","40","40","[c]","[c]"
"In post","2021","Analysis","60-64","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","60-64","Statistics","40","30","[c]","[c]"
"In post","2021","Analysis","60-64","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","65+","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","65+","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","65+","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","65+","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","65+","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","65+","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","65+","Other","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","65+","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","65+","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","65+","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","16-19","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","16-19","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","16-19","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","Commercial","600","600","31410","29720"
"In post","2021","Commercial","20-29","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","Knowledge and Information Management","90","80","26190","26350"
"In post","2021","Commercial","20-29","Operational Delivery","70","70","32510","32400"
"In post","2021","Commercial","20-29","Other","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","Unknown","130","130","45810","43500"
"In post","2021","Commercial","30-39","Commercial","950","910","38510","37100"
"In post","2021","Commercial","30-39","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","30-39","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","30-39","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","30-39","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","30-39","Knowledge and Information Management","110","100","33790","33300"
"In post","2021","Commercial","30-39","Operational Delivery","90","90","40370","37240"
"In post","2021","Commercial","30-39","Other","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","30-39","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","30-39","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","30-39","Property","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","30-39","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","30-39","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","30-39","Unknown","300","290","63150","61710"
"In post","2021","Commercial","40-49","Commercial","1030","990","42820","39860"
"In post","2021","Commercial","40-49","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","40-49","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","40-49","Knowledge and Information Management","150","150","35610","33300"
"In post","2021","Commercial","40-49","Operational Delivery","110","100","45660","41000"
"In post","2021","Commercial","40-49","Other","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","40-49","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","40-49","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","40-49","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","40-49","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","40-49","Unknown","500","490","72910","66950"
"In post","2021","Commercial","50-59","Commercial","1210","1190","44100","40890"
"In post","2021","Commercial","50-59","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","50-59","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","50-59","Knowledge and Information Management","260","250","35210","33300"
