"Status","Year","Region_ITL1","Organisation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","100","90","29690","30950"
"In post","2021","East Midlands (England)","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","80","80","32650","29180"
"In post","2021","East Midlands (England)","Cabinet Office (excl. agencies)","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Crown Commercial Service","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Crown Prosecution Service","Attorney General's Departments","440","410","38240","34480"
"In post","2021","East Midlands (England)","Defence Equipment and Support","Ministry of Defence","220","220","35980","34880"
"In post","2021","East Midlands (England)","Defence Science and Technology Laboratory","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Education (excl. agencies)","Department for Education","220","210","41850","37100"
"In post","2021","East Midlands (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","80","80","39680","36590"
"In post","2021","East Midlands (England)","Department for International Trade","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Transport (excl. agencies)","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","4490","3970","25910","27570"
"In post","2021","East Midlands (England)","Driver and Vehicle Standards Agency","Department for Transport","550","520","32180","27680"
"In post","2021","East Midlands (England)","Education and Skills Funding Agency","Department for Education","60","60","42010","37100"
"In post","2021","East Midlands (England)","Food Standards Agency","Food Standards Agency","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Government Internal Audit Agency","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Government Property Agency","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Health and Safety Executive","Department for Work and Pensions","400","360","42350","39390"
"In post","2021","East Midlands (England)","HM Courts and Tribunals Service","Ministry of Justice","1370","1210","22280","19830"
"In post","2021","East Midlands (England)","HM Land Registry","HM Land Registry","870","790","30980","27130"
"In post","2021","East Midlands (England)","HM Prison and Probation Service","Ministry of Justice","5020","4720","28970","26850"
"In post","2021","East Midlands (England)","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","3790","3540","31950","31810"
"In post","2021","East Midlands (England)","Home Office (incl. agencies)","Home Office","220","210","28000","25390"
"In post","2021","East Midlands (England)","Insolvency Service","Department for Business, Energy and Industrial Strategy","70","70","31350","28130"
"In post","2021","East Midlands (England)","Institute for Apprenticeships and Technical Education","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Legal Aid Agency","Ministry of Justice","180","160","23080","19970"
"In post","2021","East Midlands (England)","Maritime and Coastguard Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Met Office","Department for Business, Energy and Industrial Strategy","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Defence (excl. agencies)","Ministry of Defence","1580","1530","27100","21580"
"In post","2021","East Midlands (England)","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","50","50","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Justice (excl. agencies)","Ministry of Justice","160","150","36710","34590"
"In post","2021","East Midlands (England)","National Crime Agency","National Crime Agency","160","160","36870","36520"
"In post","2021","East Midlands (England)","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","170","160","44560","39850"
"In post","2021","East Midlands (England)","Office of the Public Guardian","Ministry of Justice","420","390","21360","20280"
"In post","2021","East Midlands (England)","Public Health England","Department of Health and Social Care","190","170","44240","37190"
"In post","2021","East Midlands (England)","Rural Payments Agency","Department for Environment, Food and Rural Affairs","70","70","25880","25190"
"In post","2021","East Midlands (England)","Standards and Testing Agency","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Submarine Delivery Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Teaching Regulation Agency","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Valuation Office Agency","HM Revenue and Customs","160","140","33770","31100"
"In post","2021","East Midlands (England)","Vehicle Certification Agency","Department for Transport","70","70","36000","34290"
"In post","2021","East of England","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","40","40","[c]","[c]"
"In post","2021","East of England","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","150","140","31340","29180"
"In post","2021","East of England","Cabinet Office (excl. agencies)","Cabinet Office","120","110","46760","38460"
"In post","2021","East of England","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","460","440","34620","30220"
"In post","2021","East of England","Crown Commercial Service","Other Cabinet Office Agencies","170","160","35020","33340"
"In post","2021","East of England","Crown Prosecution Service","Attorney General's Departments","480","430","40480","34480"
"In post","2021","East of England","Defence Equipment and Support","Ministry of Defence","220","220","34470","33530"
"In post","2021","East of England","Defence Science and Technology Laboratory","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Education (excl. agencies)","Department for Education","70","60","46080","46180"
"In post","2021","East of England","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","180","170","37450","36190"
"In post","2021","East of England","Department for International Trade","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Transport (excl. agencies)","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","4570","4090","28120","27570"
"In post","2021","East of England","Driver and Vehicle Standards Agency","Department for Transport","380","360","28740","26780"
"In post","2021","East of England","Education and Skills Funding Agency","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Food Standards Agency","Food Standards Agency","60","60","27660","26750"
"In post","2021","East of England","Government Internal Audit Agency","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Government Property Agency","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Health and Safety Executive","Department for Work and Pensions","130","120","44430","44820"
"In post","2021","East of England","HM Courts and Tribunals Service","Ministry of Justice","1080","950","23410","20230"
"In post","2021","East of England","HM Land Registry","HM Land Registry","280","260","31050","27130"
"In post","2021","East of England","HM Prison and Probation Service","Ministry of Justice","5360","5080","29650","28880"
"In post","2021","East of England","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","1680","1530","31990","31810"
"In post","2021","East of England","HM Treasury (excl. agencies)","HM Treasury","70","60","29430","23780"
"In post","2021","East of England","Home Office (incl. agencies)","Home Office","1960","1770","26450","25220"
"In post","2021","East of England","Insolvency Service","Department for Business, Energy and Industrial Strategy","130","120","30970","27300"
"In post","2021","East of England","Legal Aid Agency","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Maritime and Coastguard Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","320","310","44060","41010"
"In post","2021","East of England","Met Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Ministry of Defence (excl. agencies)","Ministry of Defence","3570","3450","31480","28890"
"In post","2021","East of England","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","80","70","40140","37050"
"In post","2021","East of England","Ministry of Justice (excl. agencies)","Ministry of Justice","70","70","39530","36670"
"In post","2021","East of England","National Crime Agency","National Crime Agency","140","130","38530","37800"
"In post","2021","East of England","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","100","100","62230","64500"
"In post","2021","East of England","Public Health England","Department of Health and Social Care","410","370","44130","36250"
"In post","2021","East of England","Rural Payments Agency","Department for Environment, Food and Rural Affairs","60","50","27470","25190"
"In post","2021","East of England","UK Hydrographic Office","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Valuation Office Agency","HM Revenue and Customs","160","150","33560","31100"
"In post","2021","London","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","200","190","42390","38670"
"In post","2021","London","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","110","100","37060","31800"
"In post","2021","London","Attorney General's Office","Attorney General's Departments","50","50","[c]","[c]"
"In post","2021","London","Cabinet Office (excl. agencies)","Cabinet Office","6500","6410","49780","42260"
"In post","2021","London","Charity Commission","Charity Commission","70","70","42950","37910"
"In post","2021","London","Companies House","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","London","Competition and Markets Authority","Competition and Markets Authority","790","760","60810","56630"
"In post","2021","London","Crown Commercial Service","Other Cabinet Office Agencies","70","70","50350","49300"
"In post","2021","London","Crown Prosecution Service","Attorney General's Departments","1690","1600","44520","39750"
"In post","2021","London","Crown Prosecution Service Inspectorate","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","London","Debt Management Office","HM Treasury","110","110","58680","51550"
"In post","2021","London","Defence Equipment and Support","Ministry of Defence","200","190","25910","21960"
"In post","2021","London","Defence Science and Technology Laboratory","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","London","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","4900","4800","49450","53380"
"In post","2021","London","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","1710","1680","49440","51730"
"In post","2021","London","Department for Education (excl. agencies)","Department for Education","2170","2090","50130","53420"
"In post","2021","London","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","2490","2410","45270","39830"
"In post","2021","London","Department for International Trade","Department for International Trade","2320","2290","45240","38950"
"In post","2021","London","Department for Transport (excl. agencies)","Department for Transport","3070","3000","48330","43800"
"In post","2021","London","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","10030","9390","33600","31060"
"In post","2021","London","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","2440","2390","48400","41890"
"In post","2021","London","Driver and Vehicle Standards Agency","Department for Transport","360","350","32170","30780"
"In post","2021","London","Education and Skills Funding Agency","Department for Education","310","300","50270","53420"
"In post","2021","London","FCDO Services","Foreign, Commonwealth and Development Office","170","160","47700","44410"
"In post","2021","London","Food Standards Agency","Food Standards Agency","470","460","42510","40350"
"In post","2021","London","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","4090","3990","49420","44880"
"In post","2021","London","Government Actuary's Department","Chancellor's other departments","200","190","64910","57250"
"In post","2021","London","Government Internal Audit Agency","HM Treasury","180","170","52670","51290"
"In post","2021","London","Government Legal Department","Attorney General's Departments","2440","2270","54510","52040"
"In post","2021","London","Government Property Agency","Other Cabinet Office Agencies","80","80","50750","54180"
"In post","2021","London","Health and Safety Executive","Department for Work and Pensions","150","150","49050","45610"
"In post","2021","London","HM Courts and Tribunals Service","Ministry of Justice","4450","4200","28770","23500"
"In post","2021","London","HM Land Registry","HM Land Registry","380","360","41430","37290"
"In post","2021","London","HM Prison and Probation Service","Ministry of Justice","6460","6260","35690","33260"
"In post","2021","London","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","8060","7660","43380","36240"
"In post","2021","London","HM Treasury (excl. agencies)","HM Treasury","1960","1920","47850","52500"
"In post","2021","London","Home Office (incl. agencies)","Home Office","13330","12600","39800","35070"
"In post","2021","London","Insolvency Service","Department for Business, Energy and Industrial Strategy","320","300","40670","38510"
"In post","2021","London","Institute for Apprenticeships and Technical Education","Department for Education","110","110","53820","53950"
"In post","2021","London","Legal Aid Agency","Ministry of Justice","170","170","44760","40530"
"In post","2021","London","Maritime and Coastguard Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","London","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","1000","970","49410","41770"
"In post","2021","London","Met Office","Department for Business, Energy and Industrial Strategy","40","40","[c]","[c]"
"In post","2021","London","Ministry of Defence (excl. agencies)","Ministry of Defence","3710","3630","42120","37940"
