"Status","Year","Organisation","Disability","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Government Property Agency","Declared non-disabled","Unknown","40","40","[c]","[c]"
"In post","2021","Government Property Agency","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Declared disabled","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Declared disabled","No function","280","250","40080","36040"
"In post","2021","Health and Safety Executive","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Declared disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Declared disabled","Security","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Declared non-disabled","Analysis","30","30","[c]","[c]"
"In post","2021","Health and Safety Executive","Declared non-disabled","Commercial","40","40","[c]","[c]"
"In post","2021","Health and Safety Executive","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Declared non-disabled","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Declared non-disabled","Digital, Data & Technology","50","40","[c]","[c]"
"In post","2021","Health and Safety Executive","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Declared non-disabled","Human Resources","60","60","41670","39390"
"In post","2021","Health and Safety Executive","Declared non-disabled","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Declared non-disabled","No function","1750","1650","44030","41480"
"In post","2021","Health and Safety Executive","Declared non-disabled","Project Delivery","40","30","[c]","[c]"
"In post","2021","Health and Safety Executive","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Declared non-disabled","Security","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Undeclared","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Undeclared","No function","150","140","46340","45870"
"In post","2021","Health and Safety Executive","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Unknown","No function","30","30","[c]","[c]"
"In post","2021","Health and Safety Executive","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","HM Courts and Tribunals Service","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","HM Courts and Tribunals Service","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","HM Courts and Tribunals Service","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","HM Courts and Tribunals Service","Declared disabled","Finance","30","30","[c]","[c]"
"In post","2021","HM Courts and Tribunals Service","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","HM Courts and Tribunals Service","Declared disabled","Legal","110","100","42880","43160"
"In post","2021","HM Courts and Tribunals Service","Declared disabled","No function","1860","1670","21880","20100"
"In post","2021","HM Courts and Tribunals Service","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","HM Courts and Tribunals Service","Declared disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","HM Courts and Tribunals Service","Declared non-disabled","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","HM Courts and Tribunals Service","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","HM Courts and Tribunals Service","Declared non-disabled","Digital, Data & Technology","140","140","37270","31920"
"In post","2021","HM Courts and Tribunals Service","Declared non-disabled","Finance","200","190","37240","33250"
"In post","2021","HM Courts and Tribunals Service","Declared non-disabled","Human Resources","70","70","38720","30990"
"In post","2021","HM Courts and Tribunals Service","Declared non-disabled","Legal","870","770","43580","43460"
"In post","2021","HM Courts and Tribunals Service","Declared non-disabled","No function","10070","8960","22560","20650"
"In post","2021","HM Courts and Tribunals Service","Declared non-disabled","Project Delivery","280","280","40870","36800"
"In post","2021","HM Courts and Tribunals Service","Declared non-disabled","Property","60","60","39130","30990"
"In post","2021","HM Courts and Tribunals Service","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","HM Courts and Tribunals Service","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","HM Courts and Tribunals Service","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","HM Courts and Tribunals Service","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","HM Courts and Tribunals Service","Undeclared","Legal","90","80","43930","43460"
"In post","2021","HM Courts and Tribunals Service","Undeclared","No function","1030","920","21960","20650"
"In post","2021","HM Courts and Tribunals Service","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","HM Courts and Tribunals Service","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2021","HM Courts and Tribunals Service","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","HM Courts and Tribunals Service","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","HM Courts and Tribunals Service","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","HM Courts and Tribunals Service","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","HM Courts and Tribunals Service","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","HM Courts and Tribunals Service","Unknown","Legal","120","120","30200","28600"
"In post","2021","HM Courts and Tribunals Service","Unknown","No function","1420","1370","20760","19930"
"In post","2021","HM Courts and Tribunals Service","Unknown","Project Delivery","50","50","38190","36800"
"In post","2021","HM Courts and Tribunals Service","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","Declared disabled","Digital, Data & Technology","40","40","[c]","[c]"
"In post","2021","HM Land Registry","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","Declared disabled","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","Declared disabled","No function","400","340","28410","27130"
"In post","2021","HM Land Registry","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","Declared disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","Declared non-disabled","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","Declared non-disabled","Digital, Data & Technology","370","340","40640","38450"
"In post","2021","HM Land Registry","Declared non-disabled","Finance","30","30","[c]","[c]"
"In post","2021","HM Land Registry","Declared non-disabled","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","Declared non-disabled","Human Resources","60","50","44810","40860"
"In post","2021","HM Land Registry","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","Declared non-disabled","Legal","150","130","51950","60520"
"In post","2021","HM Land Registry","Declared non-disabled","No function","2970","2590","30440","27130"
"In post","2021","HM Land Registry","Declared non-disabled","Project Delivery","60","60","46440","40860"
"In post","2021","HM Land Registry","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","Undeclared","Digital, Data & Technology","30","30","[c]","[c]"
"In post","2021","HM Land Registry","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","Undeclared","No function","180","160","30460","27130"
"In post","2021","HM Land Registry","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","Unknown","Digital, Data & Technology","230","230","34270","31740"
"In post","2021","HM Land Registry","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","Unknown","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","Unknown","Legal","80","70","49120","57000"
"In post","2021","HM Land Registry","Unknown","No function","1480","1420","23750","22350"
"In post","2021","HM Land Registry","Unknown","Project Delivery","70","70","36640","38550"
"In post","2021","HM Land Registry","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Declared disabled","Commercial","90","80","46550","46550"
"In post","2021","HM Prison and Probation Service","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Declared disabled","No function","5780","5420","30240","28440"
"In post","2021","HM Prison and Probation Service","Declared disabled","Security","60","60","35510","32690"
"In post","2021","HM Prison and Probation Service","Declared non-disabled","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Declared non-disabled","Commercial","480","470","49890","48410"
"In post","2021","HM Prison and Probation Service","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Declared non-disabled","Human Resources","90","80","47790","48720"
"In post","2021","HM Prison and Probation Service","Declared non-disabled","Internal Audit","50","50","47870","49130"
"In post","2021","HM Prison and Probation Service","Declared non-disabled","No function","34830","32950","30050","28200"
"In post","2021","HM Prison and Probation Service","Declared non-disabled","Security","430","420","39540","36480"
"In post","2021","HM Prison and Probation Service","Undeclared","Commercial","90","90","49860","48800"
"In post","2021","HM Prison and Probation Service","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Undeclared","No function","6950","6380","30880","31650"
"In post","2021","HM Prison and Probation Service","Undeclared","Security","130","130","42820","40190"
"In post","2021","HM Prison and Probation Service","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Unknown","No function","4920","4750","25920","24920"
"In post","2021","HM Prison and Probation Service","Unknown","Security","60","60","34470","31390"
"In post","2021","HM Revenue and Customs (excl. agencies)","Declared disabled","Analysis","60","60","43330","38630"
"In post","2021","HM Revenue and Customs (excl. agencies)","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","Declared disabled","Communications","270","250","28750","25560"
"In post","2021","HM Revenue and Customs (excl. agencies)","Declared disabled","Counter Fraud","760","700","32720","31810"
"In post","2021","HM Revenue and Customs (excl. agencies)","Declared disabled","Debt","380","320","23060","21440"
"In post","2021","HM Revenue and Customs (excl. agencies)","Declared disabled","Digital, Data & Technology","210","200","38620","35000"
"In post","2021","HM Revenue and Customs (excl. agencies)","Declared disabled","Finance","230","190","31350","25560"
"In post","2021","HM Revenue and Customs (excl. agencies)","Declared disabled","Human Resources","190","180","35210","31810"
"In post","2021","HM Revenue and Customs (excl. agencies)","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","Declared disabled","Legal","140","130","36790","31810"
"In post","2021","HM Revenue and Customs (excl. agencies)","Declared disabled","No function","2780","2450","28330","25560"
"In post","2021","HM Revenue and Customs (excl. agencies)","Declared disabled","Project Delivery","420","380","42800","38630"
"In post","2021","HM Revenue and Customs (excl. agencies)","Declared disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","Declared disabled","Security","[c]","[c]","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","Declared non-disabled","Analysis","430","410","45830","38630"
"In post","2021","HM Revenue and Customs (excl. agencies)","Declared non-disabled","Commercial","90","80","36940","35000"
"In post","2021","HM Revenue and Customs (excl. agencies)","Declared non-disabled","Communications","2180","2090","30110","25560"
"In post","2021","HM Revenue and Customs (excl. agencies)","Declared non-disabled","Counter Fraud","5410","5090","33770","31810"
"In post","2021","HM Revenue and Customs (excl. agencies)","Declared non-disabled","Debt","2300","2060","24140","21440"
"In post","2021","HM Revenue and Customs (excl. agencies)","Declared non-disabled","Digital, Data & Technology","1510","1450","39870","38630"
"In post","2021","HM Revenue and Customs (excl. agencies)","Declared non-disabled","Finance","1520","1370","33700","31640"
"In post","2021","HM Revenue and Customs (excl. agencies)","Declared non-disabled","Human Resources","1000","930","36470","31810"
"In post","2021","HM Revenue and Customs (excl. agencies)","Declared non-disabled","Internal Audit","60","60","44140","41640"
"In post","2021","HM Revenue and Customs (excl. agencies)","Declared non-disabled","Legal","710","670","41250","33510"
"In post","2021","HM Revenue and Customs (excl. agencies)","Declared non-disabled","No function","16790","15190","30060","25560"
"In post","2021","HM Revenue and Customs (excl. agencies)","Declared non-disabled","Project Delivery","2870","2730","44570","38630"
"In post","2021","HM Revenue and Customs (excl. agencies)","Declared non-disabled","Property","130","130","39870","38630"
"In post","2021","HM Revenue and Customs (excl. agencies)","Declared non-disabled","Security","100","100","40380","38630"
"In post","2021","HM Revenue and Customs (excl. agencies)","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","Undeclared","Communications","150","140","29340","25560"
"In post","2021","HM Revenue and Customs (excl. agencies)","Undeclared","Counter Fraud","580","540","35470","31810"
"In post","2021","HM Revenue and Customs (excl. agencies)","Undeclared","Debt","200","180","24190","21440"
"In post","2021","HM Revenue and Customs (excl. agencies)","Undeclared","Digital, Data & Technology","130","130","37670","34130"
"In post","2021","HM Revenue and Customs (excl. agencies)","Undeclared","Finance","130","120","33220","31810"
"In post","2021","HM Revenue and Customs (excl. agencies)","Undeclared","Human Resources","70","60","33760","31810"
"In post","2021","HM Revenue and Customs (excl. agencies)","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","Undeclared","Legal","60","60","40530","31980"
"In post","2021","HM Revenue and Customs (excl. agencies)","Undeclared","No function","1350","1230","31070","28130"
"In post","2021","HM Revenue and Customs (excl. agencies)","Undeclared","Project Delivery","230","210","43540","38630"
"In post","2021","HM Revenue and Customs (excl. agencies)","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","Unknown","Analysis","130","130","38920","36160"
"In post","2021","HM Revenue and Customs (excl. agencies)","Unknown","Commercial","40","40","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","Unknown","Communications","1560","1510","28080","25560"
"In post","2021","HM Revenue and Customs (excl. agencies)","Unknown","Counter Fraud","2090","1970","31060","29570"
"In post","2021","HM Revenue and Customs (excl. agencies)","Unknown","Debt","1770","1640","21840","20140"
"In post","2021","HM Revenue and Customs (excl. agencies)","Unknown","Digital, Data & Technology","840","820","38730","33060"
"In post","2021","HM Revenue and Customs (excl. agencies)","Unknown","Finance","560","500","30110","21440"
"In post","2021","HM Revenue and Customs (excl. agencies)","Unknown","Human Resources","320","300","32410","29570"
"In post","2021","HM Revenue and Customs (excl. agencies)","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","Unknown","Legal","370","340","39620","31810"
"In post","2021","HM Revenue and Customs (excl. agencies)","Unknown","No function","10600","9530","25550","21440"
"In post","2021","HM Revenue and Customs (excl. agencies)","Unknown","Project Delivery","970","910","42030","38630"
"In post","2021","HM Revenue and Customs (excl. agencies)","Unknown","Property","80","70","38230","37390"
"In post","2021","HM Revenue and Customs (excl. agencies)","Unknown","Security","50","50","[c]","[c]"
"In post","2021","HM Treasury (excl. agencies)","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury (excl. agencies)","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury (excl. agencies)","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury (excl. agencies)","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury (excl. agencies)","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury (excl. agencies)","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury (excl. agencies)","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury (excl. agencies)","Declared disabled","No function","150","140","45680","42390"
"In post","2021","HM Treasury (excl. agencies)","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury (excl. agencies)","Declared disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury (excl. agencies)","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury (excl. agencies)","Declared non-disabled","Analysis","90","80","53020","55530"
"In post","2021","HM Treasury (excl. agencies)","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury (excl. agencies)","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury (excl. agencies)","Declared non-disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury (excl. agencies)","Declared non-disabled","Finance","70","70","48690","52530"
"In post","2021","HM Treasury (excl. agencies)","Declared non-disabled","Human Resources","70","60","43680","50420"
"In post","2021","HM Treasury (excl. agencies)","Declared non-disabled","Legal","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury (excl. agencies)","Declared non-disabled","No function","1130","1100","48340","52500"
"In post","2021","HM Treasury (excl. agencies)","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury (excl. agencies)","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury (excl. agencies)","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury (excl. agencies)","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury (excl. agencies)","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury (excl. agencies)","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury (excl. agencies)","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury (excl. agencies)","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury (excl. agencies)","Undeclared","No function","270","270","43900","35960"
"In post","2021","HM Treasury (excl. agencies)","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury (excl. agencies)","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury (excl. agencies)","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury (excl. agencies)","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury (excl. agencies)","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury (excl. agencies)","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury (excl. agencies)","Unknown","No function","40","40","[c]","[c]"
"In post","2021","HM Treasury (excl. agencies)","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Home Office (incl. agencies)","Declared disabled","Unknown","3060","2810","31320","27370"
"In post","2021","Home Office (incl. agencies)","Declared non-disabled","Unknown","28490","26420","32000","27370"
"In post","2021","Home Office (incl. agencies)","Undeclared","Unknown","1810","1680","32620","28930"
"In post","2021","Home Office (incl. agencies)","Unknown","Unknown","2010","1970","32040","25770"
"In post","2021","Insolvency Service","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Insolvency Service","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Insolvency Service","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Insolvency Service","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Insolvency Service","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Insolvency Service","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Insolvency Service","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Insolvency Service","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Insolvency Service","Declared disabled","No function","140","130","30670","26290"
"In post","2021","Insolvency Service","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Insolvency Service","Declared non-disabled","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Insolvency Service","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Insolvency Service","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Insolvency Service","Declared non-disabled","Counter Fraud","180","170","40510","39490"
"In post","2021","Insolvency Service","Declared non-disabled","Digital, Data & Technology","30","30","[c]","[c]"
"In post","2021","Insolvency Service","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Insolvency Service","Declared non-disabled","Human Resources","30","30","[c]","[c]"
"In post","2021","Insolvency Service","Declared non-disabled","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Insolvency Service","Declared non-disabled","No function","730","680","30890","26290"
"In post","2021","Insolvency Service","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Insolvency Service","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Insolvency Service","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Insolvency Service","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Insolvency Service","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Insolvency Service","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Insolvency Service","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Insolvency Service","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Insolvency Service","Undeclared","No function","[c]","[c]","[c]","[c]"
"In post","2021","Insolvency Service","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Insolvency Service","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Insolvency Service","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Insolvency Service","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Insolvency Service","Unknown","Counter Fraud","50","50","34590","34390"
"In post","2021","Insolvency Service","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Insolvency Service","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Insolvency Service","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Insolvency Service","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Insolvency Service","Unknown","No function","390","390","24440","20880"
"In post","2021","Insolvency Service","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Institute for Apprenticeships and Technical Education","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Institute for Apprenticeships and Technical Education","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Institute for Apprenticeships and Technical Education","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Institute for Apprenticeships and Technical Education","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Institute for Apprenticeships and Technical Education","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Institute for Apprenticeships and Technical Education","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
