"Status","Year","Profession_of_post","Sexual_orientation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Heterosexual / straight","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","40","40","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Department for Education","290","280","40890","37100"
"In post","2021","Commercial","Heterosexual / straight","Department for Environment, Food and Rural Affairs","120","110","38190","36970"
"In post","2021","Commercial","Heterosexual / straight","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Department for Transport","190","190","40710","34710"
"In post","2021","Commercial","Heterosexual / straight","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Department of Health and Social Care","90","90","46130","40650"
"In post","2021","Commercial","Heterosexual / straight","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Foreign, Commonwealth and Development Office","120","120","44570","40850"
"In post","2021","Commercial","Heterosexual / straight","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","HM Revenue and Customs","40","30","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Home Office","80","70","41010","42100"
"In post","2021","Commercial","Heterosexual / straight","Ministry of Defence","1590","1530","38020","34800"
"In post","2021","Commercial","Heterosexual / straight","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Ministry of Justice","720","700","46910","44760"
"In post","2021","Commercial","Heterosexual / straight","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Other Cabinet Office Agencies","250","250","34890","34800"
"In post","2021","Commercial","Heterosexual / straight","Scottish Government","40","40","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","The National Archives","[c]","[c]","[c]","[c]"
