"Status","Year","Region_ITL1","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Female","Heterosexual / straight","8070","7240","29010","27130"
"In post","2021","East Midlands (England)","Female","LGBO","440","420","29140","27570"
"In post","2021","East Midlands (England)","Female","Undeclared","1120","990","28720","27130"
"In post","2021","East Midlands (England)","Female","Unknown","2390","2100","27480","25780"
"In post","2021","East Midlands (England)","Male","Heterosexual / straight","6070","5880","31200","27570"
"In post","2021","East Midlands (England)","Male","LGBO","350","340","29750","27570"
"In post","2021","East Midlands (England)","Male","Undeclared","900","850","31800","28170"
"In post","2021","East Midlands (England)","Male","Unknown","2040","1950","28740","27130"
"In post","2021","East of England","Female","Heterosexual / straight","8520","7710","29650","27570"
"In post","2021","East of England","Female","LGBO","410","390","29020","27570"
"In post","2021","East of England","Female","Undeclared","1100","980","29620","27570"
"In post","2021","East of England","Female","Unknown","2140","1870","29810","27570"
"In post","2021","East of England","Male","Heterosexual / straight","7100","6850","32230","29290"
"In post","2021","East of England","Male","LGBO","330","320","29920","27570"
"In post","2021","East of England","Male","Undeclared","1090","1040","32640","31000"
"In post","2021","East of England","Male","Unknown","1890","1810","31490","29290"
"In post","2021","London","Female","Heterosexual / straight","36890","34860","42260","36360"
"In post","2021","London","Female","LGBO","2130","2080","42250","36650"
"In post","2021","London","Female","Undeclared","4650","4350","40830","35200"
"In post","2021","London","Female","Unknown","11590","10900","41280","34550"
"In post","2021","London","Male","Heterosexual / straight","29410","28870","45100","39600"
"In post","2021","London","Male","LGBO","2970","2930","46700","41950"
"In post","2021","London","Male","Undeclared","4380","4260","45120","40220"
"In post","2021","London","Male","Unknown","9890","9720","44320","37230"
"In post","2021","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","London","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Female","Heterosexual / straight","11860","10290","27940","25560"
"In post","2021","North East (England)","Female","LGBO","510","480","27790","25560"
"In post","2021","North East (England)","Female","Undeclared","1170","990","27330","24880"
"In post","2021","North East (England)","Female","Unknown","4520","3760","25210","21440"
"In post","2021","North East (England)","Male","Heterosexual / straight","7770","7440","30110","27570"
"In post","2021","North East (England)","Male","LGBO","490","480","28850","26810"
"In post","2021","North East (England)","Male","Undeclared","990","940","30310","27570"
"In post","2021","North East (England)","Male","Unknown","3310","3130","28190","25560"
"In post","2021","North West (England)","Female","Heterosexual / straight","23050","20690","29180","27370"
"In post","2021","North West (England)","Female","LGBO","1090","1040","28910","26550"
"In post","2021","North West (England)","Female","Undeclared","2520","2210","28600","27130"
"In post","2021","North West (England)","Female","Unknown","7470","6480","26900","25430"
"In post","2021","North West (England)","Male","Heterosexual / straight","15930","15400","31120","27570"
"In post","2021","North West (England)","Male","LGBO","1200","1170","29940","27570"
"In post","2021","North West (England)","Male","Undeclared","2100","2000","31240","27570"
"In post","2021","North West (England)","Male","Unknown","5990","5730","29220","27130"
"In post","2021","Northern Ireland","Female","Heterosexual / straight","1220","1110","29200","25560"
"In post","2021","Northern Ireland","Female","LGBO","50","40","[c]","[c]"
"In post","2021","Northern Ireland","Female","Undeclared","90","80","27940","25560"
"In post","2021","Northern Ireland","Female","Unknown","400","360","26260","21730"
"In post","2021","Northern Ireland","Male","Heterosexual / straight","1400","1360","28070","25040"
"In post","2021","Northern Ireland","Male","LGBO","50","50","25860","22330"
"In post","2021","Northern Ireland","Male","Undeclared","140","140","28250","25560"
"In post","2021","Northern Ireland","Male","Unknown","470","460","26320","23870"
"In post","2021","Overseas","Female","Heterosexual / straight","950","940","49570","50940"
"In post","2021","Overseas","Female","LGBO","50","50","47100","41460"
"In post","2021","Overseas","Female","Undeclared","140","140","45590","40330"
"In post","2021","Overseas","Female","Unknown","360","360","49730","46620"
"In post","2021","Overseas","Male","Heterosexual / straight","1550","1550","50130","49640"
"In post","2021","Overseas","Male","LGBO","120","120","53650","54040"
"In post","2021","Overseas","Male","Undeclared","230","230","48910","42110"
"In post","2021","Overseas","Male","Unknown","360","360","52180","52430"
"In post","2021","Scotland","Female","Heterosexual / straight","15510","14030","32150","27570"
"In post","2021","Scotland","Female","LGBO","770","740","31780","27570"
"In post","2021","Scotland","Female","Undeclared","2640","2330","28950","26480"
"In post","2021","Scotland","Female","Unknown","6740","6000","29820","26120"
