"Status","Year","Disability","Region_ITL3","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","Scotland","130","130","33610","27570"
"In post","2021","Declared disabled","Angus and Dundee City","Scotland","260","240","24050","21010"
"In post","2021","Declared disabled","Antrim and Newtownabbey","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ards and North Down","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Armagh City, Banbridge and Craigavon","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barking & Dagenham and Havering","London","110","90","30690","31060"
"In post","2021","Declared disabled","Barnet","London","120","120","35020","31060"
"In post","2021","Declared disabled","Barnsley, Doncaster and Rotherham","Yorkshire and The Humber","420","360","26890","27380"
"In post","2021","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","South West (England)","1350","1290","36550","33370"
"In post","2021","Declared disabled","Bedford","East of England","110","100","30210","28200"
"In post","2021","Declared disabled","Belfast","Northern Ireland","240","220","28350","25560"
"In post","2021","Declared disabled","Berkshire","South East (England)","330","310","33310","30890"
"In post","2021","Declared disabled","Bexley and Greenwich","London","180","170","30780","31060"
"In post","2021","Declared disabled","Birmingham","West Midlands (England)","1280","1160","29350","27570"
"In post","2021","Declared disabled","Blackburn with Darwen","North West (England)","70","60","27350","27570"
"In post","2021","Declared disabled","Blackpool","North West (England)","770","680","27480","27570"
"In post","2021","Declared disabled","Bournemouth and Poole","South West (England)","120","110","26060","27570"
"In post","2021","Declared disabled","Bradford","Yorkshire and The Humber","340","280","26100","25560"
"In post","2021","Declared disabled","Breckland and South Norfolk","East of England","50","50","27970","27570"
"In post","2021","Declared disabled","Brent","London","60","60","31360","31060"
"In post","2021","Declared disabled","Bridgend and Neath Port Talbot","Wales","110","100","26500","27570"
"In post","2021","Declared disabled","Brighton and Hove","South East (England)","100","90","28460","27570"
"In post","2021","Declared disabled","Bristol, City of","South West (England)","670","610","32550","27570"
"In post","2021","Declared disabled","Bromley","London","70","60","31360","31060"
"In post","2021","Declared disabled","Buckinghamshire CC","South East (England)","190","180","30340","28200"
"In post","2021","Declared disabled","Caithness and Sutherland and Ross and Cromarty","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Calderdale and Kirklees","Yorkshire and The Humber","190","160","26690","27570"
"In post","2021","Declared disabled","Cambridgeshire CC","East of England","350","330","32890","31220"
"In post","2021","Declared disabled","Camden and City of London","London","290","280","35160","30850"
"In post","2021","Declared disabled","Cardiff and Vale of Glamorgan","Wales","1080","990","31610","27570"
"In post","2021","Declared disabled","Causeway Coast and Glens","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Central Bedfordshire","East of England","40","40","[c]","[c]"
"In post","2021","Declared disabled","Central Hampshire","South East (England)","440","420","34270","33300"
"In post","2021","Declared disabled","Central Valleys","Wales","180","160","28700","27570"
"In post","2021","Declared disabled","Cheshire East","North West (England)","90","90","30400","27570"
"In post","2021","Declared disabled","Cheshire West and Chester","North West (England)","80","70","26000","27570"
"In post","2021","Declared disabled","Chorley and West Lancashire","North West (England)","120","110","28640","27470"
"In post","2021","Declared disabled","City of Edinburgh","Scotland","1100","1040","36250","31810"
"In post","2021","Declared disabled","Clackmannanshire and Fife","Scotland","170","160","30170","27570"
"In post","2021","Declared disabled","Conwy and Denbighshire","Wales","70","70","32240","27570"
"In post","2021","Declared disabled","Cornwall and Isles of Scilly","South West (England)","210","190","26460","27570"
"In post","2021","Declared disabled","Coventry","West Midlands (England)","240","220","33700","29730"
"In post","2021","Declared disabled","Croydon","London","940","870","36830","32520"
"In post","2021","Declared disabled","Darlington","North East (England)","100","100","34030","30200"
"In post","2021","Declared disabled","Derby","East Midlands (England)","150","130","24950","21010"
"In post","2021","Declared disabled","Derry City and Strabane","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Devon CC","South West (England)","580","510","29000","27570"
"In post","2021","Declared disabled","Dorset CC","South West (England)","240","220","29260","27570"
"In post","2021","Declared disabled","Dudley","West Midlands (England)","170","140","25140","25630"
"In post","2021","Declared disabled","Dumfries and Galloway","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Durham CC","North East (England)","550","480","26620","25310"
"In post","2021","Declared disabled","Ealing","London","80","80","31600","31060"
"In post","2021","Declared disabled","East Ayrshire and North Ayrshire mainland","Scotland","80","70","25200","27150"
"In post","2021","Declared disabled","East Cumbria","North West (England)","100","90","28030","25930"
"In post","2021","Declared disabled","East Derbyshire","East Midlands (England)","100","90","26580","27570"
"In post","2021","Declared disabled","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","Scotland","170","150","29480","27570"
"In post","2021","Declared disabled","East Kent","South East (England)","450","410","28380","27370"
"In post","2021","Declared disabled","East Lancashire","North West (England)","90","80","25780","27570"
"In post","2021","Declared disabled","East Lothian and Midlothian","Scotland","[c]","[c]","[c]","[c]"
