"Status","Year","Region_ITL2","Disability","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","Declared disabled","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Declared disabled","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Declared disabled","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Declared disabled","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Declared disabled","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Declared disabled","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Declared disabled","Department for Work and Pensions","200","190","29370","29290"
"In post","2021","Bedfordshire and Hertfordshire","Declared disabled","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Declared disabled","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Declared disabled","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Declared disabled","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Declared disabled","Ministry of Defence","80","80","37860","36650"
"In post","2021","Bedfordshire and Hertfordshire","Declared disabled","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Declared disabled","Ministry of Justice","160","140","27690","25380"
"In post","2021","Bedfordshire and Hertfordshire","Declared disabled","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Declared non-disabled","Attorney General's Departments","130","110","43930","40800"
"In post","2021","Bedfordshire and Hertfordshire","Declared non-disabled","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Declared non-disabled","Department for Business, Energy and Industrial Strategy","40","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Declared non-disabled","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Declared non-disabled","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Declared non-disabled","Department for Transport","90","90","30410","30580"
"In post","2021","Bedfordshire and Hertfordshire","Declared non-disabled","Department for Work and Pensions","890","800","29550","29290"
"In post","2021","Bedfordshire and Hertfordshire","Declared non-disabled","Department of Health and Social Care","120","120","48510","43950"
