"Status","Year","Region_ITL2","Sexual_orientation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","Heterosexual / straight","Attorney General's Departments","130","120","41700","40000"
"In post","2021","Bedfordshire and Hertfordshire","Heterosexual / straight","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Heterosexual / straight","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Heterosexual / straight","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Heterosexual / straight","Department for Transport","80","70","30080","29460"
"In post","2021","Bedfordshire and Hertfordshire","Heterosexual / straight","Department for Work and Pensions","790","730","29500","29290"
"In post","2021","Bedfordshire and Hertfordshire","Heterosexual / straight","Department of Health and Social Care","200","190","44480","40450"
"In post","2021","Bedfordshire and Hertfordshire","Heterosexual / straight","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Heterosexual / straight","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Heterosexual / straight","Home Office","230","200","28770","26410"
"In post","2021","Bedfordshire and Hertfordshire","Heterosexual / straight","Ministry of Defence","630","620","36060","33370"
"In post","2021","Bedfordshire and Hertfordshire","Heterosexual / straight","Ministry of Housing, Communities and Local Government","40","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Heterosexual / straight","Ministry of Justice","960","900","28730","27850"
"In post","2021","Bedfordshire and Hertfordshire","Heterosexual / straight","National Crime Agency","80","80","39140","39700"
"In post","2021","Bedfordshire and Hertfordshire","LGBO","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","LGBO","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","LGBO","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","LGBO","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","LGBO","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","LGBO","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","LGBO","Department for Work and Pensions","40","40","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","LGBO","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","LGBO","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","LGBO","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","LGBO","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","LGBO","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","LGBO","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","LGBO","Ministry of Justice","70","70","28680","28630"
"In post","2021","Bedfordshire and Hertfordshire","LGBO","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","Department for Work and Pensions","100","90","30570","29290"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","Department of Health and Social Care","40","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","Home Office","30","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","Ministry of Defence","90","90","36390","35370"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","Ministry of Justice","100","100","28410","27970"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Attorney General's Departments","30","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Department for Work and Pensions","250","210","29420","29290"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Department of Health and Social Care","100","90","44810","41130"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Ministry of Defence","60","60","34860","36630"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Ministry of Justice","200","190","26460","24670"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Heterosexual / straight","Attorney General's Departments","90","90","42390","38120"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Heterosexual / straight","Cabinet Office","60","60","33370","33300"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Heterosexual / straight","Department for Environment, Food and Rural Affairs","240","240","37830","35900"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Heterosexual / straight","Department for International Trade","90","90","46080","51970"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Heterosexual / straight","Department for Transport","50","50","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Heterosexual / straight","Department for Work and Pensions","790","730","28230","27570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Heterosexual / straight","Department of Health and Social Care","230","200","42240","38200"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Heterosexual / straight","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Heterosexual / straight","Foreign, Commonwealth and Development Office","840","810","36750","31390"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Heterosexual / straight","HM Revenue and Customs","270","250","32690","31810"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Heterosexual / straight","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Heterosexual / straight","Home Office","70","70","28610","25630"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Heterosexual / straight","Ministry of Defence","2080","2030","32630","28750"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Heterosexual / straight","Ministry of Justice","1730","1640","30240","30400"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Heterosexual / straight","National Crime Agency","70","70","39380","37960"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","LGBO","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","LGBO","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","LGBO","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","LGBO","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","LGBO","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","LGBO","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","LGBO","Department for Work and Pensions","40","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","LGBO","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","LGBO","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","LGBO","Foreign, Commonwealth and Development Office","40","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","LGBO","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","LGBO","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","LGBO","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","LGBO","Ministry of Defence","80","80","31170","28010"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","LGBO","Ministry of Justice","150","140","29530","30400"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","LGBO","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","Department for Work and Pensions","100","90","28050","28550"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","Department of Health and Social Care","30","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","Foreign, Commonwealth and Development Office","80","80","38270","34770"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","HM Revenue and Customs","50","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","Ministry of Defence","320","310","33540","33300"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","Ministry of Justice","250","230","30920","30400"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Attorney General's Departments","40","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Cabinet Office","50","50","38540","33300"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Department for Business, Energy and Industrial Strategy","60","60","39120","38130"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Department for Environment, Food and Rural Affairs","120","110","31780","29180"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Department for Work and Pensions","220","190","28500","27570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Department of Health and Social Care","100","100","49310","47090"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Foreign, Commonwealth and Development Office","90","90","39810","40330"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","HM Revenue and Customs","160","150","29820","25630"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Ministry of Defence","320","310","33030","28750"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Ministry of Justice","490","460","29320","29920"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","National Crime Agency","30","30","[c]","[c]"
"In post","2021","Cheshire","Heterosexual / straight","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Heterosexual / straight","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Heterosexual / straight","Department for Environment, Food and Rural Affairs","190","190","38530","36520"
"In post","2021","Cheshire","Heterosexual / straight","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Heterosexual / straight","Department for Work and Pensions","670","610","25970","27570"
"In post","2021","Cheshire","Heterosexual / straight","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Heterosexual / straight","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Heterosexual / straight","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Heterosexual / straight","Ministry of Defence","50","50","28910","27720"
"In post","2021","Cheshire","Heterosexual / straight","Ministry of Housing, Communities and Local Government","50","50","38190","34690"
"In post","2021","Cheshire","Heterosexual / straight","Ministry of Justice","770","720","29280","26320"
"In post","2021","Cheshire","Heterosexual / straight","National Crime Agency","930","910","36210","36050"
"In post","2021","Cheshire","LGBO","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","LGBO","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","LGBO","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
