"Status","Year","Sex","Region_ITL1","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","East Midlands (England)","AA/AO","4480","3880","21280","21010"
"In post","2021","Female","East Midlands (England)","EO","3500","3120","26800","27570"
"In post","2021","Female","East Midlands (England)","G6/G7","710","660","56460","53170"
"In post","2021","Female","East Midlands (England)","SCS","50","40","[c]","[c]"
"In post","2021","Female","East Midlands (England)","SEO/HEO","2510","2340","35460","33840"
"In post","2021","Female","East Midlands (England)","Unknown","780","700","29210","28200"
"In post","2021","Female","East of England","AA/AO","4170","3660","22370","21430"
"In post","2021","Female","East of England","EO","4040","3610","27950","27570"
"In post","2021","Female","East of England","G6/G7","650","610","58270","54770"
"In post","2021","Female","East of England","SCS","50","50","[c]","[c]"
"In post","2021","Female","East of England","SEO/HEO","2460","2290","36290","35120"
"In post","2021","Female","East of England","Unknown","810","730","28320","28200"
"In post","2021","Female","London","AA/AO","7180","6450","24840","24590"
"In post","2021","Female","London","EO","12670","11830","29880","30110"
"In post","2021","Female","London","G6/G7","13990","13270","59940","58010"
"In post","2021","Female","London","SCS","2260","2130","88420","80000"
"In post","2021","Female","London","SEO/HEO","17960","17370","37940","36980"
"In post","2021","Female","London","Unknown","1200","1150","33580","32090"
"In post","2021","Female","North East (England)","AA/AO","8400","6780","21100","21010"
"In post","2021","Female","North East (England)","EO","4750","4170","26750","27570"
"In post","2021","Female","North East (England)","G6/G7","960","910","54290","52580"
"In post","2021","Female","North East (England)","SCS","50","50","83740","76430"
"In post","2021","Female","North East (England)","SEO/HEO","3340","3100","34320","32200"
"In post","2021","Female","North East (England)","Unknown","540","500","29010","28200"
"In post","2021","Female","North West (England)","AA/AO","12440","10550","21110","21010"
"In post","2021","Female","North West (England)","EO","10860","9690","26780","27570"
"In post","2021","Female","North West (England)","G6/G7","2290","2180","55500","52580"
"In post","2021","Female","North West (England)","SCS","140","130","84920","77560"
"In post","2021","Female","North West (England)","SEO/HEO","6950","6520","34820","33300"
"In post","2021","Female","North West (England)","Unknown","1460","1350","29570","30210"
"In post","2021","Female","Northern Ireland","AA/AO","700","610","20930","21400"
"In post","2021","Female","Northern Ireland","EO","500","450","26610","25560"
"In post","2021","Female","Northern Ireland","G6/G7","110","110","55590","52580"
"In post","2021","Female","Northern Ireland","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Female","Northern Ireland","SEO/HEO","440","420","34640","31940"
"In post","2021","Female","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Overseas","EO","130","120","27990","27160"
"In post","2021","Female","Overseas","G6/G7","550","550","59480","58030"
"In post","2021","Female","Overseas","SCS","110","110","84260","75880"
"In post","2021","Female","Overseas","SEO/HEO","580","580","38720","36960"
"In post","2021","Female","Overseas","Unknown","100","100","[c]","[c]"
"In post","2021","Female","Scotland","AA/AO","9450","8140","21510","21010"
"In post","2021","Female","Scotland","EO","7360","6620","27680","27570"
"In post","2021","Female","Scotland","G6/G7","2450","2310","60440","61010"
"In post","2021","Female","Scotland","SCS","150","140","88410","83230"
"In post","2021","Female","Scotland","SEO/HEO","6200","5830","37230","35110"
"In post","2021","Female","Scotland","Unknown","40","40","[c]","[c]"
"In post","2021","Female","South East (England)","AA/AO","7120","6190","22660","21430"
"In post","2021","Female","South East (England)","EO","6880","6200","27730","27570"
"In post","2021","Female","South East (England)","G6/G7","1380","1290","56990","54540"
"In post","2021","Female","South East (England)","SCS","100","90","89790","87940"
"In post","2021","Female","South East (England)","SEO/HEO","4730","4460","35990","35000"
"In post","2021","Female","South East (England)","Unknown","1100","990","29750","30210"
"In post","2021","Female","South West (England)","AA/AO","5070","4420","21370","21010"
"In post","2021","Female","South West (England)","EO","5680","5030","26350","27130"
"In post","2021","Female","South West (England)","G6/G7","2330","2180","55270","53940"
"In post","2021","Female","South West (England)","SCS","130","120","92260","87430"
"In post","2021","Female","South West (England)","SEO/HEO","7020","6510","35400","34130"
"In post","2021","Female","South West (England)","Unknown","1200","1090","32980","31420"
"In post","2021","Female","Unknown","AA/AO","160","140","22450","21010"
"In post","2021","Female","Unknown","EO","360","330","28060","27570"
"In post","2021","Female","Unknown","G6/G7","110","100","56820","54700"
"In post","2021","Female","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","SEO/HEO","400","390","33560","32000"
"In post","2021","Female","Unknown","Unknown","170","170","33050","32700"
"In post","2021","Female","Wales","AA/AO","7920","6630","20970","21050"
"In post","2021","Female","Wales","EO","5430","4880","26800","27570"
"In post","2021","Female","Wales","G6/G7","1490","1410","57950","56950"
"In post","2021","Female","Wales","SCS","120","120","84940","79180"
"In post","2021","Female","Wales","SEO/HEO","4840","4530","36550","37020"
"In post","2021","Female","Wales","Unknown","860","800","29420","28200"
"In post","2021","Female","West Midlands (England)","AA/AO","5990","5180","21140","21000"
"In post","2021","Female","West Midlands (England)","EO","5470","4850","26840","27570"
"In post","2021","Female","West Midlands (England)","G6/G7","1210","1150","56160","52580"
"In post","2021","Female","West Midlands (England)","SCS","110","100","94240","86990"
"In post","2021","Female","West Midlands (England)","SEO/HEO","3690","3470","35530","33840"
"In post","2021","Female","West Midlands (England)","Unknown","1040","940","29090","28200"
"In post","2021","Female","Yorkshire and The Humber","AA/AO","6240","5300","21540","21010"
"In post","2021","Female","Yorkshire and The Humber","EO","5830","5130","26850","27570"
"In post","2021","Female","Yorkshire and The Humber","G6/G7","1970","1850","55770","52580"
"In post","2021","Female","Yorkshire and The Humber","SCS","130","120","84480","76850"
"In post","2021","Female","Yorkshire and The Humber","SEO/HEO","4850","4520","34790","33320"
"In post","2021","Female","Yorkshire and The Humber","Unknown","1040","930","29640","28200"
"In post","2021","Male","East Midlands (England)","AA/AO","3520","3380","23070","21130"
"In post","2021","Male","East Midlands (England)","EO","2620","2530","27370","27570"
"In post","2021","Male","East Midlands (England)","G6/G7","710","690","58520","53480"
"In post","2021","Male","East Midlands (England)","SCS","40","40","[c]","[c]"
"In post","2021","Male","East Midlands (England)","SEO/HEO","2240","2170","36300","34400"
"In post","2021","Male","East Midlands (England)","Unknown","220","210","32340","32220"
"In post","2021","Male","East of England","AA/AO","3660","3530","25020","22850"
"In post","2021","Male","East of England","EO","3140","2990","28600","27570"
"In post","2021","Male","East of England","G6/G7","690","670","59700","56020"
"In post","2021","Male","East of England","SCS","80","70","94530","92370"
"In post","2021","Male","East of England","SEO/HEO","2640","2550","37160","35640"
"In post","2021","Male","East of England","Unknown","220","210","30060","28200"
"In post","2021","Male","London","AA/AO","5530","5370","26470","25110"
"In post","2021","Male","London","EO","8630","8370","30140","30110"
"In post","2021","Male","London","G6/G7","13650","13440","61110","59160"
"In post","2021","Male","London","SCS","2430","2390","93270","83880"
"In post","2021","Male","London","SEO/HEO","15960","15770","38730","38020"
"In post","2021","Male","London","Unknown","450","440","34530","33950"
"In post","2021","Male","North East (England)","AA/AO","5280","4950","22080","21010"
"In post","2021","Male","North East (England)","EO","3150","3010","26910","27350"
"In post","2021","Male","North East (England)","G6/G7","1080","1070","55240","52580"
"In post","2021","Male","North East (England)","SCS","60","60","89830","83820"
"In post","2021","Male","North East (England)","SEO/HEO","2810","2730","35320","33840"
"In post","2021","Male","North East (England)","Unknown","170","160","30570","30210"
"In post","2021","Male","North West (England)","AA/AO","8680","8250","22130","21010"
"In post","2021","Male","North West (England)","EO","7520","7260","27070","27570"
"In post","2021","Male","North West (England)","G6/G7","2280","2230","57170","53430"
"In post","2021","Male","North West (England)","SCS","150","150","89260","81860"
"In post","2021","Male","North West (England)","SEO/HEO","6030","5870","35560","33840"
"In post","2021","Male","North West (England)","Unknown","570","540","33310","32690"
"In post","2021","Male","Northern Ireland","AA/AO","990","950","20660","20310"
"In post","2021","Male","Northern Ireland","EO","480","470","26510","25560"
