"Status","Year","Ethnicity","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","AA/AO","8000","7040","22230","21090"
"In post","2021","Asian","EO","9810","9160","28250","27570"
"In post","2021","Asian","G6/G7","3000","2920","58570","57300"
"In post","2021","Asian","SCS","310","300","92820","89810"
"In post","2021","Asian","SEO/HEO","7410","7190","36930","36160"
"In post","2021","Asian","Unknown","620","570","29950","28200"
"In post","2021","Black","AA/AO","4090","3810","24160","23500"
"In post","2021","Black","EO","5420","5190","29180","29290"
"In post","2021","Black","G6/G7","1270","1250","58040","56470"
"In post","2021","Black","SCS","100","90","95180","86810"
"In post","2021","Black","SEO/HEO","3900","3830","37340","36360"
"In post","2021","Black","Unknown","820","790","31230","28200"
"In post","2021","Chinese","AA/AO","270","240","22130","21110"
"In post","2021","Chinese","EO","300","290","27810","27570"
"In post","2021","Chinese","G6/G7","250","250","58320","56120"
"In post","2021","Chinese","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","SEO/HEO","400","390","37540","36760"
"In post","2021","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","AA/AO","1920","1770","23090","21430"
"In post","2021","Mixed","EO","2210","2090","28110","27570"
"In post","2021","Mixed","G6/G7","1300","1250","58250","56350"
"In post","2021","Mixed","SCS","140","140","84040","79390"
"In post","2021","Mixed","SEO/HEO","2300","2250","36800","36160"
"In post","2021","Mixed","Unknown","390","360","30990","30210"
"In post","2021","Other ethnicity","AA/AO","570","520","23480","21590"
"In post","2021","Other ethnicity","EO","730","700","28460","27660"
"In post","2021","Other ethnicity","G6/G7","450","420","59780","57460"
"In post","2021","Other ethnicity","SCS","60","60","88330","83980"
"In post","2021","Other ethnicity","SEO/HEO","710","690","38030","37000"
"In post","2021","Other ethnicity","Unknown","70","70","31030","31910"
"In post","2021","Undeclared","AA/AO","5020","4500","22570","21130"
"In post","2021","Undeclared","EO","5870","5380","28280","27570"
"In post","2021","Undeclared","G6/G7","2840","2750","58650","57110"
"In post","2021","Undeclared","SCS","190","180","90060","82440"
"In post","2021","Undeclared","SEO/HEO","6100","5850","37370","36760"
"In post","2021","Undeclared","Unknown","540","520","35290","33740"
"In post","2021","Unknown","AA/AO","23680","21880","22180","21010"
"In post","2021","Unknown","EO","14740","14070","27600","27570"
"In post","2021","Unknown","G6/G7","7940","7690","58720","56240"
"In post","2021","Unknown","SCS","1160","1130","90790","79930"
"In post","2021","Unknown","SEO/HEO","16460","15980","35690","34640"
"In post","2021","Unknown","Unknown","3110","2990","34050","32690"
"In post","2021","White","AA/AO","97110","86840","22460","21010"
"In post","2021","White","EO","89810","82580","27580","27570"
"In post","2021","White","G6/G7","45380","43640","58870","57140"
"In post","2021","White","SCS","5320","5140","90470","82530"
"In post","2021","White","SEO/HEO","91770","87780","36900","36140"
"In post","2021","White","Unknown","11010","10280","32070","30680"
"In post","2022","Asian","AA/AO","8510","7520","22660","21260"
"In post","2022","Asian","EO","10820","10140","28350","27570"
"In post","2022","Asian","G6/G7","3830","3730","58840","57290"
"In post","2022","Asian","SCS","330","320","91540","85000"
"In post","2022","Asian","SEO/HEO","9320","9080","37310","36620"
"In post","2022","Asian","Unknown","840","790","29920","28200"
"In post","2022","Black","AA/AO","4150","3850","24560","23770"
"In post","2022","Black","EO","5660","5420","29270","29290"
"In post","2022","Black","G6/G7","1480","1460","58030","55760"
"In post","2022","Black","SCS","100","100","93280","82610"
"In post","2022","Black","SEO/HEO","4500","4420","37710","37220"
"In post","2022","Black","Unknown","1200","1150","31600","28690"
"In post","2022","Mixed","AA/AO","2010","1860","23540","21680"
"In post","2022","Mixed","EO","2320","2200","28270","27570"
"In post","2022","Mixed","G6/G7","1480","1430","58500","56780"
"In post","2022","Mixed","SCS","150","150","84910","78630"
"In post","2022","Mixed","SEO/HEO","2650","2590","37150","36500"
"In post","2022","Mixed","Unknown","560","530","30850","28690"
"In post","2022","Other ethnicity","AA/AO","560","520","24020","22560"
"In post","2022","Other ethnicity","EO","730","690","28660","28210"
"In post","2022","Other ethnicity","G6/G7","440","420","59560","57430"
"In post","2022","Other ethnicity","SCS","50","50","88430","83880"
"In post","2022","Other ethnicity","SEO/HEO","770","750","38120","37430"
"In post","2022","Other ethnicity","Unknown","110","100","31100","29000"
"In post","2022","Undeclared","AA/AO","4640","4140","23000","21490"
"In post","2022","Undeclared","EO","5610","5160","28570","27570"
"In post","2022","Undeclared","G6/G7","2900","2800","59340","57480"
"In post","2022","Undeclared","SCS","200","200","87500","80220"
"In post","2022","Undeclared","SEO/HEO","6250","5980","37890","37420"
"In post","2022","Undeclared","Unknown","600","560","34330","33200"
"In post","2022","Unknown","AA/AO","22800","21150","22820","21300"
"In post","2022","Unknown","EO","15940","15210","28010","27270"
"In post","2022","Unknown","G6/G7","9110","8860","59560","57430"
"In post","2022","Unknown","SCS","940","910","96000","88000"
"In post","2022","Unknown","SEO/HEO","18140","17670","36210","34770"
"In post","2022","Unknown","Unknown","5580","5210","31430","28760"
"In post","2022","White","AA/AO","94500","84760","22880","21300"
"In post","2022","White","EO","90190","83190","27810","27570"
"In post","2022","White","G6/G7","50220","48340","59080","57190"
"In post","2022","White","SCS","5460","5280","90070","82340"
"In post","2022","White","SEO/HEO","99900","95780","37270","36480"
"In post","2022","White","Unknown","14570","13630","31690","28980"
"Leaver CS","2021","Asian","AA/AO","540","470","21690","21010"
"Leaver CS","2021","Asian","EO","320","290","27770","27570"
"Leaver CS","2021","Asian","G6/G7","90","80","60140","58090"
"Leaver CS","2021","Asian","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","SEO/HEO","220","200","36940","36790"
"Leaver CS","2021","Asian","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","AA/AO","270","240","22650","22680"
"Leaver CS","2021","Black","EO","130","120","27940","27660"
"Leaver CS","2021","Black","G6/G7","40","40","[c]","[c]"
"Leaver CS","2021","Black","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","SEO/HEO","120","120","36780","35490"
"Leaver CS","2021","Black","Unknown","30","30","[c]","[c]"
"Leaver CS","2021","Chinese","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","AA/AO","180","160","21800","21010"
"Leaver CS","2021","Mixed","EO","90","80","27770","27570"
"Leaver CS","2021","Mixed","G6/G7","30","30","[c]","[c]"
"Leaver CS","2021","Mixed","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","SEO/HEO","80","70","37350","37150"
"Leaver CS","2021","Mixed","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","AA/AO","50","40","[c]","[c]"
"Leaver CS","2021","Other ethnicity","EO","30","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","SEO/HEO","40","30","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","AA/AO","490","410","21120","20180"
"Leaver CS","2021","Undeclared","EO","320","270","28230","27570"
"Leaver CS","2021","Undeclared","G6/G7","120","110","58950","56920"
"Leaver CS","2021","Undeclared","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","SEO/HEO","360","320","37140","36030"
"Leaver CS","2021","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","AA/AO","2860","2620","21170","21010"
"Leaver CS","2021","Unknown","EO","1380","1230","27170","27570"
"Leaver CS","2021","Unknown","G6/G7","540","460","60600","58000"
"Leaver CS","2021","Unknown","SCS","100","80","100250","86750"
"Leaver CS","2021","Unknown","SEO/HEO","1030","930","36240","35310"
"Leaver CS","2021","Unknown","Unknown","640","610","34750","32400"
"Leaver CS","2021","White","AA/AO","7510","6400","21180","21010"
"Leaver CS","2021","White","EO","3900","3300","27330","27570"
"Leaver CS","2021","White","G6/G7","1650","1470","60810","58340"
"Leaver CS","2021","White","SCS","310","270","97550","94700"
