"Status","Year","Ethnicity","Sex","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Female","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Animal and Plant Health Agency","40","30","[c]","[c]"
"In post","2021","Asian","Female","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Cabinet Office (excl. agencies)","280","270","44200","38560"
"In post","2021","Asian","Female","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Competition and Markets Authority","60","60","42590","35270"
"In post","2021","Asian","Female","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Crown Prosecution Service","430","380","38990","31820"
"In post","2021","Asian","Female","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Defence Equipment and Support","110","100","32420","29230"
"In post","2021","Asian","Female","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Department for Business, Energy and Industrial Strategy (excl. agencies)","260","250","44690","40050"
"In post","2021","Asian","Female","Department for Digital, Culture, Media and Sport","70","70","46090","50860"
"In post","2021","Asian","Female","Department for Education (excl. agencies)","260","250","40380","36660"
"In post","2021","Asian","Female","Department for Environment, Food and Rural Affairs (excl. agencies)","140","140","38860","33620"
"In post","2021","Asian","Female","Department for International Trade","100","100","41680","38160"
"In post","2021","Asian","Female","Department for Transport (excl. agencies)","150","140","43510","42470"
"In post","2021","Asian","Female","Department for Work and Pensions (excl. agencies)","4390","3760","27670","27570"
"In post","2021","Asian","Female","Department of Health and Social Care (excl. agencies)","110","100","42880","37630"
"In post","2021","Asian","Female","Disclosure Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Driver and Vehicle Standards Agency","30","30","[c]","[c]"
"In post","2021","Asian","Female","Education and Skills Funding Agency","110","100","37590","36500"
"In post","2021","Asian","Female","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Foreign, Commonwealth and Development Office (excl. agencies)","240","230","41700","36460"
"In post","2021","Asian","Female","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Government Legal Department","170","160","50110","51250"
"In post","2021","Asian","Female","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","HM Courts and Tribunals Service","980","860","24880","22500"
"In post","2021","Asian","Female","HM Land Registry","110","100","30340","27130"
"In post","2021","Asian","Female","HM Prison and Probation Service","740","690","30260","28200"
"In post","2021","Asian","Female","HM Revenue and Customs (excl. agencies)","1980","1780","30530","27700"
"In post","2021","Asian","Female","HM Treasury (excl. agencies)","110","110","44500","41900"
"In post","2021","Asian","Female","Home Office (incl. agencies)","2600","2340","31130","28850"
"In post","2021","Asian","Female","Insolvency Service","90","80","27740","25060"
"In post","2021","Asian","Female","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Legal Aid Agency","40","30","[c]","[c]"
"In post","2021","Asian","Female","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Medicines and Healthcare Products Regulatory Agency","170","160","38810","33100"
"In post","2021","Asian","Female","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Ministry of Defence (excl. agencies)","420","400","33530","30660"
"In post","2021","Asian","Female","Ministry of Housing, Communities and Local Government (excl. agencies)","120","120","41010","36340"
"In post","2021","Asian","Female","Ministry of Justice (excl. agencies)","280","260","36840","32870"
"In post","2021","Asian","Female","National Crime Agency","140","140","35210","33910"
"In post","2021","Asian","Female","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","National Records of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Office for Standards in Education, Children's Services and Skills","70","60","39700","39660"
"In post","2021","Asian","Female","Office of Gas and Electricity Markets","60","50","42830","38750"
"In post","2021","Asian","Female","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Office of the Public Guardian","200","180","21300","19930"
"In post","2021","Asian","Female","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Public Health England","500","450","41580","32330"
"In post","2021","Asian","Female","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Revenue Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Scottish Forestry","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Scottish Government (excl. agencies)","30","30","[c]","[c]"
"In post","2021","Asian","Female","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Social Security Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Transport Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","United Kingdom Statistics Authority","70","60","30890","29540"
"In post","2021","Asian","Female","Valuation Office Agency","100","90","31650","29660"
"In post","2021","Asian","Female","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","Cabinet Office (excl. agencies)","190","190","48330","42040"
"In post","2021","Asian","Male","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","Competition and Markets Authority","50","50","[c]","[c]"
"In post","2021","Asian","Male","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","Crown Prosecution Service","180","170","40460","38760"
"In post","2021","Asian","Male","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","Defence Equipment and Support","220","210","34540","32620"
"In post","2021","Asian","Male","Defence Science and Technology Laboratory","50","50","[c]","[c]"
"In post","2021","Asian","Male","Department for Business, Energy and Industrial Strategy (excl. agencies)","190","190","42980","40050"
"In post","2021","Asian","Male","Department for Digital, Culture, Media and Sport","60","60","47270","42020"
"In post","2021","Asian","Male","Department for Education (excl. agencies)","200","200","39940","36500"
"In post","2021","Asian","Male","Department for Environment, Food and Rural Affairs (excl. agencies)","110","110","39460","35890"
"In post","2021","Asian","Male","Department for International Trade","110","110","43610","38540"
"In post","2021","Asian","Male","Department for Transport (excl. agencies)","150","150","46120","42890"
"In post","2021","Asian","Male","Department for Work and Pensions (excl. agencies)","2950","2860","27870","27570"
"In post","2021","Asian","Male","Department of Health and Social Care (excl. agencies)","60","60","40710","35390"
"In post","2021","Asian","Male","Disclosure Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","Driver and Vehicle Standards Agency","80","80","29700","30470"
"In post","2021","Asian","Male","Education and Skills Funding Agency","90","90","41510","37300"
"In post","2021","Asian","Male","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","FCDO Services","30","30","[c]","[c]"
"In post","2021","Asian","Male","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","Foreign, Commonwealth and Development Office (excl. agencies)","180","180","46880","39220"
"In post","2021","Asian","Male","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","Government Internal Audit Agency","30","30","[c]","[c]"
"In post","2021","Asian","Male","Government Legal Department","80","80","48090","51250"
"In post","2021","Asian","Male","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","Health and Safety Executive","30","30","[c]","[c]"
"In post","2021","Asian","Male","HM Courts and Tribunals Service","500","480","24930","22680"
"In post","2021","Asian","Male","HM Land Registry","90","90","31440","27130"
"In post","2021","Asian","Male","HM Prison and Probation Service","770","730","31880","31200"
"In post","2021","Asian","Male","HM Revenue and Customs (excl. agencies)","2220","2150","31180","29570"
"In post","2021","Asian","Male","HM Treasury (excl. agencies)","90","90","42150","36350"
"In post","2021","Asian","Male","Home Office (incl. agencies)","1890","1820","31490","28810"
"In post","2021","Asian","Male","Insolvency Service","60","60","30570","26290"
"In post","2021","Asian","Male","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","Maritime and Coastguard Agency","40","40","[c]","[c]"
"In post","2021","Asian","Male","Medicines and Healthcare Products Regulatory Agency","110","100","45270","40450"
"In post","2021","Asian","Male","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","Ministry of Defence (excl. agencies)","480","470","34160","33000"
"In post","2021","Asian","Male","Ministry of Housing, Communities and Local Government (excl. agencies)","90","90","40780","36340"
"In post","2021","Asian","Male","Ministry of Justice (excl. agencies)","190","190","41410","37820"
"In post","2021","Asian","Male","National Crime Agency","100","100","37740","36740"
"In post","2021","Asian","Male","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","National Records of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","Office for Standards in Education, Children's Services and Skills","30","30","[c]","[c]"
"In post","2021","Asian","Male","Office of Gas and Electricity Markets","50","50","[c]","[c]"
"In post","2021","Asian","Male","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","Office of the Public Guardian","210","200","21060","19930"
"In post","2021","Asian","Male","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","Public Health England","220","210","44780","39020"
"In post","2021","Asian","Male","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","Revenue Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","Scottish Forestry","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","Scottish Government (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Asian","Male","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","Social Security Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","Submarine Delivery Agency","30","30","[c]","[c]"
"In post","2021","Asian","Male","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","Transport Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","UK Export Finance","40","40","[c]","[c]"
"In post","2021","Asian","Male","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","United Kingdom Statistics Authority","60","50","29660","26050"
"In post","2021","Asian","Male","Valuation Office Agency","90","90","33710","30680"
"In post","2021","Asian","Male","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Cabinet Office (excl. agencies)","170","170","40040","35590"
"In post","2021","Black","Female","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Crown Prosecution Service","280","260","39330","32240"
"In post","2021","Black","Female","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Defence Equipment and Support","80","80","30190","30160"
"In post","2021","Black","Female","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Department for Business, Energy and Industrial Strategy (excl. agencies)","180","180","40140","35530"
"In post","2021","Black","Female","Department for Digital, Culture, Media and Sport","60","60","39590","34020"
"In post","2021","Black","Female","Department for Education (excl. agencies)","150","150","40070","36500"
"In post","2021","Black","Female","Department for Environment, Food and Rural Affairs (excl. agencies)","120","110","35480","32680"
"In post","2021","Black","Female","Department for International Trade","80","80","37270","32230"
"In post","2021","Black","Female","Department for Transport (excl. agencies)","110","110","39660","37660"
"In post","2021","Black","Female","Department for Work and Pensions (excl. agencies)","2700","2510","29050","30330"
"In post","2021","Black","Female","Department of Health and Social Care (excl. agencies)","80","70","36610","32790"
"In post","2021","Black","Female","Disclosure Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Education and Skills Funding Agency","30","30","[c]","[c]"
"In post","2021","Black","Female","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Foreign, Commonwealth and Development Office (excl. agencies)","160","160","38060","35280"
"In post","2021","Black","Female","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Government Legal Department","120","110","42080","35000"
"In post","2021","Black","Female","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","HM Courts and Tribunals Service","690","640","25500","23500"
"In post","2021","Black","Female","HM Land Registry","40","40","[c]","[c]"
"In post","2021","Black","Female","HM Prison and Probation Service","1180","1130","31220","28990"
"In post","2021","Black","Female","HM Revenue and Customs (excl. agencies)","850","810","31940","29570"
"In post","2021","Black","Female","HM Treasury (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Black","Female","Home Office (incl. agencies)","1220","1130","32360","29080"
"In post","2021","Black","Female","Insolvency Service","40","40","[c]","[c]"
"In post","2021","Black","Female","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Legal Aid Agency","40","30","[c]","[c]"
"In post","2021","Black","Female","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Medicines and Healthcare Products Regulatory Agency","70","70","38480","33010"
"In post","2021","Black","Female","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Ministry of Defence (excl. agencies)","280","280","32650","30200"
"In post","2021","Black","Female","Ministry of Housing, Communities and Local Government (excl. agencies)","90","90","41720","39600"
"In post","2021","Black","Female","Ministry of Justice (excl. agencies)","230","230","34920","31780"
"In post","2021","Black","Female","National Crime Agency","60","60","36230","35690"
"In post","2021","Black","Female","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","National Records of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Office for Standards in Education, Children's Services and Skills","40","40","[c]","[c]"
"In post","2021","Black","Female","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Office of the Public Guardian","70","60","20950","19930"
"In post","2021","Black","Female","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Public Health England","360","330","38210","32930"
"In post","2021","Black","Female","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Revenue Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Scottish Forestry","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Social Security Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Transport Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","United Kingdom Statistics Authority","40","30","[c]","[c]"
"In post","2021","Black","Female","Valuation Office Agency","40","40","[c]","[c]"
"In post","2021","Black","Female","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Black","Male","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2021","Black","Male","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Black","Male","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Black","Male","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","Black","Male","Cabinet Office (excl. agencies)","90","90","45850","40600"
"In post","2021","Black","Male","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Black","Male","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Black","Male","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Black","Male","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Black","Male","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Black","Male","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Black","Male","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","Black","Male","Crown Prosecution Service","90","90","43300","35630"
"In post","2021","Black","Male","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Black","Male","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Black","Male","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Black","Male","Defence Equipment and Support","130","130","34040","33950"
"In post","2021","Black","Male","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
