"Status","Year","Region_ITL2","Age","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","16-19","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","16-19","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","16-19","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","16-19","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","16-19","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","20-29","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","20-29","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","20-29","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","20-29","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","20-29","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","20-29","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","20-29","Department for Work and Pensions","130","130","27440","27570"
"In post","2021","Bedfordshire and Hertfordshire","20-29","Department of Health and Social Care","40","40","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","20-29","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","20-29","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","20-29","Ministry of Defence","120","120","33190","30750"
"In post","2021","Bedfordshire and Hertfordshire","20-29","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","20-29","Ministry of Justice","330","320","26660","27850"
"In post","2021","Bedfordshire and Hertfordshire","20-29","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","30-39","Attorney General's Departments","50","40","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","30-39","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","30-39","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","30-39","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","30-39","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","30-39","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","30-39","Department for Work and Pensions","160","150","29040","29290"
"In post","2021","Bedfordshire and Hertfordshire","30-39","Department of Health and Social Care","100","90","39670","40450"
"In post","2021","Bedfordshire and Hertfordshire","30-39","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","30-39","Home Office","50","50","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","30-39","Ministry of Defence","160","160","38080","37640"
"In post","2021","Bedfordshire and Hertfordshire","30-39","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","30-39","Ministry of Justice","320","300","28330","28600"
"In post","2021","Bedfordshire and Hertfordshire","30-39","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","40-49","Attorney General's Departments","50","40","45150","50520"
"In post","2021","Bedfordshire and Hertfordshire","40-49","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","40-49","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","40-49","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","40-49","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","40-49","Department for Work and Pensions","270","250","29740","29290"
"In post","2021","Bedfordshire and Hertfordshire","40-49","Department of Health and Social Care","90","90","49720","48760"
"In post","2021","Bedfordshire and Hertfordshire","40-49","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","40-49","Home Office","80","70","27920","26580"
"In post","2021","Bedfordshire and Hertfordshire","40-49","Ministry of Defence","180","170","39530","37000"
