"Status","Year","Region_ITL3","Sexual_orientation","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","Heterosexual / straight","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Heterosexual / straight","Black","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Heterosexual / straight","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Heterosexual / straight","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Heterosexual / straight","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Heterosexual / straight","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Heterosexual / straight","White","990","940","37150","31160"
"In post","2021","Aberdeen City and Aberdeenshire","LGBO","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","LGBO","Black","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","LGBO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","LGBO","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","LGBO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","LGBO","White","60","50","31190","28410"
"In post","2021","Aberdeen City and Aberdeenshire","Undeclared","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Undeclared","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Undeclared","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Undeclared","Undeclared","50","40","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Undeclared","Unknown","80","70","25520","22820"
"In post","2021","Aberdeen City and Aberdeenshire","Undeclared","White","80","70","37200","30360"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","Unknown","330","310","33260","30650"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","White","180","160","33200","31060"
"In post","2021","Angus and Dundee City","Heterosexual / straight","Asian","30","30","[c]","[c]"
"In post","2021","Angus and Dundee City","Heterosexual / straight","Black","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Heterosexual / straight","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Heterosexual / straight","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Heterosexual / straight","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Heterosexual / straight","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Heterosexual / straight","White","1130","1050","27260","23340"
"In post","2021","Angus and Dundee City","LGBO","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","LGBO","Black","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","LGBO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","LGBO","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","LGBO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","LGBO","White","70","70","24310","21130"
"In post","2021","Angus and Dundee City","Undeclared","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Undeclared","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Undeclared","Undeclared","40","30","[c]","[c]"
"In post","2021","Angus and Dundee City","Undeclared","Unknown","60","50","25050","22820"
"In post","2021","Angus and Dundee City","Undeclared","White","70","60","23860","21010"
"In post","2021","Angus and Dundee City","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Unknown","Unknown","250","240","24430","21010"
"In post","2021","Angus and Dundee City","Unknown","White","180","160","25680","21420"
"In post","2021","Antrim and Newtownabbey","Heterosexual / straight","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Heterosexual / straight","Black","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Heterosexual / straight","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Heterosexual / straight","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Heterosexual / straight","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Heterosexual / straight","White","160","150","23430","20310"
"In post","2021","Antrim and Newtownabbey","LGBO","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","LGBO","Black","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","LGBO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","LGBO","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","LGBO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","LGBO","White","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Undeclared","White","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Unknown","White","[c]","[c]","[c]","[c]"
