"Status","Year","Organisation","Function_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Unknown","Heterosexual / straight","80","70","32700","29190"
"In post","2021","Accountant in Bankruptcy","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Unknown","Unknown","30","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Analysis","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Commercial","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data & Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data & Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","No function","Heterosexual / straight","490","450","32330","31040"
"In post","2021","Advisory, Conciliation and Arbitration Service","No function","LGBO","40","40","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","No function","Undeclared","110","90","33490","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","No function","Unknown","220","210","26530","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","Heterosexual / straight","60","60","43070","39580"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Commercial","Heterosexual / straight","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Digital, Data & Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Digital, Data & Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","No function","Heterosexual / straight","1780","1680","30420","27850"
"In post","2021","Animal and Plant Health Agency","No function","LGBO","130","130","27530","24920"
"In post","2021","Animal and Plant Health Agency","No function","Undeclared","320","310","33310","30230"
"In post","2021","Animal and Plant Health Agency","No function","Unknown","320","290","30420","26520"
"In post","2021","Animal and Plant Health Agency","Project Delivery","Heterosexual / straight","50","50","29760","29180"
"In post","2021","Animal and Plant Health Agency","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Legal","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","No function","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","No function","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Analysis","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Commercial","Heterosexual / straight","300","290","72280","64500"
"In post","2021","Cabinet Office (excl. agencies)","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Commercial","Undeclared","30","30","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Commercial","Unknown","1070","1060","70560","64500"
"In post","2021","Cabinet Office (excl. agencies)","Communications","Heterosexual / straight","190","180","47440","42210"
"In post","2021","Cabinet Office (excl. agencies)","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Communications","Unknown","120","120","47830","42320"
"In post","2021","Cabinet Office (excl. agencies)","Counter Fraud","Heterosexual / straight","70","70","48510","50730"
