"Status","Year","Function_of_post","Region_ITL2","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Bedfordshire and Hertfordshire","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire, Buckinghamshire and Oxfordshire","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire, Buckinghamshire and Oxfordshire","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire, Buckinghamshire and Oxfordshire","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire, Buckinghamshire and Oxfordshire","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cheshire","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cornwall and Isles of Scilly","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cornwall and Isles of Scilly","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cornwall and Isles of Scilly","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cornwall and Isles of Scilly","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cornwall and Isles of Scilly","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cumbria","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cumbria","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cumbria","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cumbria","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Devon","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Devon","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Devon","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Devon","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Dorset and Somerset","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Dorset and Somerset","30-39","30","30","[c]","[c]"
"In post","2021","Analysis","Dorset and Somerset","40-49","40","40","[c]","[c]"
"In post","2021","Analysis","Dorset and Somerset","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Dorset and Somerset","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Anglia","20-29","50","50","[c]","[c]"
"In post","2021","Analysis","East Anglia","30-39","120","110","32610","29750"
"In post","2021","Analysis","East Anglia","40-49","90","80","36350","35900"
"In post","2021","Analysis","East Anglia","50-59","90","80","38500","37280"
"In post","2021","Analysis","East Anglia","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Anglia","65+","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Wales","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Wales","20-29","350","350","31480","29540"
"In post","2021","Analysis","East Wales","30-39","330","320","37160","37020"
"In post","2021","Analysis","East Wales","40-49","190","180","41680","37020"
"In post","2021","Analysis","East Wales","50-59","140","130","39850","36330"
"In post","2021","Analysis","East Wales","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Wales","65+","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Yorkshire and Northern Lincolnshire","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Eastern Scotland","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Eastern Scotland","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Eastern Scotland","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Eastern Scotland","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Eastern Scotland","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Essex","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Essex","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Essex","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Essex","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Essex","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","20-29","80","80","32530","32010"
"In post","2021","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","30-39","130","120","39660","37320"
"In post","2021","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","40-49","70","70","43040","39850"
"In post","2021","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","50-59","30","30","[c]","[c]"
"In post","2021","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","65+","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Greater Manchester","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Greater Manchester","20-29","110","110","33880","31810"
"In post","2021","Analysis","Greater Manchester","30-39","60","50","42710","42220"
"In post","2021","Analysis","Greater Manchester","40-49","40","40","[c]","[c]"
"In post","2021","Analysis","Greater Manchester","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Greater Manchester","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Greater Manchester","65+","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Hampshire and Isle of Wight","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Hampshire and Isle of Wight","20-29","240","240","31730","29540"
"In post","2021","Analysis","Hampshire and Isle of Wight","30-39","230","220","39570","37320"
"In post","2021","Analysis","Hampshire and Isle of Wight","40-49","170","160","44190","46080"
