"Status","Year","Sex","Responsibility_level","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","AA/AO","Merseyside","4430","3680","20930","21010"
"In post","2021","Female","AA/AO","North Eastern Scotland","290","260","22740","22160"
"In post","2021","Female","AA/AO","North Yorkshire","680","610","21470","21010"
"In post","2021","Female","AA/AO","Northern Ireland","700","610","20930","21400"
"In post","2021","Female","AA/AO","Northumberland and Tyne and Wear","5800","4580","20740","21010"
"In post","2021","Female","AA/AO","Outer London - East and North East","810","720","25180","24890"
"In post","2021","Female","AA/AO","Outer London - South","1280","1120","24260","25230"
"In post","2021","Female","AA/AO","Outer London - West and North West","1170","1030","24910","25110"
"In post","2021","Female","AA/AO","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Female","AA/AO","Shropshire and Staffordshire","1760","1560","21600","21010"
"In post","2021","Female","AA/AO","South Yorkshire","1770","1470","21280","21010"
"In post","2021","Female","AA/AO","Southern Scotland","1380","1130","21220","21010"
"In post","2021","Female","AA/AO","Surrey, East and West Sussex","1580","1370","23340","21430"
"In post","2021","Female","AA/AO","Tees Valley and Durham","2600","2200","21900","21010"
"In post","2021","Female","AA/AO","Unknown","160","140","22450","21010"
"In post","2021","Female","AA/AO","West Central Scotland","3810","3210","21250","21010"
"In post","2021","Female","AA/AO","West Midlands","3280","2780","20730","20650"
"In post","2021","Female","AA/AO","West Wales and The Valleys","4710","3870","20870","21590"
"In post","2021","Female","AA/AO","West Yorkshire","2760","2340","21480","21010"
"In post","2021","Female","EO","Bedfordshire and Hertfordshire","940","850","28730","29290"
"In post","2021","Female","EO","Berkshire, Buckinghamshire and Oxfordshire","1350","1250","28360","27570"
"In post","2021","Female","EO","Cheshire","820","770","28970","27570"
"In post","2021","Female","EO","Cornwall and Isles of Scilly","350","310","27370","27570"
"In post","2021","Female","EO","Cumbria","360","310","26150","26350"
"In post","2021","Female","EO","Derbyshire and Nottinghamshire","2070","1830","26600","27540"
"In post","2021","Female","EO","Devon","1230","1060","27020","27570"
"In post","2021","Female","EO","Dorset and Somerset","860","750","27010","27570"
"In post","2021","Female","EO","East Anglia","1770","1570","27020","27570"
"In post","2021","Female","EO","East Wales","3030","2740","26430","26930"
"In post","2021","Female","EO","East Yorkshire and Northern Lincolnshire","790","680","27310","27570"
"In post","2021","Female","EO","Eastern Scotland","2770","2530","28190","27570"
"In post","2021","Female","EO","Essex","1330","1190","28620","29290"
"In post","2021","Female","EO","Gloucestershire, Wiltshire and Bath/Bristol area","3240","2910","25810","26670"
"In post","2021","Female","EO","Greater Manchester","3130","2860","26520","27570"
"In post","2021","Female","EO","Hampshire and Isle of Wight","1960","1770","26580","26670"
"In post","2021","Female","EO","Herefordshire, Worcestershire and Warwickshire","580","520","26930","27570"
"In post","2021","Female","EO","Highlands and Islands","380","350","28220","27570"
"In post","2021","Female","EO","Inner London - East","2740","2550","30620","31060"
"In post","2021","Female","EO","Inner London - West","4730","4530","29160","29080"
"In post","2021","Female","EO","Kent","1790","1610","28300","29050"
"In post","2021","Female","EO","Lancashire","2680","2340","27270","27570"
"In post","2021","Female","EO","Leicestershire, Rutland and Northamptonshire","1040","930","27040","27570"
"In post","2021","Female","EO","Lincolnshire","390","360","27270","27570"
"In post","2021","Female","EO","Merseyside","3870","3410","26240","26160"
"In post","2021","Female","EO","North Eastern Scotland","320","290","28410","27570"
"In post","2021","Female","EO","North Yorkshire","550","500","27000","26750"
"In post","2021","Female","EO","Northern Ireland","500","450","26610","25560"
"In post","2021","Female","EO","Northumberland and Tyne and Wear","3310","2910","26580","27570"
"In post","2021","Female","EO","Outer London - East and North East","1080","970","30950","31060"
"In post","2021","Female","EO","Outer London - South","1970","1800","29900","29570"
"In post","2021","Female","EO","Outer London - West and North West","2170","1970","29970","30500"
"In post","2021","Female","EO","Overseas","130","120","27990","27160"
"In post","2021","Female","EO","Shropshire and Staffordshire","1330","1190","27130","27570"
"In post","2021","Female","EO","South Yorkshire","1660","1420","26820","27570"
"In post","2021","Female","EO","Southern Scotland","1100","950","26950","27570"
"In post","2021","Female","EO","Surrey, East and West Sussex","1780","1570","27940","27570"
"In post","2021","Female","EO","Tees Valley and Durham","1450","1270","27130","27570"
"In post","2021","Female","EO","Unknown","360","330","28060","27570"
"In post","2021","Female","EO","West Central Scotland","2800","2510","27300","27570"
"In post","2021","Female","EO","West Midlands","3560","3150","26710","27570"
"In post","2021","Female","EO","West Wales and The Valleys","2400","2140","27250","27570"
"In post","2021","Female","EO","West Yorkshire","2840","2520","26720","27570"
"In post","2021","Female","G6/G7","Bedfordshire and Hertfordshire","170","160","59770","58690"
"In post","2021","Female","G6/G7","Berkshire, Buckinghamshire and Oxfordshire","350","320","59640","57120"
"In post","2021","Female","G6/G7","Cheshire","100","100","56030","55740"
"In post","2021","Female","G6/G7","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Female","G6/G7","Cumbria","40","40","[c]","[c]"
"In post","2021","Female","G6/G7","Derbyshire and Nottinghamshire","560","530","56410","53150"
"In post","2021","Female","G6/G7","Devon","310","280","53710","49810"
"In post","2021","Female","G6/G7","Dorset and Somerset","80","80","58990","55310"
"In post","2021","Female","G6/G7","East Anglia","340","320","58110","54620"
"In post","2021","Female","G6/G7","East Wales","1160","1090","57160","56620"
"In post","2021","Female","G6/G7","East Yorkshire and Northern Lincolnshire","50","40","[c]","[c]"
"In post","2021","Female","G6/G7","Eastern Scotland","1380","1290","61490","61010"
"In post","2021","Female","G6/G7","Essex","150","130","56870","52580"
"In post","2021","Female","G6/G7","Gloucestershire, Wiltshire and Bath/Bristol area","1910","1800","55310","54180"
"In post","2021","Female","G6/G7","Greater Manchester","1030","980","56260","52580"
"In post","2021","Female","G6/G7","Hampshire and Isle of Wight","680","640","55070","53230"
"In post","2021","Female","G6/G7","Herefordshire, Worcestershire and Warwickshire","50","50","[c]","[c]"
"In post","2021","Female","G6/G7","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Female","G6/G7","Inner London - East","1850","1750","60980","59160"
"In post","2021","Female","G6/G7","Inner London - West","11130","10560","59610","57680"
"In post","2021","Female","G6/G7","Kent","110","100","56760","52820"
"In post","2021","Female","G6/G7","Lancashire","390","370","54800","52580"
"In post","2021","Female","G6/G7","Leicestershire, Rutland and Northamptonshire","110","100","56530","53190"
"In post","2021","Female","G6/G7","Lincolnshire","40","30","[c]","[c]"
"In post","2021","Female","G6/G7","Merseyside","730","690","54840","52580"
"In post","2021","Female","G6/G7","North Eastern Scotland","60","50","62970","61010"
"In post","2021","Female","G6/G7","North Yorkshire","360","330","59010","55610"
"In post","2021","Female","G6/G7","Northern Ireland","110","110","55590","52580"
"In post","2021","Female","G6/G7","Northumberland and Tyne and Wear","760","730","53920","52580"
"In post","2021","Female","G6/G7","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Female","G6/G7","Outer London - South","710","680","62900","59980"
"In post","2021","Female","G6/G7","Outer London - West and North West","280","270","58510","55920"
"In post","2021","Female","G6/G7","Overseas","550","550","59480","58030"
"In post","2021","Female","G6/G7","Shropshire and Staffordshire","250","240","57140","53450"
"In post","2021","Female","G6/G7","South Yorkshire","580","550","54950","52070"
"In post","2021","Female","G6/G7","Southern Scotland","250","240","54720","52580"
"In post","2021","Female","G6/G7","Surrey, East and West Sussex","240","220","58670","54990"
"In post","2021","Female","G6/G7","Tees Valley and Durham","190","180","55780","52200"
"In post","2021","Female","G6/G7","Unknown","110","100","56820","54700"
"In post","2021","Female","G6/G7","West Central Scotland","730","700","60150","61010"
"In post","2021","Female","G6/G7","West Midlands","910","860","55830","52580"
"In post","2021","Female","G6/G7","West Wales and The Valleys","340","320","60650","60830"
"In post","2021","Female","G6/G7","West Yorkshire","990","930","55020","52580"
"In post","2021","Female","SCS","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","SCS","Berkshire, Buckinghamshire and Oxfordshire","30","30","[c]","[c]"
"In post","2021","Female","SCS","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","SCS","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Female","SCS","Derbyshire and Nottinghamshire","40","40","[c]","[c]"
"In post","2021","Female","SCS","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Female","SCS","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Female","SCS","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Female","SCS","East Wales","100","100","84330","78460"
"In post","2021","Female","SCS","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","SCS","Eastern Scotland","100","100","90610","83230"
"In post","2021","Female","SCS","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Female","SCS","Gloucestershire, Wiltshire and Bath/Bristol area","110","110","90920","86320"
"In post","2021","Female","SCS","Greater Manchester","70","60","85320","81330"
"In post","2021","Female","SCS","Hampshire and Isle of Wight","40","40","[c]","[c]"
"In post","2021","Female","SCS","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","SCS","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Female","SCS","Inner London - East","330","290","98830","93570"
"In post","2021","Female","SCS","Inner London - West","1860","1770","86190","78060"
"In post","2021","Female","SCS","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Female","SCS","Lancashire","30","30","[c]","[c]"
"In post","2021","Female","SCS","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","SCS","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","SCS","Merseyside","40","40","[c]","[c]"
"In post","2021","Female","SCS","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","SCS","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","SCS","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Female","SCS","Northumberland and Tyne and Wear","40","40","[c]","[c]"
"In post","2021","Female","SCS","Outer London - South","40","40","[c]","[c]"
"In post","2021","Female","SCS","Outer London - West and North West","30","30","[c]","[c]"
"In post","2021","Female","SCS","Overseas","110","110","84260","75880"
"In post","2021","Female","SCS","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","SCS","South Yorkshire","40","30","[c]","[c]"
"In post","2021","Female","SCS","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","SCS","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Female","SCS","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Female","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","SCS","West Central Scotland","30","30","[c]","[c]"
"In post","2021","Female","SCS","West Midlands","90","80","96020","87320"
"In post","2021","Female","SCS","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Female","SCS","West Yorkshire","80","70","85010","76560"
"In post","2021","Female","SEO/HEO","Bedfordshire and Hertfordshire","500","470","38470","37640"
"In post","2021","Female","SEO/HEO","Berkshire, Buckinghamshire and Oxfordshire","1090","1030","37160","35900"
"In post","2021","Female","SEO/HEO","Cheshire","410","390","38230","36740"
"In post","2021","Female","SEO/HEO","Cornwall and Isles of Scilly","100","90","34680","33300"
"In post","2021","Female","SEO/HEO","Cumbria","180","160","34320","33040"
"In post","2021","Female","SEO/HEO","Derbyshire and Nottinghamshire","1770","1650","35360","33350"
"In post","2021","Female","SEO/HEO","Devon","1010","920","36570","36330"
"In post","2021","Female","SEO/HEO","Dorset and Somerset","560","520","35630","33840"
"In post","2021","Female","SEO/HEO","East Anglia","1360","1280","35680","33840"
"In post","2021","Female","SEO/HEO","East Wales","3120","2920","35940","36030"
"In post","2021","Female","SEO/HEO","East Yorkshire and Northern Lincolnshire","260","240","35240","33840"
"In post","2021","Female","SEO/HEO","Eastern Scotland","2920","2750","37910","36610"
"In post","2021","Female","SEO/HEO","Essex","600","540","35870","35120"
"In post","2021","Female","SEO/HEO","Gloucestershire, Wiltshire and Bath/Bristol area","5350","4990","35180","34000"
"In post","2021","Female","SEO/HEO","Greater Manchester","2680","2540","34710","32800"
"In post","2021","Female","SEO/HEO","Hampshire and Isle of Wight","2250","2130","35150","33300"
"In post","2021","Female","SEO/HEO","Herefordshire, Worcestershire and Warwickshire","340","320","35780","34290"
"In post","2021","Female","SEO/HEO","Highlands and Islands","170","160","37020","35680"
"In post","2021","Female","SEO/HEO","Inner London - East","2690","2570","38840","39000"
"In post","2021","Female","SEO/HEO","Inner London - West","12060","11760","37590","36800"
"In post","2021","Female","SEO/HEO","Kent","610","580","36140","35120"
"In post","2021","Female","SEO/HEO","Lancashire","1400","1300","35240","33840"
"In post","2021","Female","SEO/HEO","Leicestershire, Rutland and Northamptonshire","510","470","35820","33840"
"In post","2021","Female","SEO/HEO","Lincolnshire","230","220","35450","34000"
"In post","2021","Female","SEO/HEO","Merseyside","2290","2140","34140","32100"
"In post","2021","Female","SEO/HEO","North Eastern Scotland","260","250","40830","36620"
"In post","2021","Female","SEO/HEO","North Yorkshire","730","690","35920","35480"
"In post","2021","Female","SEO/HEO","Northern Ireland","440","420","34640","31940"
"In post","2021","Female","SEO/HEO","Northumberland and Tyne and Wear","2510","2320","33970","31990"
"In post","2021","Female","SEO/HEO","Outer London - East and North East","160","150","38640","36760"
"In post","2021","Female","SEO/HEO","Outer London - South","1950","1850","38970","36940"
"In post","2021","Female","SEO/HEO","Outer London - West and North West","1110","1050","37670","36590"
"In post","2021","Female","SEO/HEO","Overseas","580","580","38720","36960"
"In post","2021","Female","SEO/HEO","Shropshire and Staffordshire","950","890","36500","34800"
"In post","2021","Female","SEO/HEO","South Yorkshire","1390","1280","34720","33870"
"In post","2021","Female","SEO/HEO","Southern Scotland","740","700","35400","33930"
"In post","2021","Female","SEO/HEO","Surrey, East and West Sussex","780","730","36650","35010"
"In post","2021","Female","SEO/HEO","Tees Valley and Durham","840","780","35340","34290"
"In post","2021","Female","SEO/HEO","Unknown","400","390","33560","32000"
"In post","2021","Female","SEO/HEO","West Central Scotland","2100","1980","36490","34290"
"In post","2021","Female","SEO/HEO","West Midlands","2400","2260","35110","33410"
"In post","2021","Female","SEO/HEO","West Wales and The Valleys","1720","1610","37650","37410"
"In post","2021","Female","SEO/HEO","West Yorkshire","2480","2310","34460","32710"
"In post","2021","Female","Unknown","Bedfordshire and Hertfordshire","240","220","27880","24410"
"In post","2021","Female","Unknown","Berkshire, Buckinghamshire and Oxfordshire","330","300","29520","28200"
"In post","2021","Female","Unknown","Cheshire","150","140","29570","30210"
"In post","2021","Female","Unknown","Cornwall and Isles of Scilly","30","30","[c]","[c]"
"In post","2021","Female","Unknown","Cumbria","100","90","32510","31150"
"In post","2021","Female","Unknown","Derbyshire and Nottinghamshire","390","340","29070","28200"
"In post","2021","Female","Unknown","Devon","170","150","31150","30210"
"In post","2021","Female","Unknown","Dorset and Somerset","170","150","27950","25210"
"In post","2021","Female","Unknown","East Anglia","380","340","29030","30210"
"In post","2021","Female","Unknown","East Wales","370","350","29590","28200"
"In post","2021","Female","Unknown","East Yorkshire and Northern Lincolnshire","200","180","29720","30210"
"In post","2021","Female","Unknown","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","Essex","190","170","27470","23840"
"In post","2021","Female","Unknown","Gloucestershire, Wiltshire and Bath/Bristol area","820","760","34590","32300"
"In post","2021","Female","Unknown","Greater Manchester","550","510","29580","30210"
"In post","2021","Female","Unknown","Hampshire and Isle of Wight","240","220","29670","30210"
"In post","2021","Female","Unknown","Herefordshire, Worcestershire and Warwickshire","220","210","29020","28200"
"In post","2021","Female","Unknown","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","Inner London - East","500","480","33050","32090"
"In post","2021","Female","Unknown","Inner London - West","150","150","37790","34770"
"In post","2021","Female","Unknown","Kent","220","200","30340","30880"
"In post","2021","Female","Unknown","Lancashire","340","300","29200","30210"
"In post","2021","Female","Unknown","Leicestershire, Rutland and Northamptonshire","290","260","29250","30210"
"In post","2021","Female","Unknown","Lincolnshire","100","100","29640","30210"
"In post","2021","Female","Unknown","Merseyside","330","300","28970","28200"
"In post","2021","Female","Unknown","North Yorkshire","130","120","29340","28200"
"In post","2021","Female","Unknown","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","Northumberland and Tyne and Wear","260","230","28690","28200"
"In post","2021","Female","Unknown","Outer London - East and North East","210","200","32910","34100"
"In post","2021","Female","Unknown","Outer London - South","140","130","33650","32090"
"In post","2021","Female","Unknown","Outer London - West and North West","190","190","32420","28690"
"In post","2021","Female","Unknown","Overseas","100","100","[c]","[c]"
"In post","2021","Female","Unknown","Shropshire and Staffordshire","240","210","29750","30210"
"In post","2021","Female","Unknown","South Yorkshire","280","250","29070","28200"
"In post","2021","Female","Unknown","Surrey, East and West Sussex","310","280","29650","30210"
"In post","2021","Female","Unknown","Tees Valley and Durham","290","270","29290","28200"
"In post","2021","Female","Unknown","Unknown","170","170","33050","32700"
"In post","2021","Female","Unknown","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","West Midlands","580","520","28840","28200"
"In post","2021","Female","Unknown","West Wales and The Valleys","490","450","29300","28200"
"In post","2021","Female","Unknown","West Yorkshire","430","390","30080","30210"
"In post","2021","Male","AA/AO","Bedfordshire and Hertfordshire","550","540","25850","24670"
"In post","2021","Male","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","1960","1930","27270","26580"
"In post","2021","Male","AA/AO","Cheshire","510","490","24210","22030"
"In post","2021","Male","AA/AO","Cornwall and Isles of Scilly","310","300","20970","21010"
"In post","2021","Male","AA/AO","Cumbria","370","350","22920","21050"
"In post","2021","Male","AA/AO","Derbyshire and Nottinghamshire","1690","1610","23010","21010"
"In post","2021","Male","AA/AO","Devon","1460","1390","23500","21050"
"In post","2021","Male","AA/AO","Dorset and Somerset","900","880","23240","21130"
"In post","2021","Male","AA/AO","East Anglia","2460","2360","24790","22500"
"In post","2021","Male","AA/AO","East Wales","2520","2420","21820","21010"
"In post","2021","Male","AA/AO","East Yorkshire and Northern Lincolnshire","1090","1040","25570","24920"
"In post","2021","Male","AA/AO","Eastern Scotland","2710","2630","22360","21010"
"In post","2021","Male","AA/AO","Essex","650","630","25190","23270"
"In post","2021","Male","AA/AO","Gloucestershire, Wiltshire and Bath/Bristol area","1660","1610","23050","21010"
"In post","2021","Male","AA/AO","Greater Manchester","2400","2300","21850","21010"
"In post","2021","Male","AA/AO","Hampshire and Isle of Wight","2240","2010","23220","20920"
"In post","2021","Male","AA/AO","Herefordshire, Worcestershire and Warwickshire","870","850","24710","22850"
"In post","2021","Male","AA/AO","Highlands and Islands","400","390","22890","21450"
"In post","2021","Male","AA/AO","Inner London - East","1180","1130","27240","25110"
"In post","2021","Male","AA/AO","Inner London - West","2110","2060","26250","24590"
"In post","2021","Male","AA/AO","Kent","1490","1460","26500","26420"
"In post","2021","Male","AA/AO","Lancashire","2660","2510","22640","21010"
"In post","2021","Male","AA/AO","Leicestershire, Rutland and Northamptonshire","1220","1180","23050","21440"
"In post","2021","Male","AA/AO","Lincolnshire","610","590","23250","21360"
"In post","2021","Male","AA/AO","Merseyside","2740","2600","21390","21400"
"In post","2021","Male","AA/AO","North Eastern Scotland","260","250","28160","25870"
"In post","2021","Male","AA/AO","North Yorkshire","710","690","23400","20920"
"In post","2021","Male","AA/AO","Northern Ireland","990","950","20660","20310"
"In post","2021","Male","AA/AO","Northumberland and Tyne and Wear","3200","3000","20660","21010"
"In post","2021","Male","AA/AO","Outer London - East and North East","620","600","28450","28720"
"In post","2021","Male","AA/AO","Outer London - South","730","710","24110","25110"
"In post","2021","Male","AA/AO","Outer London - West and North West","890","860","26510","25630"
"In post","2021","Male","AA/AO","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Male","AA/AO","Shropshire and Staffordshire","1490","1430","23910","22350"
"In post","2021","Male","AA/AO","South Yorkshire","1320","1260","22980","21430"
"In post","2021","Male","AA/AO","Southern Scotland","850","800","21730","20140"
"In post","2021","Male","AA/AO","Surrey, East and West Sussex","1350","1290","25600","24220"
"In post","2021","Male","AA/AO","Tees Valley and Durham","2080","1950","24250","21950"
"In post","2021","Male","AA/AO","Unknown","90","80","21840","21010"
"In post","2021","Male","AA/AO","West Central Scotland","3180","3040","23200","21010"
"In post","2021","Male","AA/AO","West Midlands","2000","1910","21210","20640"
"In post","2021","Male","AA/AO","West Wales and The Valleys","2490","2360","21490","21590"
"In post","2021","Male","AA/AO","West Yorkshire","2310","2200","22640","21010"
"In post","2021","Male","EO","Bedfordshire and Hertfordshire","670","630","29440","29290"
"In post","2021","Male","EO","Berkshire, Buckinghamshire and Oxfordshire","1060","1040","30460","28670"
"In post","2021","Male","EO","Cheshire","610","600","30330","28840"
"In post","2021","Male","EO","Cornwall and Isles of Scilly","270","260","27020","27570"
"In post","2021","Male","EO","Cumbria","220","210","26150","25990"
"In post","2021","Male","EO","Derbyshire and Nottinghamshire","1480","1430","26950","27130"
"In post","2021","Male","EO","Devon","1120","1080","27020","27380"
"In post","2021","Male","EO","Dorset and Somerset","750","720","27750","27570"
"In post","2021","Male","EO","East Anglia","1520","1470","28100","27570"
"In post","2021","Male","EO","East Wales","2470","2400","27060","27460"
"In post","2021","Male","EO","East Yorkshire and Northern Lincolnshire","880","840","28140","27370"
"In post","2021","Male","EO","Eastern Scotland","2420","2330","29530","28410"
"In post","2021","Male","EO","Essex","950","890","28810","28340"
"In post","2021","Male","EO","Gloucestershire, Wiltshire and Bath/Bristol area","2760","2680","26120","26670"
"In post","2021","Male","EO","Greater Manchester","2670","2590","26610","26480"
"In post","2021","Male","EO","Hampshire and Isle of Wight","1780","1730","27440","26780"
"In post","2021","Male","EO","Herefordshire, Worcestershire and Warwickshire","510","500","27370","27570"
"In post","2021","Male","EO","Highlands and Islands","310","300","29630","29140"
"In post","2021","Male","EO","Inner London - East","1740","1700","31080","31060"
"In post","2021","Male","EO","Inner London - West","3150","3120","29500","29460"
"In post","2021","Male","EO","Kent","1790","1690","28380","27370"
"In post","2021","Male","EO","Lancashire","1700","1630","27800","27570"
"In post","2021","Male","EO","Leicestershire, Rutland and Northamptonshire","780","760","27690","27570"
"In post","2021","Male","EO","Lincolnshire","360","340","28400","27570"
"In post","2021","Male","EO","Merseyside","2320","2230","26290","26000"
"In post","2021","Male","EO","North Eastern Scotland","280","270","30280","29190"
"In post","2021","Male","EO","North Yorkshire","490","480","27780","26750"
"In post","2021","Male","EO","Northern Ireland","480","470","26510","25560"
"In post","2021","Male","EO","Northumberland and Tyne and Wear","2230","2130","26400","26120"
"In post","2021","Male","EO","Outer London - East and North East","640","620","31700","31060"
"In post","2021","Male","EO","Outer London - South","1250","1230","30070","29570"
"In post","2021","Male","EO","Outer London - West and North West","1850","1710","29880","30160"
"In post","2021","Male","EO","Overseas","150","150","28040","27370"
"In post","2021","Male","EO","Shropshire and Staffordshire","1140","1100","28210","27570"
"In post","2021","Male","EO","South Yorkshire","1070","1030","27340","27370"
"In post","2021","Male","EO","Southern Scotland","790","750","26810","27150"
"In post","2021","Male","EO","Surrey, East and West Sussex","1220","1130","28650","27570"
"In post","2021","Male","EO","Tees Valley and Durham","930","880","28110","27570"
"In post","2021","Male","EO","Unknown","230","220","28000","27570"
"In post","2021","Male","EO","West Central Scotland","2390","2280","28740","27570"
"In post","2021","Male","EO","West Midlands","2240","2160","26910","27570"
"In post","2021","Male","EO","West Wales and The Valleys","1510","1460","27530","27570"
"In post","2021","Male","EO","West Yorkshire","2240","2170","27150","27570"
"In post","2021","Male","G6/G7","Bedfordshire and Hertfordshire","160","150","61000","59730"
"In post","2021","Male","G6/G7","Berkshire, Buckinghamshire and Oxfordshire","410","390","60220","57440"
"In post","2021","Male","G6/G7","Cheshire","100","100","57940","55740"
"In post","2021","Male","G6/G7","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Male","G6/G7","Cumbria","40","40","[c]","[c]"
"In post","2021","Male","G6/G7","Derbyshire and Nottinghamshire","580","560","58010","53330"
"In post","2021","Male","G6/G7","Devon","530","510","55660","52580"
"In post","2021","Male","G6/G7","Dorset and Somerset","120","120","59160","55460"
"In post","2021","Male","G6/G7","East Anglia","390","380","58760","54990"
"In post","2021","Male","G6/G7","East Wales","1250","1220","58220","57920"
"In post","2021","Male","G6/G7","East Yorkshire and Northern Lincolnshire","40","40","[c]","[c]"
"In post","2021","Male","G6/G7","Eastern Scotland","1180","1150","62110","61010"
"In post","2021","Male","G6/G7","Essex","140","140","60860","54850"
"In post","2021","Male","G6/G7","Gloucestershire, Wiltshire and Bath/Bristol area","3200","3120","56600","54940"
"In post","2021","Male","G6/G7","Greater Manchester","1070","1050","57100","52580"
"In post","2021","Male","G6/G7","Hampshire and Isle of Wight","1180","1150","56430","54540"
"In post","2021","Male","G6/G7","Herefordshire, Worcestershire and Warwickshire","50","50","59800","59080"
"In post","2021","Male","G6/G7","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Male","G6/G7","Inner London - East","1910","1870","62490","59940"
"In post","2021","Male","G6/G7","Inner London - West","10570","10430","60640","58750"
"In post","2021","Male","G6/G7","Kent","170","170","55070","52280"
"In post","2021","Male","G6/G7","Lancashire","380","370","58420","55610"
"In post","2021","Male","G6/G7","Leicestershire, Rutland and Northamptonshire","90","80","60900","55610"
"In post","2021","Male","G6/G7","Lincolnshire","40","40","[c]","[c]"
"In post","2021","Male","G6/G7","Merseyside","690","680","56620","53430"
"In post","2021","Male","G6/G7","North Eastern Scotland","70","70","69230","61850"
"In post","2021","Male","G6/G7","North Yorkshire","330","320","58010","55610"
