"Status","Year","Responsibility_level","Organisation","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Accountant in Bankruptcy","Unknown","30","30","[c]","[c]"
"In post","2021","AA/AO","Advisory, Conciliation and Arbitration Service","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Advisory, Conciliation and Arbitration Service","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Advisory, Conciliation and Arbitration Service","No function","50","40","[c]","[c]"
"In post","2021","AA/AO","Advisory, Conciliation and Arbitration Service","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Animal and Plant Health Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Animal and Plant Health Agency","No function","780","730","21880","21050"
"In post","2021","AA/AO","Animal and Plant Health Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cabinet Office (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cabinet Office (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cabinet Office (excl. agencies)","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cabinet Office (excl. agencies)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cabinet Office (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cabinet Office (excl. agencies)","Human Resources","170","150","21010","20800"
"In post","2021","AA/AO","Cabinet Office (excl. agencies)","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cabinet Office (excl. agencies)","No function","110","110","24160","24490"
"In post","2021","AA/AO","Cabinet Office (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cabinet Office (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cabinet Office (excl. agencies)","Security","240","220","20930","20920"
"In post","2021","AA/AO","Centre for Environment, Fisheries and Aquaculture Science","Analysis","40","40","[c]","[c]"
"In post","2021","AA/AO","Centre for Environment, Fisheries and Aquaculture Science","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Centre for Environment, Fisheries and Aquaculture Science","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Centre for Environment, Fisheries and Aquaculture Science","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Centre for Environment, Fisheries and Aquaculture Science","No function","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Centre for Environment, Fisheries and Aquaculture Science","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Charity Commission","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Charity Commission","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Charity Commission","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Charity Commission","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Companies House","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Companies House","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Companies House","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Companies House","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Companies House","No function","380","330","21730","22490"
"In post","2021","AA/AO","Companies House","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Companies House","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Companies House","Security","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Competition and Markets Authority","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Competition and Markets Authority","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Competition and Markets Authority","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Competition and Markets Authority","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Criminal Injuries Compensation Authority","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Criminal Injuries Compensation Authority","No function","110","100","20260","20650"
"In post","2021","AA/AO","Crown Commercial Service","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Commercial Service","No function","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Office and Procurator Fiscal Service","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Office and Procurator Fiscal Service","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Office and Procurator Fiscal Service","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Office and Procurator Fiscal Service","No function","690","620","21920","22220"
"In post","2021","AA/AO","Crown Prosecution Service","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Prosecution Service","Legal","1430","1310","22250","21950"
"In post","2021","AA/AO","Crown Prosecution Service Inspectorate","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Defence Electronics and Components Agency","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Defence Electronics and Components Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Defence Electronics and Components Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Defence Electronics and Components Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Defence Electronics and Components Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Defence Electronics and Components Agency","Project Delivery","80","70","19690","19810"
"In post","2021","AA/AO","Defence Electronics and Components Agency","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Defence Science and Technology Laboratory","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Defence Science and Technology Laboratory","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Defence Science and Technology Laboratory","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Defence Science and Technology Laboratory","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Defence Science and Technology Laboratory","No function","90","90","18410","17710"
"In post","2021","AA/AO","Defence Science and Technology Laboratory","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
