"Status","Year","Ethnicity","Responsibility_level","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","AA/AO","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Crown Prosecution Service","160","140","22740","23520"
"In post","2021","Asian","AA/AO","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Department for Work and Pensions (excl. agencies)","2240","1870","21770","21010"
"In post","2021","Asian","AA/AO","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Disclosure Scotland","[c]","[c]","[c]","[c]"
