"Status","Year","Profession_of_post","Age","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","16-19","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","16-19","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","16-19","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","16-19","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","16-19","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","16-19","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","16-19","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","Gloucestershire, Wiltshire and Bath/Bristol area","330","330","28840","28410"
"In post","2021","Commercial","20-29","Greater Manchester","40","40","[c]","[c]"
"In post","2021","Commercial","20-29","Hampshire and Isle of Wight","40","40","[c]","[c]"
"In post","2021","Commercial","20-29","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","Inner London - West","110","110","38970","37310"
"In post","2021","Commercial","20-29","Lancashire","[c]","[c]","[c]","[c]"
