"Status","Year","Parent_department","Disability","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Legal","840","780","44720","48080"
"In post","2021","Attorney General's Departments","Declared disabled","No function","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Security","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared non-disabled","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared non-disabled","Communications","70","60","44550","39750"
"In post","2021","Attorney General's Departments","Declared non-disabled","Counter Fraud","160","160","45370","40000"
"In post","2021","Attorney General's Departments","Declared non-disabled","Digital, Data & Technology","130","120","41200","38180"
"In post","2021","Attorney General's Departments","Declared non-disabled","Finance","120","110","37120","31560"
"In post","2021","Attorney General's Departments","Declared non-disabled","Human Resources","150","140","39450","34160"
"In post","2021","Attorney General's Departments","Declared non-disabled","Legal","5980","5520","46420","50520"
"In post","2021","Attorney General's Departments","Declared non-disabled","No function","60","60","42720","40000"
"In post","2021","Attorney General's Departments","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared non-disabled","Security","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","Legal","120","110","56830","63730"
"In post","2021","Attorney General's Departments","Undeclared","No function","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Counter Fraud","70","70","47590","40310"
"In post","2021","Attorney General's Departments","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Human Resources","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Legal","1780","1680","41820","40000"
"In post","2021","Attorney General's Departments","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Declared disabled","Commercial","30","30","[c]","[c]"
"In post","2021","Cabinet Office","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Declared disabled","Digital, Data & Technology","90","90","48410","54700"
"In post","2021","Cabinet Office","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Declared disabled","Human Resources","190","180","40360","35790"
"In post","2021","Cabinet Office","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Declared disabled","No function","230","220","44140","37030"
"In post","2021","Cabinet Office","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Declared disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Declared disabled","Security","90","80","33190","33300"
"In post","2021","Cabinet Office","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Declared non-disabled","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Declared non-disabled","Commercial","330","320","76000","65310"
"In post","2021","Cabinet Office","Declared non-disabled","Communications","210","200","47320","40850"
"In post","2021","Cabinet Office","Declared non-disabled","Counter Fraud","70","70","48440","53230"
"In post","2021","Cabinet Office","Declared non-disabled","Digital, Data & Technology","730","720","52050","54700"
"In post","2021","Cabinet Office","Declared non-disabled","Finance","60","60","45990","41820"
"In post","2021","Cabinet Office","Declared non-disabled","Human Resources","760","730","39580","35590"
"In post","2021","Cabinet Office","Declared non-disabled","Legal","50","50","[c]","[c]"
"In post","2021","Cabinet Office","Declared non-disabled","No function","1610","1580","47350","41250"
"In post","2021","Cabinet Office","Declared non-disabled","Project Delivery","160","150","72390","64500"
"In post","2021","Cabinet Office","Declared non-disabled","Property","80","70","49570","52720"
"In post","2021","Cabinet Office","Declared non-disabled","Security","430","410","35560","33300"
"In post","2021","Cabinet Office","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Undeclared","Digital, Data & Technology","40","40","[c]","[c]"
"In post","2021","Cabinet Office","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Undeclared","Human Resources","60","60","36100","32000"
"In post","2021","Cabinet Office","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Undeclared","No function","90","90","45920","38580"
"In post","2021","Cabinet Office","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Undeclared","Security","50","50","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","Commercial","1040","1020","69450","64500"
"In post","2021","Cabinet Office","Unknown","Communications","110","110","47040","42550"
"In post","2021","Cabinet Office","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","Digital, Data & Technology","120","110","48980","49700"
"In post","2021","Cabinet Office","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","Human Resources","110","110","36170","32000"
"In post","2021","Cabinet Office","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","No function","2250","2240","35420","29250"
"In post","2021","Cabinet Office","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","Security","310","290","29300","26670"
"In post","2021","Chancellor's other departments","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Declared disabled","No function","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Declared disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Declared disabled","Security","[c]","[c]","[c]","[c]"
