"Status","Year","Region_ITL1","Parent_department","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Attorney General's Departments","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Attorney General's Departments","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Attorney General's Departments","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Attorney General's Departments","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Attorney General's Departments","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Attorney General's Departments","Legal","210","190","51100","51470"
"In post","2021","East Midlands (England)","Attorney General's Departments","Operational Delivery","190","180","25840","23470"
"In post","2021","East Midlands (England)","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Business, Energy and Industrial Strategy","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Business, Energy and Industrial Strategy","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Business, Energy and Industrial Strategy","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Business, Energy and Industrial Strategy","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Business, Energy and Industrial Strategy","Operational Delivery","150","140","29850","29190"
"In post","2021","East Midlands (England)","Department for Business, Energy and Industrial Strategy","Policy","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Business, Energy and Industrial Strategy","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Business, Energy and Industrial Strategy","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Business, Energy and Industrial Strategy","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Education","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Education","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Education","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Education","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Education","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Education","Legal","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Education","Operational Delivery","50","50","41790","37100"
"In post","2021","East Midlands (England)","Department for Education","Policy","140","130","39920","36780"
"In post","2021","East Midlands (England)","Department for Education","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Education","Property","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Education","Security","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Environment, Food and Rural Affairs","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Environment, Food and Rural Affairs","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Environment, Food and Rural Affairs","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Environment, Food and Rural Affairs","Human Resources","[c]","[c]","[c]","[c]"
